Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
rmap_me1_warden	RMapBossme1	rmap_me1_boss	138		0	0	0	3	4	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_me2_warden	RMapBossme2	rmap_me2_boss	139		0	0	0	4	5	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_me3_warden	RMapBossme3	rmap_me3_boss	140		0	0	0	5	6	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_me4_warden	RMapBossme4	rmap_me4_boss	141		0	0	0	6	7	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_me5_warden	RMapBossme5	rmap_me5_boss	142		0	0	0	7	8	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_me6_warden	RMapBossme6	rmap_me6_boss	143		0	0	0	10	11	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mi1_warden	RMapBossmi1	rmap_mi1_boss	144		0	0	0	4	6	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mi2_warden	RMapBossmi2	rmap_mi2_boss	145		0	0	0	5	7	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mi3_warden	RMapBossmi3	rmap_mi3_boss	146		0	0	0	6	8	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mi4_warden	RMapBossmi4	rmap_mi4_boss	147		0	0	0	7	9	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mi5_warden	RMapBossmi5	rmap_mi5_boss	148		0	0	0	8	10	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mi6_warden	RMapBossmi6	rmap_mi6_boss	149		0	0	0	11	13	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_event_challenger_md1	RMapEventChallengermd1	rmap_event_challenger_md1	150		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_md2	RMapEventChallengermd2	rmap_event_challenger_md2	151		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_md3	RMapEventChallengermd3	rmap_event_challenger_md3	152		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_md4	RMapEventChallengermd4	rmap_event_challenger_md4	153		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_md5	RMapEventChallengermd5	rmap_event_challenger_md5	154		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_md6	RMapEventChallengermd6	rmap_event_challenger_md6	155		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mk1	RMapEventChallengermk1	rmap_event_challenger_mk1	156		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mk2	RMapEventChallengermk2	rmap_event_challenger_mk2	157		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mk3	RMapEventChallengermk3	rmap_event_challenger_mk3	158		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mk4	RMapEventChallengermk4	rmap_event_challenger_mk4	159		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mk5	RMapEventChallengermk5	rmap_event_challenger_mk5	160		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mk6	RMapEventChallengermk6	rmap_event_challenger_mk6	161		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mc1	RMapEventChallengermc1	rmap_event_challenger_mc1	162		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mc2	RMapEventChallengermc2	rmap_event_challenger_mc2	163		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mc3	RMapEventChallengermc3	rmap_event_challenger_mc3	164		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mc4	RMapEventChallengermc4	rmap_event_challenger_mc4	165		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mc5	RMapEventChallengermc5	rmap_event_challenger_mc5	166		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mc6	RMapEventChallengermc6	rmap_event_challenger_mc6	167		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mf1	RMapEventChallengermf1	rmap_event_challenger_mf1	168		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mf2	RMapEventChallengermf2	rmap_event_challenger_mf2	169		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mf3	RMapEventChallengermf3	rmap_event_challenger_mf3	170		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mf4	RMapEventChallengermf4	rmap_event_challenger_mf4	171		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mf5	RMapEventChallengermf5	rmap_event_challenger_mf5	172		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mf6	RMapEventChallengermf6	rmap_event_challenger_mf6	173		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mw1	RMapEventChallengermw1	rmap_event_challenger_mw1	174		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mw2	RMapEventChallengermw2	rmap_event_challenger_mw2	175		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mw3	RMapEventChallengermw3	rmap_event_challenger_mw3	176		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mw4	RMapEventChallengermw4	rmap_event_challenger_mw4	177		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mw5	RMapEventChallengermw5	rmap_event_challenger_mw5	178		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mw6	RMapEventChallengermw6	rmap_event_challenger_mw6	179		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_ms1	RMapEventChallengerms1	rmap_event_challenger_ms1	180		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_ms2	RMapEventChallengerms2	rmap_event_challenger_ms2	181		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_ms3	RMapEventChallengerms3	rmap_event_challenger_ms3	182		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_ms4	RMapEventChallengerms4	rmap_event_challenger_ms4	183		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_ms5	RMapEventChallengerms5	rmap_event_challenger_ms5	184		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_ms6	RMapEventChallengerms6	rmap_event_challenger_ms6	185		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mh1	RMapEventChallengermh1	rmap_event_challenger_mh1	186		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mh2	RMapEventChallengermh2	rmap_event_challenger_mh2	187		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mh3	RMapEventChallengermh3	rmap_event_challenger_mh3	188		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mh4	RMapEventChallengermh4	rmap_event_challenger_mh4	189		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mh5	RMapEventChallengermh5	rmap_event_challenger_mh5	190		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mh6	RMapEventChallengermh6	rmap_event_challenger_mh6	191		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mt1	RMapEventChallengermt1	rmap_event_challenger_mt1	192		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mt2	RMapEventChallengermt2	rmap_event_challenger_mt2	193		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mt3	RMapEventChallengermt3	rmap_event_challenger_mt3	194		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mt4	RMapEventChallengermt4	rmap_event_challenger_mt4	195		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mt5	RMapEventChallengermt5	rmap_event_challenger_mt5	196		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mt6	RMapEventChallengermt6	rmap_event_challenger_mt6	197		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_me1	RMapEventChallengerme1	rmap_event_challenger_me1	198		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_me2	RMapEventChallengerme2	rmap_event_challenger_me2	199		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_me3	RMapEventChallengerme3	rmap_event_challenger_me3	200		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_me4	RMapEventChallengerme4	rmap_event_challenger_me4	201		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_me5	RMapEventChallengerme5	rmap_event_challenger_me5	202		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_me6	RMapEventChallengerme6	rmap_event_challenger_me6	203		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
rmap_event_challenger_mi1	RMapEventChallengermi1	rmap_event_challenger_mi1	204		0	0	0	0	0	0	0					RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	RMap Event Challenger 1	0
rmap_event_challenger_mi2	RMapEventChallengermi2	rmap_event_challenger_mi2	205		0	0	0	0	0	0	0					RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	RMap Event Challenger 2	0
rmap_event_challenger_mi3	RMapEventChallengermi3	rmap_event_challenger_mi3	206		0	0	0	0	0	0	0					RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	RMap Event Challenger 3	0
rmap_event_challenger_mi4	RMapEventChallengermi4	rmap_event_challenger_mi4	207		0	0	0	0	0	0	0					RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	RMap Event Challenger 4	0
rmap_event_challenger_mi5	RMapEventChallengermi5	rmap_event_challenger_mi5	208		0	0	0	0	0	0	0					RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	RMap Event Challenger 5	0
rmap_event_challenger_mi6	RMapEventChallengermi6	rmap_event_challenger_mi6	209		0	0	0	0	0	0	0					RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	RMap Event Challenger 6	0
