index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Skullder's Ire	217	100		1					1	1	43	42	xpl	Russet Armor		3	5000								allskills		1	1	mag%/lvl	10			ac%		160	200	dur		60	60	red-mag		10	10	rep-dur	20																												0
Guardian Angel	218	100		1					1	1	43	45	xlt	Templar Coat		3	5000	lgry	lgry						light		4	4	pal		1	1	ac%		180	200	block2		30	30	res-all-max		5	5	att-dem/lvl	5			block		20	20																						0
Toothrow	219	100		1					1	1	43	48	xld	Sharktooth Armor		3	5000	whit	whit						thorns		50	75	ac		40	60	str		10	10	openwounds		30	40	res-fire		15	15	ac%		160	220	dur		15	15																						0
Atma's Wail	220	100		1					1	1	50	51	xth	Embossed Plate		3	5000								dex		15	15	regen		10	10	mana%		15	15	balance2		30	30	ac/lvl	16			dur		50	50	ac%		120	160	mag%		20	20																		0
Black Hades	221	100		1					1	1	50	53	xul	Chaos Armor		3	5000								light		-2	-2	att-demon		200	250	half-freeze		1	1	sock		3	4	ac%		140	200	dmg-demon		100	100																										0
Corpsemourn	222	100		1					1	1	50	55	xar	Ornate Armor		3	5000	blac	blac		invxaru				str		8	8	vit		10	10	res-cold		35	35	gethit-skill	Iron Maiden	6	2	ac%		150	180	dmg-fire		12	36	charged	Corpse Explosion	40	5																						0
Que-Hegan's Wisdom1	223	100		1					1	1	50	51	xtp	Mage Plate		3	5000								cast2		20	20	mana-kill		3	3	red-mag		6	10	enr		15	15	balance2		20	20	ac%		140	160	allskills		1	1																						0
Visceratuant	224	100		1					1	1	25	28	xuc	Defender		3	5000	dred			invbucu				sor		1	1	block2		30	30	cast1		15	20	ac%		100	150	light-thorns		30	30	death-skill	Arc	100	10	oskill_hide	Hidden Charm Passive	1	1																						0
Moser's Blessed Circle1	225	100		1					1	1	25	31	xml	Round Shield		3	5000				invxmlu				res-all		25	25	block		25	25	sock	2			ac%		180	220	block2		30	30	oskill_hide	Hidden Charm Passive	1	1																										0
Stormchaser	226	100		1					1	1	25	35	xrg	Scutum		3	5000	cblu	cblu		invxrgu				dmg-ltng		1	60	block		20	20	half-freeze		1	1	res-ltng		50	50	att		150	150	ac%		160	220	block2		10	10	gethit-skill	Hailstorm	15	1	gethit-skill	Dust Devils	10	1	oskill_hide	Hidden Charm Passive	1	1										0
Tiamat's Rebuke	227	100		1					1	1	25	45	xit	Dragon Shield		3	5000	lgry	lgry		invkitu				dmg-cold	150	27	53	dmg-fire		35	95	dmg-ltng		1	120	res-all		25	35	ac%		140	200	gethit-skill	Frost Nova	15	20	gethit-skill	Nova	15	20	gethit-skill	Hydra	15	20	dur		40	40	oskill_hide	Hidden Charm Passive	1	1										0
Gerke's Sanctuary1	228	100		1					1	1	43	44	xow	Pavise		3	5000	lgrn	lgrn		invtowu				red-dmg		11	16	red-mag		14	18	regen		15	15	ac%		180	240	dur		100	100	block		30	30	res-all		20	30	oskill_hide	Hidden Charm Passive	1	1																		0
Radament's Sphere	229	100		1					1	1	50	50	xts	Ancient Shield		3	5000				invgtsu				poisonskill		2	2	extra-pois		10	10	pierce-pois		10	15	ac%		160	200	block		20	20	block2		20	20	res-all		20	30	dur		20	20	oskill_hide	Hidden Charm Passive	1	1														0
Lidless Wall	230	100		1					1	1	35	41	xsh	Grim Shield		3	5000	dgld	dgld		invxshu				light		1	1	allskills		1	1	cast2		20	20	mana-kill		3	5	ac%		80	130	enr		10	10	mana%		10	10	oskill_hide	Hidden Charm Passive	1	1																		0
Lance Guard	231	100		1					1	1	30	35	xpk	Barbed Shield		3	5000				invxpku				hp		50	100	balance2		30	30	dmg-to-mana		15	15	thorns		47	47	ac%		70	120	deadly		20	20	oskill_hide	Hidden Charm Passive	1	1																						0
Venom Grip	232	100		1					1	1	25	29	xlg	Demonhide Gloves		5	5000	dgrn							res-pois		30	30	res-pois-max		5	5	dmg-pois	100	153	153	crush		5	5	lifesteal		5	5	ac		15	25	ac%		130	160																						0
Gravepalm	233	100		1					1	1	43	55	xvg	Sharkskin Gloves		5	5000								enr		10	10	str		10	10	dmg-undead		100	200	att-undead		100	200	ac%		140	180	aura	Blessed Aim	5	5																										0
Ghoulhide	234	100		1					2	1	35	36	xmg	Heavy Bracers		5	5000								att-und/lvl	16			dmg-und/lvl	16			manasteal		4	5	hp		20	20	ac%		150	190	aura	Blessed Aim	2	2																										0
Lava Gout	235	100		1					1	1	30	42	xtg	Battle Guantlets		5	5000	lyel							res-fire		24	24	half-freeze		1	1	hit-skill	Scorchveil	15	2	swing2		20	20	ac%		150	200	dmg-fire		13	46	dur		20	20																						0
Hellmouth	236	100		1					1	1	43	47	xhg	War Gauntlets		5	5000								dmg-fire		15	72	abs-fire		15	15	ac%		150	200	dur		15	15	hit-skill	Starfall	8	3	hit-skill	Cinderstorm	12	1																										0
Infernostride	237	100		1					1	1	25	29	xlb	Demonhide Boots		5	5000								dmg-fire		12	33	move2		20	20	res-fire-max		5	5	res-fire		30	30	light		2	2	ac%		120	150	gold%		40	70	ac		15	15	gethit-skill	Blaze	10	8														0
Waterwalk	238	100		1					1	1	25	32	xvb	Sharkskin Boots		5	5000								ac-miss		100	100	move2		20	20	dex		15	15	ac%		180	210	hp		45	65	res-fire-max		5	5																										0
Silkweave	239	100		1					1	1	25	36	xmb	Mesh Boots		5	5000								ac%		150	190	mana-kill		5	5	ac-miss		200	200	mana%		10	10	move2		30	30																														0
War Traveler	240	100		1					1	1	30	42	xtb	Battle Boots		5	5000								vit		10	10	str		10	10	mag%		30	50	dur		30	30	move2		25	25	ac%		150	190	dmg-norm		15	25	thorns		5	10																		0
Gore Rider	241	100		1					1	1	30	47	xhb	War Boots		5	5000	dred							ease		-25	-25	deadly		10	10	move2		30	30	crush		10	10	openwounds		10	10	ac%		160	200	dur		10	10																						0
String of Ears	242	100		1					1	1	25	29	zlb	Demonhide Sash		5	5000	lred							red-mag		10	15	red-dmg%		10	15	lifesteal		6	8	ac%		150	180	ac		15	15	dur		10	10																										0
Razortail	243	100		1					1	1	25	32	zvb	Sharkskin Belt		5	5000								thorns/lvl	8			dex		15	15	pierce		33	33	ac		15	15	ac%		120	150	dmg-max		10	10																										0
Gloom's Trap	244	100		1					1	1	25	36	zmb	Mesh Belt		5	5000								light		-3	-3	mana%		15	15	extra-pois		5	10	ac%		120	150	vit		15	15	regen-mana		15	15																										0
Snowclash	245	100		1					1	1	43	50	ztb	Battle Belt		5	5000								gethit-skill	Blizzard	12	30	abs-cold		15	15	res-cold-max		5	5	dmg-cold	50	20	30	ac%		130	170	extra-cold		10	15																										0
Thundergod's Vigor	246	100		1					1	1	43	47	zhb	War Belt		5	5000								gethit-skill	Fist of the Heavens	15	25	dmg-ltng		1	50	res-ltng-max		5	5	abs-ltng		20	20	ac%		160	200	vit		20	20	str		20	20	skill	Lightning Strike	3	3	skill	Lightning Fury	3	3														0
Elite Uniques																																																																										0
Harlequin Crest	248	100		1					1	1	60	62	uap	Shako		3	5000	cgrn	cgrn						allskills		2	2	hp/lvl	12			mana/lvl	12			mag%		50	50	red-dmg%		10	10	str		2	2	dex		2	2	vit		2	2	enr		2	2														0
Veil of Steel	249	100		1					3	1	70	73	uhm	Spired Helm		3	5000	lgry	lgry						res-all		30	50	ac%		100	150	str		15	15	vit		15	15	light		-4	-4	dur		20	20	ac		140	140																						0
The Gladiator's Bane	250	100		1					1	1	85	85	utu	Wire Fleece		3	5000	lgry	lgry						ac%		150	200	red-mag		15	20	red-dmg		15	20	dmg%		100	150	block	20	30	balance2		30	30	ac		500	500	nofreeze		1	1																			0
Arkaine's Valor	251	100		1					1	1	85	85	upl	Balrog Skin		3	5000	lred	lred						ac%		225	275	balance2		30	30	allskills		2	3	extra-elem		10	15	vit/lvl	4																																0
Blackoak Shield	252	100		1					1	1	60	61	uml	Luna		3	5000				invsmlu				dex/lvl	4			ac%		160	200	abs-cold/lvl	3			gethit-skill	Weaken	10	5	dur		45	45	hp/lvl	10			block2		50	50	half-freeze		1	1	oskill_hide	Hidden Charm Passive	1	1														0
Stormshield	253	100		1					1	1	70	73	uit	Monarch		3	5000				invkitu				ac/lvl	30			red-dmg%		35	35	str		30	30	indestruct		1	1	block2		35	35	res-ltng		25	25	block		25	25	res-cold		60	60	light-thorns		10	10	oskill_hide	Hidden Charm Passive	1	1										0
Hellslayer	254	100		1					1	1	80	80	7bt	Decapitator		5	5000	dred	dred		invbtxu				str/lvl	4			vit/lvl	4			dmg%/lvl	24			aura	Holy Fire	22	22	hp		25	50	dmg%		250	300	hit-skill	Infernal Orb	15	5	swing1		20	20	oskill_hide	Hidden Charm Passive	1	1														0
Messerschmidt's Reaver	255	100		1					1	1	70	70	7ga	Champion Axe		5	5000	blac	blac		invgaxu				dmg%/lvl	20			dmg%		200	200	str		15	15	dex		15	15	vit		15	15	enr		15	15	dmg-fire		20	240	dur		25	25	att		100	150	pierce-dmg		15	15	oskill_hide	Hidden Charm Passive	1	1						0
Baranar's Star	256	100		1					1	1	70	75	7mt	Devil Star		5	5000	lred	lred		invmstu				att		200	200	dmg%		200	300	dex		15	15	str		15	15	swing2		50	50	hit-skill	Scorchveil	15	10	dmg-ltng		1	300	dmg-fire		1	300	dmg-cold		1	300	oskill_hide	Hidden Charm Passive	1	1										0
Schaefer's Hammer	257	100		1					1	1	83	85	7wh	Legendary Mallet		5	5000	lblu	lblu						hit-skill	Static Field	10	10	hp		50	50	att/lvl	16			res-ltng		75	75	swing2		20	20	dmg/lvl	16			indestruct		1	1	dmg%		250	300	light		1	1	dmg-ltng		50	500	oskill_hide	Hidden Charm Passive	1	1						0
The Cranium Basher	258	100		1					1	1	85	87	7gm	Thunder Maul		5	5000	blac	blac						swing2		20	20	deadly		25	25	str		25	50	res-all		25	25	crush		20	25	dmg-min		100	200	dmg%		300	350	hit-skill	Amplify Damage	10	5	oskill_hide	Hidden Charm Passive	1	1														0
Lightsabre	259	100		1					2	1	55	58	7cr	Phase Blade		5	5000	lblu			invcrsu				light		7	7	hit-skill	Chain Lightning	15	50	ignore-ac	1	1	1	abs-ltng%		10	15	swing2		20	20	extra-ltng		15	30	dmg-ltng		1	450	dmg%		200	250	dmg-norm		30	55	oskill_hide	Hidden Charm Passive	1	1										0
Doombringer	260	100		1					1	1	65	69	7b7	Champion Sword		5	5000	dred	dred		invbswu				hp%		20	20	dmg%		270	340	att		100	150	dmg-min		30	60	dmg-max		100	150	hit-skill	Weaken	10	5	lifesteal		5	7	oskill_hide	Hidden Charm Passive	1	1																		0
The Grandfather	261	100		1					1	1	85	81	7gd	Colossus Blade		5	5000	lyel	lyel		invgsdu				all-stats		15	30	dmg%/lvl	32			dmg/lvl	32			att/lvl	16			deadly/lvl	3			dmg-min		150	300	ease		25	50	ethereal		1	1	indestruct		1	1	oskill_hide	Hidden Charm Passive	1	1										0
Wizardspike	262	100		1					1	1	50	61	7dg	Bone Knife		5	5000	lgry	lgry						mana/lvl	16			regen-mana		15	15	mana%		15	15	res-all		75	75	indestruct		1	1	cast3		50	50	oskill_hide	Hidden Charm Passive	1	1																						0
Constricting Ring	263	100		1					2	1	90	95	rin	Ring		5	5000	cblu	cblu		invring1				res-all		40	40	regen		-30	-30	mag%		100	100	res-all-max		5	5										0																								0
Stormspire	264	100		1					1	1	60	75	7wc	Giant Thresher		5	5000	dblu	dblu						res-ltng		50	50	hit-skill	Chain Lightning	15	40	dmg%		200	300	str		30	30	hit-skill	Storm Shard	15	20	swing2		30	30	indestruct		1	1	dmg-ltng		1	300	aura	Holy Shock	10	15	oskill_hide	Hidden Charm Passive	1	1										0
Eaglehorn	265	100		1					1	1	60	69	6l7	Crusader Bow		5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		200	200	hit-skill	Raven	20	50	dex		25	25	swing1		40	40	extra_ravens		3	5	oskill_hide	Hidden Charm Passive	1	1														0
Windforce	266	100		1					1	1	80	85	6lw	Hydra Bow		5	5000	dyel	dyel						dex		15	25	dmg/lvl	32			hit-skill	Dust Devils	15	10	manasteal		6	8	knock		1	1	dmg%		250	300	swing2		30	45	str		15	25	oskill_hide	Hidden Charm Passive	1	1														0
Rings																																																																										0
Bul-Kathos' Wedding Band	268	100		1					3	1	50	58	rin	Ring		5	5000	dpur	dpur		invring1				hp/lvl	4			allskills		1	1	lifesteal		5	5	dmg/lvl	4																																				0
The Cat's Eye	269	100		1					5	1	50	50	amu	Amulet		5	5000	oran			invamu2				move2		30	30	swing2		20	20	ac		100	100	ac-miss		100	100	dex		25	25																														0
The Rising Sun	270	100		1					5	1	60	65	amu	Amulet		5	5000	lgld			invamu2				abs-fire/lvl	2			extra-fire		10	15	cast2		10	15	res-fire		30	50	fireskill		2	3	regen		10	10																										0
Crescent Moon	271	100		1					5	1	60	68	amu	Amulet		5	5000	lblu			invamu2				coldskill		3	3	extra-cold		10	15	res-cold-max		5	5	mana		80	80	regen-mana		25	25																														0
Mara's Kaleidoscope	272	100		1					3	1	80	67	amu	Amulet		5	5000	oran			invamu2				allskills		2	2	res-all		20	30	all-stats		5	10																																						0
Atma's Scarab	273	100		1					5	1	60	60	amu	Amulet		5	5000	cgrn			invamu2				poisonskill		2	2	res-pois		50	75	extra-pois		10	15	att%		20	20	mag%		50	100	res-all		10	15																										0
Dwarf Star	274	100		1					5	1	45	45	rin	Ring		5	5000	dgry	dgry		invring1				fireskill		1	1	gold%		100	100	mana-kill		3	5	hp		40	40	extra-fire		10	10	abs-fire%		10	15																										0
Raven Frost	275	100		1					5	1	45	45	rin	Ring		5	5000	cblu	cblu		invring1				nofreeze		1	1	dmg-cold	50	25	50	abs-cold%		20	20	mana		40	40	dex		15	20	att		150	250																										0
Highlord's Wrath	276	100		1					3	1	73	65	amu	Amulet		5	5000	bwht			invamu2				res-ltng		35	35	dmg-ltng		1	120	swing2		20	20	allskills		1	2	deadly/lvl	3			light-thorns		15	15																										0
Saracen's Chance	277	100		1					5	1	45	55	amu	Amulet		5	5000	dpur			invamu2				res-all		15	25	aura	Conviction	1	1	all-stats		10	15																																						0
Class Specific																																																																										0
Arreat's Face	279	100		1					1	1	50	60	baa	Slayer Guard		5	5000								bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		3	6	res-all		30	30														0
Homunculus	280	100		1					1	1	40	42	nea	Heirophant Trophy		5	5000								nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		5	5	res-all		40	40	oskill_hide	Hidden Charm Passive	1	1										0
Titan's Revenge	281	100		1					1	1	35	42	ama	Ceremonial Javelin		5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	move2		30	30	rep-quant	100			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	stack		60	60	oskill_hide	Hidden Charm Passive	1	1						0
Lycander's Aim	282	100		1					1	1	40	42	am7	Ceremonial Bow		5	5000								ama		2	2	skilltab	0	2	2	dmg%		150	200	swing2		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50	oskill_hide	Hidden Charm Passive	1	1										0
Lycander's Flank	283	100		1					1	1	35	42	am9	Ceremonial Pike		5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50	oskill_hide	Hidden Charm Passive	1	1										0
The Oculus	284	100		1					1	1	40	42	oba	Swirling Crystal		5	5000								sor		3	3	gethit-skill	Teleport	25	1	res-all		20	20	cast2		30	30	ac%		20	20	vit		20	20	enr		20	20	mana-kill		5	5	mag%		50	50	oskill_hide	Hidden Charm Passive	1	1										0
Herald of Zakarum	285	100		1					1	1	40	50	pa9	Gilded Shield		5	5000								pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		20	20	res-all		50	50	oskill_hide	Hidden Charm Passive	1	1										0
Bartuc's Cut-Throat	286	100		1					1	1	40	42	9tw	Runic Talons		5	5000								ass		2	2	skilltab	20	1	1	dmg%		150	200	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	oskill_hide	Hidden Charm Passive	1	1										0
Jalal's Mane	287	100		1					1	1	50	55	dra	Totemic Mask		5	5000								dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		30	30	att%		20	20	str		20	20	enr		20	20	mana-kill		5	5	res-all		30	30														0
The Scalper	288	100		1					1	1	40	47	9ta	Francisca		5	5000								rep-quant	100			dmg%		150	200	att		50	100	aura	Fanaticism	3	5	openwounds		20	20	lifesteal		4	6	mana-kill		4	4	oskill_hide	Hidden Charm Passive	1	1																		0
Bloodmoon	289	100		1					1	1	45	61	7sb	elegant blade		5	5000	cred	cred		invsbru				dmg%		210	260	lifesteal		10	15	charged	BloodGolem	9	15	heal-kill		7	13	openwounds		25	50	pierce-dmg		15	15	oskill_hide	Hidden Charm Passive	1	1																						0
Djinn Slayer	290	100		1					1	1	50	65	7sm	ataghan		5	5000	dpur	dpur		invscmu				dmg%		250	300	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	sock		1	2	oskill_hide	Hidden Charm Passive	1	1																		0
Deathbit	291	100		1					1	1	25	40	9tk	battle dart		5	5000								deadly		20	20	dmg%		150	200	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																						0
Warshrike	292	100		1					1	1	83	75	7bk	winged knife		5	5000	bwht	bwht		invtk3				dmg%		300	350	pierce		20	30	swing2		30	30	deadly		25	25	rep-quant	100			hit-skill	Storm Pulse	12	20	oskill_hide	Hidden Charm Passive	1	1																						0
Gut Siphon	293	100		1					1	1	80	80	6rx	demon crossbow		5	5000	lgrn	lgrn		invrxbu				dmg%		350	400	pierce		30	40	lifesteal		12	18	hit-skill	Decrepify	12	5	openwounds		30	50	hit-skill	Spine Piercer	20	5	oskill_hide	Hidden Charm Passive	1	1																						0
Razor's Edge	294	100		1					1	1	60	67	7ha	tomahawk		5	5000	lblu			invhaxu				dmg%		250	300	swing2		40	40	reduce-ac		33	33	deadly		25	25	openwounds		50	50	oskill_hide	Hidden Charm Passive	1	1																										0
Gore Ripper	295	100							1	1						5	5000	dred	dred																																																							0
Demon Limb	296	100		1					1	1	71	75	7sp	tyrant club		5	5000	dgrn	dgrn		invspcu				dmg%		300	365	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	10	50	rep-dur	5			dmg-demon		150	200	res-fire		15	20	oskill_hide	Hidden Charm Passive	1	1																		0
Steel Shade	297	100		1					1	1	60	62	ulm	armet		5	5000	blac	blac		invhlmu				ac%		100	130	abs-fire		5	11	manasteal		4	8	regen		10	18																																		0
Tomb Reaver	298	100		1					1	1	86	84	7pa	cryptic axe		5	5000	lyel	lyel						swing2		60	60	light		4	4	dmg%		300	350	dmg-undead		250	300	mag%		100	200	res-all		30	50	att-undead		250	350	reanimate	767	10	15	heal-kill		10	14	sock		2	3	oskill_hide	Hidden Charm Passive	1	1						0
Death's Web1	299	100		1					1	1	60	70	7gw	unearthed wand		5	5000	bwht	bwht						allskills		2	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2	oskill_hide	Hidden Charm Passive	1	1																										0
Nature's Peace	300	100		1					3	1	70	69	rin	ring		5	5000	dgrn	dgrn		invring1				poisonskill		1	1	rip		1	1	red-dmg%		5	5	res-all		5	15	oskill	Oak Sage	2	2																														0
Azurewrath	301	100		1					1	1	85	85	7cr	phase blade		5	5000	lgry			invcrs				dmg-mag		250	500	dmg%		230	270	aura	Sanctuary	10	13	dmg-cold	250	250	500	swing2		30	30	all-stats		5	10	light		3	3	allskills		1	1	oskill_hide	Hidden Charm Passive	1	1														0
Seraph's Hymn	302	100		1					3	1	73	65	amu	amulet		5	5000	bwht			invamu2				allskills		2	2	skilltab	11	1	2	dmg-demon		25	50	dmg-undead		25	50	att-demon		150	250	att-undead		150	250	light		2	2																						0
Zakarum's Salvation	303	100							1	1						5	5000																																																									0
Fleshripper	304	100		1					1	1	65	68	7kr	fanged knife		5	5000	dred	dred		invkrsu				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		10	15	openwounds		50	50	deadly		20	20	hit-skill	Spine Piercer	15	5	oskill_hide	Hidden Charm Passive	1	1																		0
Odium	305	100							1	1						5	5000	blac																																																								0
Horizon's Tornado	306	100		1					1	1	72	64	7fl	scourge		5	5000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		15	15	hit-skill	Tornado	15	40	ease		-20	-20	pierce-dmg		5	10	pierce-cold		5	10	oskill_hide	Hidden Charm Passive	1	1																		0
Stone Crusher	307	100		1					1	1	70	75	7wh	legendary mallet		5	5000	whit							dmg%		300	350	str		20	30	crush		15	15	reduce-ac		25	25	dmg-ac		-100	-100	dmg-norm		50	80	oskill_hide	Hidden Charm Passive	1	1																						0
Jade Talon	308	100		1					2	1	60	66	7wb	wrist sword		5	5000	cgrn	cgrn						dmg%		230	290	manasteal		10	15	res-all		40	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2	oskill_hide	Hidden Charm Passive	1	1																						0
Shadow Dancer	309	100		1					1	1	75	75	uhb	myrmidon greaves		5	5000	blac	blac						ac%		70	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	extra_shadow_masters		1	2																										0
Cerberus' Bite	310	100		1					2	1	60	63	drb	blood spirit		5	5000	bwht	bwht						ac%		130	140	skilltab	16	2	4	lifesteal		7	10	att		100	150	openwounds		33	33	skill	Feral Rage	2	4																										0
Tyrael's Might	311	100		1					1	1	87	84	uar	sacred armor		5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		200	250	nofreeze		1	1	move2		20	20	res-all		20	30	str		20	30	allskills		1	1	aura	Might	15	20	oskill	Teleport	1	1		0
Soul Drainer	312	100		1					2	1	82	74	umg	vambraces		5	5000	dred	dred						ac%		90	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	12	5	dmg-ac		-50	-50																														0
Rune Master	313	100		1					1	1	70	72	72a	ettin axe		5	5000	lblu	lblu						dmg%		250	300	sock		5	5	res-cold-max		5	5	nofreeze		1	1	oskill_hide	Hidden Charm Passive	1	1																														0
Death Cleaver	314	100		1					1	1	70	70	7wa	berserker axe		5	5000	dred							dmg%		250	300	deadly		20	20	reduce-ac		33	33	swing2		40	40	heal-kill		6	9	oskill_hide	Hidden Charm Passive	1	1																										0
Executioner's Justice	315	100		1					1	1	83	85	7gi	glorious axe		5	5000	blac	blac						dmg%		350	390	crush		20	25	reduce-ac		33	33	kill-skill	Amplify Damage	25	10	swing2		30	50	oskill_hide	Hidden Charm Passive	1	1																										0
Stoneraven	316	100		1					1	1	55	64	amd	matriarchal spear		5	5000	dgry							dmg%		230	280	dmg-mag		150	300	res-all		30	50	ac		400	600	skilltab	2	2	3	oskill_hide	Hidden Charm Passive	1	1																										0
Leviathan	317	100		1					1	1	55	65	uld	kraken shell		5	5000	cgrn	cgrn						ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																														0
Larzuk's Champion	318	100							1	1						5	5000	lgry		flphmr	invhfh																																																					0
Wisp Projector	319	100		1					5	1	84	76	rin	ring		5	5000	bwht	bwht		invring1				abs-ltng%		10	20	hit-skill	Arc	10	10	mag%		10	20	reanimate	768	5	10	extra-ltng		10	15																														0
Gargoyle's Bite	320	100		1					1	1	80	82	7ts	winged harpoon		5	5000	cgrn	cgrn						dmg%		300	375	rep-quant	100			dmg-norm		100	150	hit-skill	Decrepify	10	5	swing1		20	30	move1		-10	-10	oskill_hide	Hidden Charm Passive	1	1																						0
Lacerator	321	100		1					1	1	74	80	7b8	winged axe		5	5000	blac	blac						dmg%		150	210	rep-quant	100			swing2		20	30	noheal		1	1	openwounds		33	33	howl		13	13	hit-skill	Amplify Damage	15	7	oskill_hide	Hidden Charm Passive	1	1																		0
Mang Song's Lesson	322	100		1					1	1	86	82	6ws	archon staff		5	5000	dgld	dgld		inv8wsu				allskills		3	5	extra-elem		20	30	pierce-elem		20	30	regen-mana		40	75	cast2		40	60	fireskill		2	2	coldskill		2	2	lightningskill		2	2	oskill_hide	Hidden Charm Passive	1	1														0
Viperfork	323	100		1					1	1	75	81	7br	war fork		5	5000	dgrn	dgrn						dmg%		250	320	extra-pois		10	15	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	40	pierce-pois		10	15	hit-skill	Lower Resist	8	10	oskill_hide	Hidden Charm Passive	1	1																		0
Ethereal Edge	324	100		1					1	1	82	81	7ba	silver-edged axe		5	5000	whit	whit						dmg%		270	330	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1	oskill_hide	Hidden Charm Passive	1	1														0
Demonhorn's Edge	325	100		1					1	1	70	75	bad	destroyer helm		5	5000	dgry	dgry						ac%		120	160	swing2		10	10	lifesteal		3	6	thorns		55	77	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3																						0
The Reaper's Toll	326	100		1					1	1	70	75	7s8	thresher		5	5000				invscy				dmg%		240	300	hit-skill	Decrepify	33	3	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		25	25	dmg-cold		100	200	oskill_hide	Hidden Charm Passive	1	1																		0
Spirit Keeper	327	100		1					1	1	60	67	drd	earth spirit		5	5000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		9	14	res-pois-max		10	10	dru		1	2																						0
Hellrack	328	100		1					1	1	74	76	6hx	colossus crossbow		5	5000	cred			invhxbu				fireskill		3	3	swing1		60	60	extra-fire		20	25	pierce-fire		15	20	reanimate	493	5	5	skilltab	0	2	2	kill-skill	Empowering Flame	5	1	oskill_hide	Hidden Charm Passive	1	1																		0
Alma Negra	329	100		1					1	1	85	77	pac	sacred rondache		5	5000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att		100	200	dmg%		50	100	oskill_hide	Hidden Charm Passive	1	1																		0
Darkforce Spawn	330	100		1					1	1	60	64	nef	bloodlord skull		5	5000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3	oskill_hide	Hidden Charm Passive	1	1																						0
Widowmaker	331	100		1					1	1	60	65	6sw	ward bow		5	5000	dred	dred		invswbu				dmg%		150	200	deadly		25	25	ignore-ac		1	1	dmg-norm		100	200	oskill	Guided Arrow	3	5	oskill_hide	Hidden Charm Passive	1	1																										0
Blood Raven's Charge	332	100		1					1	1	81	75	amb	matriarchal bow		5	5000	dgld	dgld		invswbu				dmg%		200	300	att		200	300	extra-fire		25	35	skilltab	0	2	4	charged	Revive	30	5	dmg-fire		200	300	oskill_hide	Hidden Charm Passive	1	1																						0
Ghostflame	333	100		1					1	1	70	70	7bl	legend spike		5	5000	cblu	cblu						dmg%		190	240	ignore-ac		1	1	dmg-mag		100	200	dmg-fire		100	200	ethereal		1	1	indestruct		1	1	light		2	2	oskill_hide	Hidden Charm Passive	1	1																		0
