Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of the Ox	100	1	1	38		30				36	31	str		6	9										ring	scep	mace	tors									0	0
of the Giant	100	1	1	55		47				36	31	str		10	15										ring	scep	mace	tors									0	0
of the Titan	100	1	1	74		66				36	31	str		16	20									dgld	ring	scep	mace	tors									0	0
of Strength	100	1	1	12	30	8				36	31	str		1	2										mele	glov	shld					blun					0	0
of Might	100	1	1	33	60	25				36	31	str		3	5										mele	glov	shld					blun					0	0
of the Ox	100	1	1	45		37				36	31	str		6	9										mele	glov	shld					blun					0	0
of the Giant	100	1	1	59		51				36	31	str		10	15									dgld	mele	glov						blun					0	0
of Strength	100	1	1	1	60	1				48	31	str		3	4										lcha												0	0
of Strength	100	1	1	3	60	2				48	31	str		2	3										mcha												0	0
of Strength	100	1	1	7	60	5				48	31	str		1	1										scha												0	0
of Strength	100	1	1	14		10				48	31	str		5	6										lcha												0	0
of Strength	100	1	1	18		13				48	31	str		4	5										mcha												0	0
of Strength	100	1	1	22		16				48	31	str		2	2										scha												0	0
of Virility	100	1	1	18		13				48	31	str		1	5										jewl												0	0
of Virility	100	1	1	33		25				48	31	str		5	6										jewl												0	0
of Virility	100	1	1	50		42				48	31	str		7	9										jewl												0	0
of Strength	100	1	1	1	11	1				48	31	str		1	1										glov												0	0
of Strength	100	1	1	1	4	1				48	31	str		1	1										ring												0	0
of Energy	100	1	1	1	25	1				48	23	enr		1	3										amul	orb	circ	wand	staf								0	0
of the Mind	100	1	1	7	50	3				48	23	enr		4	6										amul	orb	circ	wand	staf								0	0
of Brilliance	100	1	1	13	75	9				36	23	enr		7	10										amul	orb	circ	wand	staf								0	0
of Sorcery	100	1	1	21		16				36	23	enr		11	15										amul	orb	circ	wand	staf								0	0
of Wizardry	100	1	1	31		23				36	23	enr		16	20									dgld	amul	orb	circ	wand	staf								0	0
of Enlightenment	100	1	1	41		33				36	23	enr		21	30									dgld	amul	orb	circ	wand	staf								0	0
of Energy	100	1	1	7	25	5				48	23	enr		1	3										ring												0	0
of the Mind	100	1	1	13	50	9				36	23	enr		4	6										ring												0	0
of Brilliance	100	1	1	21	75	16				36	23	enr		7	10										ring												0	0
of Sorcery	100	1	1	31		23				36	23	enr		11	15										ring												0	0
of Wizardry	100	1	1	41		33				36	23	enr		16	20									dgld	ring												0	0
of Energy	100	1	1	4	25	3				36	23	enr		1	3										helm	scep											0	0
of the Mind	100	1	1	10	50	7				36	23	enr		4	6										helm	scep											0	0
of Brilliance	100	1	1	16	70	12				36	23	enr		7	10										helm	scep											0	0
of Sorcery	100	1	1	26		21				36	23	enr		11	15									dgld	helm	scep											0	0
of Knowledge	100	1	1	9	50	6				36	23	enr		1	5										jewl												0	0
of Knowledge	100	1	1	24		18				36	23	enr		4	6										jewl												0	0
of Knowledge	100	1	1	41		33				36	23	enr		7	9										jewl												0	0
of Energy	100	1	1	1	4	1				48	23	enr		1	1										amul	orb	circ	wand	staf	helm	ring						0	0
of Grace	100	1	1	1		1				12	42	dex/lvl	3											dgld	helm	amul											0	0
of Power	100	1	1	1		1				12	42	str/lvl	3											dgld	belt	amul											0	0
of Grace and Power	100	1	1	50		48				12	42	str/lvl	3			dex/lvl	3							dgld	amul												0	0
of Agility2	100	1	1	35	55	35				12	42	dex%		5	10										weap	boot											0	0
of Agility2	100	1	1	55	75	55				12	42	dex%		11	20										weap	boot											0	0
of Agility2	100	1	1	75		75				12	42	dex%		21	30										weap	boot											0	0
of Power2	100	1	1	35	55	35				12	42	str%		5	10										weap	glov											0	0
of Power2	100	1	1	55	75	55				12	42	str%		11	20										weap	glov											0	0
of Power2	100	1	1	75		75				12	42	str%		21	30										weap	glov											0	0
of Endurance2	100	1	1	35	55	35				12	42	vit%		5	10										weap	glov											0	0
of Endurance2	100	1	1	55	75	55				12	42	vit%		11	20										weap	glov											0	0
of Endurance2	100	1	1	75		75				12	42	vit%		21	30										weap	glov											0	0
of Spirit2	100	1	1	35	55	35				12	42	enr%		5	10										weap	glov											0	0
of Spirit2	100	1	1	55	75	55				12	42	enr%		11	20										weap	glov											0	0
of Spirit2	100	1	1	75		75				12	42	enr%		21	30										weap	glov											0	0
of the Sky1	100	1	1	20		18				12	42	all-stats		5	10										amul	ring	circ	orb	staff	wand							0	0
of the Stars1	100	1	1	44		40				12	42	all-stats		11	15										amul	ring	circ	orb	staff	wand							0	0
of the Heavens1	100	1	1	69		64				12	42	all-stats		16	20										amul	ring	circ	orb	staff	wand							0	0
of the Zodiac1	100	1	1	86		83				12	42	all-stats		21	30										amul	ring	circ	orb	staff	wand							0	0
of the Jackal	100	1	1	1	20	1				36	26	hp		1	5										tors	belt	amul	phlm	circ								0	0
of the Fox	100	1	1	7	30	5				36	26	hp		6	10										tors	belt	amul	phlm	circ								0	0
of the Wolf	100	1	1	15	50	11				36	26	hp		11	20										tors	belt	amul	phlm	circ								0	0
of the Tiger	100	1	1	20	65	15				36	26	hp		21	30										tors	belt	amul	phlm	circ								0	0
of the Mammoth	100	1	1	25		18				36	26	hp		31	40									cred	tors	belt	amul	phlm	circ								0	0
of the Colosuss	100	1	1	30		22				36	26	hp		41	60									cred	tors	belt	amul	phlm	circ								0	0
of the Squid	100	1	1	40		30				36	26	hp		61	80									cred	tors	belt	amul	phlm	circ								0	0
of the Whale	100	1	1	50		37				36	26	hp		81	100									cred	tors	belt	amul	phlm	circ								0	0
of the Jackal	100	1	1	4	25	3				36	26	hp		1	5										shld	pelt											0	0
of the Fox	100	1	1	11	50	8				36	26	hp		6	10										shld	pelt											0	0
of the Wolf	100	1	1	27	75	20				36	26	hp		11	20										shld	pelt											0	0
of the Tiger	100	1	1	43		35				36	26	hp		21	30										shld	pelt											0	0
of the Mammoth	100	1	1	59		51				36	26	hp		31	40									cred	shld	pelt											0	0
of the Colosuss	100	1	1	75		67				36	26	hp		41	60									cred	shld	pelt											0	0
of the Jackal	100	1	1	8	40	6				36	26	hp		1	5										club	hamm	mace	ring	helm								0	0
of the Fox	100	1	1	17	70	13				36	26	hp		6	10										club	hamm	mace	ring	helm								0	0
of the Wolf	100	1	1	34		26				36	26	hp		11	20										club	hamm	mace	ring	helm								0	0
of the Tiger	100	1	1	51		43				36	26	hp		21	30										club	hamm	mace	ring	helm								0	0
of the Mammoth	100	1	1	68		60				36	26	hp		31	40									cred	club	hamm	mace	ring	helm								0	0
of Life	100	1	1	1	25	1				48	26	hp		5	10										lcha												0	0
of Life	100	1	1	9	40	6				48	26	hp		11	15										lcha												0	0
of Life	100	1	1	19	55	14				48	26	hp		16	20										lcha												0	0
of Substinence	100	1	1	31		23				48	26	hp		21	25										lcha												0	0
of Substinence	100	1	1	45		37				48	26	hp		26	30										lcha												0	0
of Substinence	100	1	1	61		53				48	26	hp		31	35										lcha												0	0
of Vita	100	1	1	70		69				48	26	hp		36	40										lcha												0	0
of Vita	100	1	1	80		80				48	26	hp		41	45										lcha												0	0
of Vita	100	1	1	88		88				48	26	hp		46	50										lcha												0	0
of Life	100	1	1	1	35	9				48	26	hp		6	10										mcha												0	0
of Life	100	1	1	12	60	9				48	26	hp		11	15										mcha												0	0
of Substinence	100	1	1	26		19				48	26	hp		16	20										mcha												0	0
of Substinence	100	1	1	42		34				48	26	hp		21	25										mcha												0	0
of Vita	100	1	1	58		50				48	26	hp		26	30										mcha												0	0
of Vita	100	1	1	74		66				48	26	hp		31	35										mcha												0	0
of Life	100	1	1	1	60	14				48	26	hp		5	10										scha												0	0
of Substinence	100	1	1	23		17				48	26	hp		11	15										scha												0	0
of Vita	100	1	1	47		39				48	26	hp		16	20										scha												0	0
of Spirit	100	1	1	1	50	1				48	26	hp		3	8										jewl												0	0
of Hope	100	1	1	45		37				48	26	hp		9	20										jewl												0	0
of the Elephant	100	1	1	66		58				24	41	hp/lvl	4			mana/lvl	2							cred	ring	amul											0	0
of the Elephant	100	1	1	37		7				24	41	hp/lvl	4			mana/lvl	2							cred	circ	pelt											0	0
of the Kraken	100	1	1	20		1				12	41	hp/lvl	6											cred	tors	amul	pelt	phlm									0	0
of Memory	100	1	1	20		1				12	41	mana/lvl	6											cred	circ	amul	pelt										0	0
of Regeneration	100	1	1	10	35	7				48	19	regen		3	5										scep	belt	ring	amul	circ								0	0
of Regeneration	100	1	1	40		30				48	19	regen		3	5										shld	glov											0	0
of Regeneration	100	1	1	70		52				48	19	regen		3	5										tors	weap	boot					scep					0	0
of Regrowth	100	1	1	17		12				48	19	regen		6	10									cred	scep	amul	circ										0	0
of Regrowth	100	1	1	55		41				48	19	regen		6	9									cred	belt	ring											0	0
of Revivification	100	1	1	38		30				48	19	regen		11	15									cred	scep	amul	circ										0	0
of Honor	100	1	1	47		35				48	19	regen		1	4										jewl												0	0
of Regeneration	100	1	1	1	9	1				36	19	regen		2	2										amul	circ											0	0
of Vampiric Essence2	100	1	1	22		18				24	67	heal-kill		3	5										weap	belt	ring	amul	circ								0	0
of the Wight2	100	1	1	39		31				24	67	heal-kill		6	8										weap	belt	ring	amul	circ								0	0
of the Dragon's Spirit2	100	1	1	55		48				24	67	heal-kill		9	15										weap	belt	ring	amul	circ								0	0
of the Soul2	100	1	1	75		75				24	67	heal-kill		16	25										weap	belt	ring	amul	circ								0	0
of Pacing	100	1	1	12	50	8				36	35	move1		10	10										boot	circ											0	0
of Haste	100	1	1	22		16				48	35	move2		20	20										boot	circ											0	0
of Speed	100	1	1	37		29				48	35	move3		30	30										boot	circ											0	0
of Traveling	100	1	1	65		57				48	35	move3		30	30	stamdrain		80	90						boot												0	0
of Acceleration	100	1	1	51		43				48	35	move3		40	40										boot												0	0
of Inertia	100	1	1	19		14				48	35	move3		7	7										lcha												0	0
of Inertia	100	1	1	24		18				48	35	move2		5	5										mcha												0	0
of Inertia	100	1	1	35		27				48	35	move1		3	3										scha												0	0
of Balance	100	1	1	5		3				48	18	balance1		10	10										armo							glov					0	0
of Equilibrium	100	1	1	9		6				48	18	balance2		20	20										tors	belt	shld										0	0
of Stability	100	1	1	18		13				48	18	balance3		25	25									dyel	tors	belt											0	0
of Balance	100	1	1	1		1				48	18	balance3		12	12										lcha												0	0
of Balance	100	1	1	19		14				48	18	balance2		8	8										mcha												0	0
of Balance	100	1	1	37		29				48	18	balance1		5	5									dyel	scha												0	0
of Truth	100	1	1	44		36				48	18	balance1		7	7										jewl												0	0
of Readiness	100	1	1	5		3				72	7	swing1		10	10										weap							wand	orb				0	0
of Alacrity	100	1	1	25		17				72	7	swing2		20	20										weap							wand	orb				0	0
of Swiftness	100	1	1	34		26				72	7	swing2		30	30										mele							wand	staf	orb			0	0
of Quickness	100	1	1	46		38				60	7	swing3		40	40									dyel	mele							wand	staf	orb			0	0
of Alacrity	100	1	1	43		35				48	7	swing2		20	20									dyel	glov												0	0
of Fervor	100	1	1	39		31				48	7	swing1		15	15										glov												0	0
of Readiness	100	1	1	20		15				24	7	swing1		10	10										glov												0	0
of Fervor	100	1	1	39		31				48	7	swing1		15	15										jewl												0	0
of Thorns	100	1	1	14	35	10				48	6	thorns		1	3										tors	shld	belt	circ									0	0
of Spikes	100	1	1	21	60	15				48	6	thorns		4	6									oran	tors	shld	belt	circ									0	0
of Razors	100	1	1	34	80	26				48	6	thorns		7	9									oran	tors	shld	circ	belt									0	0
of Swords	100	1	1	47		39				48	6	thorns		10	20									oran	tors	shld	circ	belt									0	0
of Thorns	100	1	1	40		35				48	6	thorns/lvl	8												tors	shld											0	0
of Thorns	100	1	1	67		62				48	6	thorns/lvl	12												tors	shld											0	0
of Malice	100	1	1	37	40	29				48	6	thorns		1	5										jewl												0	0
of Thorns	100	1	1	1	13	1				48	6	thorns		1	1										tors	belt	shld										0	0
of Swords	100	1	1	55		45				36	6	thorns		21	40									oran	tors	shld	circ	belt									0	0
of Swords	100	1	1	65		55				24	6	thorns		41	50									oran	tors	shld	circ	belt									0	0
of Malice	100	1	1	60		48				48	6	thorns		8	15										jewl												0	0
of Light	100	1	1	1	5	1				48	25	light		1	1	att		10	10						ring	amul	rod	armo									0	0
of Light	100	1	1	6	45	4				12	25	light		1	1	att		15	15						armo	rod	ring	amul									0	0
of Radiance	100	1	1	15	65	11				12	25	light		3	3	att		30	30						rod	armo	ring	amul									0	0
of the Sun	100	1	1	17		12				12	25	light		5	5	att%		5	5						rod	armo	amul	ring									0	0
of Chance	100	1	1	12	50	9				48	22	mag%		5	12										boot	glov	ring	amul	circ								0	0
of Fortune	100	1	1	16		12				48	22	mag%		13	20									lgld	boot	glov	amul	circ	ring								0	0
of Fortune	100	1	1	26		19				48	22	mag%		21	25									lgld	boot	glov	amul	circ	ring								0	0
of Luck	100	1	1	36		31				48	22	mag%		26	35									lgld	boot	amul	circ										0	0
of Luck	100	1	1	53		48				48	22	mag%		36	50									lgld	amul	circ											0	0
of Fortune	100	1	1	31		18				36	22	mag%		3	5										scha												0	0
of Good Luck	100	1	1	47		33				24	22	mag%		6	7										scha												0	0
of Prosperity	100	1	1	26	35	19				24	22	mag%		5	10										jewl												0	0
of Prosperity	100	1	1	50		47				24	22	mag%		11	15										jewl												0	0
of Prosperity	100	1	1	80		75				12	22	mag%		16	20										jewl												0	0
of Greed	100	1	1	1		1				48	21	gold%		25	40										ring	amul	circ										0	0
of Wealth	100	1	1	17		12				48	21	gold%		41	80									lgld	boot	glov	belt	amul	circ								0	0
of Greed	100	1	1	1	40	1				48	21	gold%		10	20										lcha												0	0
of Greed	100	1	1	7		5				48	21	gold%		21	30										lcha												0	0
of Greed	100	1	1	19		14				48	21	gold%		31	40										lcha												0	0
of Greed	100	1	1	1	50	5				48	21	gold%		5	10										mcha												0	0
of Greed	100	1	1	20		15				48	21	gold%		11	22										mcha												0	0
of Greed	100	1	1	1		15				48	21	gold%		5	10										scha												0	0
of Avarice	100	1	1	1		1				48	21	gold%		10	30										jewl												0	0
of Simplicity	100	1	1	25		18				24	30	ease		-30	-30										tors	weap	shld					rod	orb				0	0
of Ease	100	1	1	15		11				36	30	ease		-20	-20										tors	weap	shld					rod	orb				0	0
of Freedom	100	1	1	1		1				36	30	ease		-15	-15										jewl												0	0
of Self-Repair	100	1	1	3	40	1				36	37	rep-dur	3												weap	armo	shld					thro	miss				0	0
of Fast Repair	100	1	1	20		12				12	37	rep-dur	5												weap	armo	shld					thro	miss				0	0
of Ages	100	1	1	50		42				12	39	indestruct		1	1										weap	armo	shld					thro	miss				0	0
of Replenishing	100	1	1	5		3				72	39	rep-quant	5												thro												0	0
of Propogation	100	1	1	24		18				60	39	rep-quant	10												thro												0	0
of Piercing	100	1	1	25		18				24	4	ignore-ac		1	1										rod	knif	h2h										0	0
of Piercing	100	1	1	77		70				24	4	ignore-ac		1	1										weap												0	0
of Bashing	100	1	1	16		12				48	5	reduce-ac		5	10										blun	miss						wand	staf	orb			0	0
of Puncturing	100	1	1	6		4				48	5	reduce-ac		11	20										spea	knif	h2h	miss									0	0
of Blocking	100	1	1	1		1				84	8	block		10	19	block2		15	15						shld												0	0
of Deflecting	100	1	1	11		8				76	8	block		20	30	block2		30	30						shld												0	0
of the Apprentice	100	1	1	5		3				72	9	cast1		10	10										rod	ring	amul	orb	circ								0	0
of the Magus	100	1	1	29		21				60	9	cast3		20	20										rod	orb	circ					scep					0	0
of Vileness	100	1	1	9		6				36	20	noheal		1	1										weap							rod	orb				0	0
of Vileness	100	1	1	44		37				36	20	noheal		1	1										glov	belt											0	0
of the Bear	100	1	1	8		6				36	24	knock		1	1										weap												0	0
of Bartering1	100	1	1	13		9				24	63	cheap		1	3										weap	ring	amul										0	0
of Haggling1	100	1	1	33		28				24	63	cheap		4	5										weap	ring	amul										0	0
of Charming1	100	1	1	57		45				24	63	cheap		6	7										weap	ring	amul										0	0
Sapping1	100	1	1	16		13				24	64	slow		5	10										weap	glov											0	0
Stunning1	100	1	1	32		27				24	64	slow		11	15										weap	glov											0	0
Stunning1	100	1	1	46		41				24	64	slow		16	20										weap	glov											0	0
Paralysis1	100	1	1	62		56				24	64	slow		21	25										weap												0	0
of Blindness1	100	1	1	23		20				12	65	stupidity		1	1										weap												0	0
of Blindness1	100	1	1	44		38				12	65	stupidity		2	2										weap												0	0
of Blindness1	100	1	1	61		57				12	65	stupidity		3	3										weap												0	0
of Reanimation1	100	1	1	51		47				12	66	reanimate	5	3	5										weap	glov	amul										0	0
of Inner Sight	100	1	1	19		19		ama	1	1	77	gethit-skill	8	4	6										amul	amaz	circ	glov									0	0
of Slow Missiles	100	1	1	12	34	12		ama	12	1	77	gethit-skill	17	5	1										amaz	glov	amul										0	0
of Slow Missiles	100	1	1	34	65	33		ama	12	1	77	gethit-skill	17	8	5										amaz	glov	amul										0	0
of Slow Missiles	100	1	1	65		33		ama	12	1	77	gethit-skill	17	10	8										amaz	glov	amul										0	0
of Freezing Arrows	100	1	1	30	65	33		ama	30	1	77	gethit-skill	31	25	3										miss	abow	glov										0	0
of Freezing Arrows	100	1	1	65		67		ama	30	1	77	gethit-skill	31	100	5										abow	miss											0	0
of Fire Bolts	100	1	1	1	11	1		sor	1	1	77	gethit-skill	36	3	1										weap	ring	circ										0	0
of Fire Bolts	100	1	1	11	22	10		sor	1	1	77	gethit-skill	36	5	4										weap	ring	circ										0	0
of Fire Bolts	100	1	1	22	36	20		sor	1	1	77	gethit-skill	36	7	7										weap	ring	circ										0	0
of Charged Bolts	100	1	1	1	11	1		sor	1	1	77	gethit-skill	38	3	1										weap	ring	circ										0	0
of Charged Bolts	100	1	1	11	22	10		sor	1	1	77	gethit-skill	38	5	4										weap	ring	circ										0	0
of Charged Bolts	100	1	1	22	36	20		sor	1	1	77	gethit-skill	38	7	7										weap	ring	circ										0	0
of Ice Bolts	100	1	1	1	11	1		sor	1	1	77	gethit-skill	39	3	1										weap	ring	circ										0	0
of Ice Bolts	100	1	1	11	22	10		sor	1	1	77	gethit-skill	39	5	4										weap	ring	circ										0	0
of Ice Bolts	100	1	1	22	36	20		sor	1	1	77	gethit-skill	39	7	7										weap	ring	circ										0	0
of Frozen Armor	100	1	1	1	30	1		sor	1	1	77	gethit-skill	40	8	1										orb	tors											0	0
of Frozen Armor	100	1	1	30		35		sor	1	1	77	gethit-skill	40	13	4										orb	tors											0	0
of Static Field	100	1	1	6	40	6		sor	6	1	77	gethit-skill	42	3	4										weap	ring	circ										0	0
of Static Field	100	1	1	40		45		sor	6	1	77	gethit-skill	42	7	9										weap	ring	circ										0	0
of Frost Novas	100	1	1	6	24	6		sor	6	1	77	gethit-skill	44	6	3										weap	amul	circ										0	0
of Frost Novas	100	1	1	24		23		sor	6	1	77	gethit-skill	44	8	7										weap	amul	circ										0	0
of Ice Blasts	100	1	1	6	24	6		sor	6	1	77	gethit-skill	45	4	2										weap	ring	circ										0	0
of Ice Blasts	100	1	1	24		24		sor	6	1	77	gethit-skill	45	9	8										weap	ring	circ										0	0
of Blazing	100	1	1	18	34	18		sor	12	1	77	gethit-skill	46	20	4										staf	orb	boots										0	0
of Fire Balls	100	1	1	18	32	18		sor	12	1	77	gethit-skill	47	5	5										weap												0	0
of Fire Balls	100	1	1	32	60	33		sor	12	1	77	gethit-skill	47	7	12										weap												0	0
of Fire Balls	100	1	1	60		63		sor	12	1	77	gethit-skill	47	8	20										weap												0	0
of Novas	100	1	1	28	60	32		sor	12	1	77	gethit-skill	48	6	9										weap	shld											0	0
of Novas	100	1	1	60		61		sor	12	1	77	gethit-skill	48	12	15										weap	shld											0	0
of Lightning	100	1	1	24	48	18		sor	12	1	77	gethit-skill	49	8	7										weap												0	0
of Lightning	100	1	1	48	40	48		sor	12	1	77	gethit-skill	49	8	17										weap												0	0
of Shiver Armor	100	1	1	20		20		sor	12	1	77	gethit-skill	50	12	9										weap	tors											0	0
of Fire Walls	100	1	1	24	45	24		sor	18	1	77	gethit-skill	51	4	7										weap												0	0
of Fire Walls	100	1	1	45		45		sor	18	1	77	gethit-skill	51	7	16										weap												0	0
of Enchantment	100	1	1	18	36	18		sor	18	1	77	gethit-skill	52	8	11										weap												0	0
of Enchantment	100	1	1	36		36		sor	18	1	77	gethit-skill	52	11	19										weap												0	0
of Chain Lightning	100	1	1	24	46	24		sor	18	1	77	gethit-skill	53	6	6										weap												0	0
of Chain Lightning	100	1	1	46		45		sor	18	1	77	gethit-skill	53	9	17										weap												0	0
of Teleportation	100	1	1	30		30		sor	18	1	77	gethit-skill	54	10	1										weap	amul											0	0
of Glacial Spikes	100	1	1	18	40	18		sor	18	1	77	gethit-skill	55	6	9										weap												0	0
of Glacial Spikes	100	1	1	40		40		sor	18	1	77	gethit-skill	55	9	16										weap												0	0
of Meteors	100	1	1	32	62	32		sor	24	1	77	gethit-skill	56	4	7										weap												0	0
of Meteors	100	1	1	62		65		sor	24	1	77	gethit-skill	56	8	18										weap												0	0
of Thunder Storm	100	1	1	24	55	25		sor	24	1	77	gethit-skill	57	12	9										weap												0	0
of Energy Shield	100	1	1	24	45	25		sor	24	1	77	gethit-skill	58	7	6										weap	helm											0	0
of Energy Shield	100	1	1	45		45		sor	24	1	77	gethit-skill	58	10	13										helm	weap											0	0
of Blizzards	100	1	1	29	57	29		sor	24	1	77	gethit-skill	59	9	6										weap												0	0
of Blizzards	100	1	1	57		60		sor	24	1	77	gethit-skill	59	14	17										weap												0	0
of Chilling Armor	100	1	1	36		38		sor	24	1	77	gethit-skill	60	15	12										weap	tors											0	0
of Hydras	100	1	1	34	80	34		sor	30	1	77	gethit-skill	62	6	3										weap												0	0
of Hydras	100	1	1	80		85		sor	30	1	77	gethit-skill	62	12	19										weap												0	0
of Frozen Orbs	100	1	1	30	80	33		sor	30	1	77	gethit-skill	64	4	3										weap												0	0
of Frozen Orbs	100	1	1	80		85		sor	30	1	77	gethit-skill	64	4	22										weap												0	0
of Amplify Damage	100	1	1	1	18	1		nec	1	1	77	gethit-skill	66	4	1										weap	head											0	0
of Amplify Damage	100	1	1	18		20		nec	1	1	77	gethit-skill	66	8	12										weap	head											0	0
of Teeth	100	1	1	1	18	1		nec	1	1	77	gethit-skill	67	17	1										weap	head											0	0
of Teeth	100	1	1	18		18		nec	1	1	77	gethit-skill	67	8	20										weap	head											0	0
of Bone Armor	100	1	1	1	30	1		nec	1	1	77	gethit-skill	68	5	1										weap	tors	head										0	0
of Bone Armor	100	1	1	30		35		nec	1	1	77	gethit-skill	68	9	15										tors	weap	head										0	0
of Dim Vision	100	1	1	6	24	6		nec	6	1	77	gethit-skill	71	5	1										ring	circ	head	weap									0	0
of Dim Vision	100	1	1	24		20		nec	6	1	77	gethit-skill	71	7	10										ring	circ	head	weap									0	0
of Weaken	100	1	1	6	24	6		nec	6	1	77	gethit-skill	72	5	1										weap	glov	head										0	0
of Weaken	100	1	1	24		24		nec	6	1	77	gethit-skill	72	8	12										glov	weap	head										0	0
of Corpse Explosions	100	1	1	6	40	6		nec	6	1	77	gethit-skill	74	4	1										weap	head											0	0
of Corpse Explosions	100	1	1	40		45		nec	6	1	77	gethit-skill	74	7	18										weap	head											0	0
of Iron Maiden	100	1	1	12	30	12		nec	12	1	77	gethit-skill	76	3	1										shld	weap	head										0	0
of Iron Maiden	100	1	1	30		30		nec	12	1	77	gethit-skill	76	6	10										shld	weap	head										0	0
of Terror	100	1	1	12	30	12		nec	12	1	77	gethit-skill	77	4	1										shld	weap	head										0	0
of Terror	100	1	1	30		30		nec	12	1	77	gethit-skill	77	9	12										shld	weap	head										0	0
of Bone Walls	100	1	1	12	35	12		nec	12	1	77	gethit-skill	78	5	1										weap	head											0	0
of Bone Walls	100	1	1	35		37		nec	12	1	77	gethit-skill	78	4	25										weap	head											0	0
of Confusion	100	1	1	18	36	18		nec	18	1	77	gethit-skill	81	35	1										ring	circ	head	weap									0	0
of Confusion	100	1	1	36		35		nec	18	1	77	gethit-skill	81	35	5										ring	circ	head	weap									0	0
of Life Tap	100	1	1	18	40	18		nec	18	1	77	gethit-skill	82	12	1										weap	ring	head										0	0
of Life Tap	100	1	1	40		41		nec	18	1	77	gethit-skill	82	19	5										weap	ring	head										0	0
of Poison Explosion	100	1	1	18	36	18		nec	18	1	77	gethit-skill	83	4	1										weap	head											0	0
of Poison Explosion	100	1	1	36		36		nec	18	1	77	gethit-skill	83	5	10										weap	head											0	0
of Bone Spears	100	1	1	18	55	18		nec	18	1	77	gethit-skill	84	7	1										weap	head											0	0
of Bone Spears	100	1	1	55		55		nec	18	1	77	gethit-skill	84	11	20										weap	head											0	0
of Attraction	100	1	1	24	48	25		nec	24	1	77	gethit-skill	86	5	2										ring	amul	head	circ	weap								0	0
of Attraction	100	1	1	48	77	44		nec	24	1	77	gethit-skill	86	7	16										ring	amul	circ	head	weap								0	0
of Decrepification	100	1	1	24	70	25		nec	24	1	77	gethit-skill	87	11	2										weap	shld	head										0	0
of Decrepification	100	1	1	70		75		nec	24	1	77	gethit-skill	87	10	15										shld	weap	head										0	0
of Bone Imprisonment	100	1	1	24	46	25		nec	24	1	77	gethit-skill	88	8	2										weap	ring	head										0	0
of Bone Imprisonment	100	1	1	46		44		nec	24	1	77	gethit-skill	88	8	14										weap	ring	head										0	0
of Lower Resistance	100	1	1	30	77	33		nec	30	1	77	gethit-skill	91	6	3										weap	head											0	0
of Lower Resistance	100	1	1	77		80		nec	30	1	77	gethit-skill	91	6	18										weap	head											0	0
of Poison Novas	100	1	1	30	48	33		nec	30	1	77	gethit-skill	92	5	3										weap	glov	head										0	0
of Poison Novas	100	1	1	48		48		nec	30	1	77	gethit-skill	92	7	14										glov	weap	glov										0	0
of Bone Spirits	100	1	1	30	48	33		nec	30	1	77	gethit-skill	93	4	3										amul	circ	head	weap									0	0
of Bone Spirits	100	1	1	48		48		nec	30	1	77	gethit-skill	93	6	23										amul	circ	head	weap									0	0
of Revivification	100	1	1	30	80	33		nec	30	1	77	gethit-skill	95	4	3										weap	head											0	0
of Revivification	100	1	1	80		85		nec	30	1	77	gethit-skill	95	7	10										weap	head											0	0
of Holy Bolts	100	1	1	6	24	6		pal	6	1	77	gethit-skill	101	12	1										mele	ashd	amul	circ									0	0
of Holy Bolts	100	1	1	24	50	24		pal	6	1	77	gethit-skill	101	12	16										amul	circ	mele	circ									0	0
of Blessed Hammers	100	1	1	18	50	18		pal	18	1	77	gethit-skill	112	5	1										mele	ashd											0	0
of Blessed Hammers	100	1	1	50		45		pal	18	1	77	gethit-skill	112	9	20										mele	ashd											0	0
of Fist of the Heavens	100	1	1	30	60	33		pal	30	1	77	gethit-skill	121	4	3										mele	ashd	glov										0	0
of Fist of the Heavens	100	1	1	60		60		pal	30	1	77	gethit-skill	121	7	14										glov	mele	glov										0	0
of Howling	100	1	1	1	18	1		bar	1	1	77	gethit-skill	130	7	1										phlm	mele											0	0
of Howling	100	1	1	18	55	18		bar	1	1	77	gethit-skill	130	8	12										phlm	mele											0	0
of Taunting	100	1	1	6	24	6		bar	6	1	77	gethit-skill	137	4	1										phlm	mele											0	0
of Taunting	100	1	1	24	51	24		bar	6	1	77	gethit-skill	137	8	13										phlm	mele											0	0
of Shouting	100	1	1	6	40	6		bar	6	1	77	gethit-skill	138	6	3										phlm	mele											0	0
of Shouting	100	1	1	40		45		bar	6	1	77	gethit-skill	138	8	17										phlm	mele											0	0
of Battle Cry	100	1	1	18	36	18		bar	18	1	77	gethit-skill	146	20	1										phlm	mele											0	0
of Battle Cry	100	1	1	36	65	36		bar	18	1	77	gethit-skill	146	15	18										phlm	mele											0	0
of Battle Orders	100	1	1	24	55	25		bar	24	1	77	gethit-skill	149	5	2										phlm	mele											0	0
