Name	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword114	Purity	1			shld									JahIstShaelZod	r31	r24	r13	r33			block		55	55	heal-kill		15	15	balance3		50	50	res-all		30	50	gethit-skill	68	10	19	hit-skill	71	35	8	ac/lvl	32			0
Runeword115	Question	1			swor									KoNef	r18	r04					mag%/lvl	12			gold%/lvl	16			str/lvl	6			dex/lvl	6			vit/lvl	6			enr/lvl	6			dex		-10	-10	0
Runeword117	Rain	1			circ									BerChamBer	r30	r32	r30				levelreq		22	22	allskills		4	4	hp		100	150	mana		60	100	all-stats		25	25	regen		20	20	regen-mana		100	100	0
Runeword118	Reason	1			staf									LumLumZodTir	r17	r17	r33	r03			sor		3	3	cast3		50	50	aura	120	5	5	addxp		3	3	red-dmg%		20	20	dmg-to-mana		20	20	skill-rand	8	36	65	0
Runeword119	Red	1			mele									IoRalRalHel	r16	r08	r08	r15			dmg%		155	155	rep-dur	20			res-fire		35	50	abs-fire%		10	10	res-cold		-20	-20	extra-fire		15	25	hit-skill	56	8	4	0
Runeword121	Rift	1			pole	scep								HelKoLemGul	r15	r18	r20	r25			hit-skill	245	20	16	att-skill	64	16	21	dmg-mag		160	250	dmg-fire		60	180	all-stats		5	10	dmg-to-mana		38	38	charged	76	40	15	0
Runeword76	The Lovers	1			abow									PulHelEl	r21	r15	r01				ama		2	2	hp		75	75	mana		50	50	dmg%		200	200	swing3		40	40	deadly		30	30	explosivearrow		1	1	0
Runeword143	Thirst	1			spea									SolThulRal	r12	r10	r08				allskills		1	1	dmg%		125	150	addxp		1	3	heal-kill		8	12	mana-kill		2	5	dmg/lvl	12							0
Runeword68	Thirst for Knowledge	1			swor									ElElEl	r01	r01	r01				dmg%		100	100	dmg/lvl	12			addxp		20	20	allskills		1	1	swing1		15	15	levelreq		11	11					0
Runeword144	Thought	1			orb									TirLumIst	r03	r17	r24				sor		2	2	regen		6	6	regen-mana		75	75	pierce-ltng		20	20	extra-cold		20	20	block		15	15	balance2		20	20	0
Runeword145	Thunder	1			mele									PulLemKoFal	r21	r20	r18	r19			dmg%		235	235	dmg-ltng		1	444	gethit-skill	57	10	22	res-ltng		75	75	res-cold		-25	-25	oskill	42	1	1	addxp		2	2	0
Runeword146	Time	1			armo	shld								JahAmn	r31	r11					ac%		160	220	Levelreq		20	20	hp		35	50	hp%		10	20	gethit-skill	48	100	25	noheal		1	1	oskill	teleport	1	1	0
Runeword147	Tradition	1			aspe									SurLoOhmGulIst	r29	r28	r27	r25	r24		ama		3	3	dmg%		325	400	lifesteal		10	10	manasteal		10	10	swing3		50	50	pierce-ltng		25	25	extra-ltng		25	25	0
Runeword148	Treachery	1		111	tors									ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Runeword149	Trust	1			tors									AmnOhmFal	r11	r27	r19				levelreq		5	5	ac%		125	200	allskills		1	1	hp		75	100	swing2		20	20	dmg-norm		15	30	death-skill	nova	100	57	0
Runeword150	Truth	1			orb									SolIth	r12	r06					dmg%		100	100	sor		1	1	mana		35	35	regen-mana		75	75	cast2		25	25									0
Runeword151	Unbending Will	1			swor									BerLumIstIstTirAmn	r30	r17	r24	r24	r03	r11	dmg%		280	280	ethereal		1	1	indestruct		1	1	hit-skill	48	50	10	noheal		1	1	levelreq		12	12	balance3		60	60	0
Runeword152	Valor	1			mele									ShaelTirDolChamSurUm	r13	r03	r14	r32	r29	r22	levelreq		10	10	dmg-min		100	100	dmg/lvl	20			ethereal		1	1	indestruct		1	1	addxp		5	5	charged	149	15	40	0
Runeword153	Vengeance	1			h2h									Dol + Nef	r14	r04					dmg-norm		35	70	death-skill	poison nova	100	55	lifesteal		6	6	hp		40	40	all-stats		10	10	ass		1	1					0
Runeword155	Victory	1			axe									OhmOhmIstLemOhmOhm	r27	r27	r24	r20	r27	r27	levelreq		24	24	dmg/lvl	20			rep-dur	10			swing3		60	60	ease		-50	-50	noheal		1	1	dmg-elem	125	1	300	0
Runeword156	Voice	1			armo	shld								UmIthAmnHel	r22	r06	r11	r15			levelreq		1	1	extra-cold		10	15	extra-fire		10	15	extra-ltng		10	15	res-all		7	10	howl		77	77	mana/lvl	8			0
Runeword157	Void	1			barb									SolAmn	r12	r11					bar		1	1	dmg-max		10	15	hp		50	50	balance2		25	25	move2		25	25	lifesteal		3	6	manasteal		3	6	0
Runeword158	War	1			helm									IoHel	r16	r15					ac%		100	140	dmg%		35	50	swing3		30	30	red-dmg%		20	25	ignore-ac		1	1	noheal		1	1	balance2		25	25	0
Runeword159	Water	1			spea									KoShaelHel	r18	r13	r15				dmg-cold	150	33	122	regen-mana		35	35	regen		3	5	dmg%		175	175	balance2		25	25	levelup-skill	battle orders	100	25	res-fire		50	50	0
Runeword161	Whisper	1			weap									ShaelShaelShael	r13	r13	r13				dmg-norm		25	75	dmg%		100	100	regen		6	6	reduce-ac		15	15	ease		-25	-25									0
Runeword47	Widowmaker	1			swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		hit-skill	278	20	15	swing2		30	40	dmg		340	400	ignore-ac		1	1	dmg-dem/lvl	15			pierce-pois		20	25	heal-kill		11	11	0
Runeword163	Wind	1			mele									SurEl	r29	r01					hit-skill	245	10	9	move2		20	20	swing2		40	40	balance2		15	15	dmg%	120	120	160	reduce-ac		50	50	charged	240	127	13	0
Runeword164	Wings of Hope	1			scep									ChamCham	r32	r32					dmg-min		60	100	dmg-max		150	200	oskill	teleport	8	8	aura	125	3	3	hit-skill	84	25	35	rip		1	1	all-stats		20	20	0
Runeword99	Winter	1			swor	mace								LemKoElEld	r20	r18	r01	r02			hit-skill	64	15	13	hit-skill	45	18	20	dmg-demon		220	350	dmg-undead		280	300	dmg-cold	75	100	220	pierce-cold		24	24	nofreeze		1	1	0
Runeword165	Wisdom	1			wand									JahLum	r31	r17					allskills		2	2	addxp		3	5	cheap		10	10	mana/lvl	16			regen		5	5	regen-mana		75	75	res-mag		20	20	0
Runeword166	Woe	1			tors									ChamTirShael	r32	r03	r13				levelreq	7	7		gethit-skill	53	25	25	gethit-skill	47	25	25	gethit-skill	59	25	25	allskills		2	2	all-stats		25	25	res-pois-len		80	80	0
Runeword167	Wonder	1			mele									VexAmnShaelAmnVex	r26	r11	r13	r11	r26		dmg%		275	275	balance2		30	30	str		20	20	dex		20	20	gold%/time	1	1	200	mag%/time	3	1	100	hp/lvl	12			0
Runeword168	Wrath	1			miss									PulLumBerMal	r21	r17	r30	r23			hit-skill	87	30	1	hit-skill	82	5	10	dmg-demon		300	300	nofreeze		1	1	dmg-undead		250	300	dmg-mag		85	120	dmg-ltng		41	240	0
Runeword169	Youth	1			tors									OrtEth	r09	r05					res-fire		30	35	res-cold		30	35	res-pois		30	35	ac%		90	120	regen		8	10	regen-mana		85	85	hit-skill	72	9	4	0
