Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
rmap_mi4_boss	aura	100	523	100	100											aura	100	98	14	14	att-skill	100	56	15	24	gethit-skill	100	316	5	24	aura	100	523	100	100											aura	100	98	14	14	att-skill	100	56	15	24	gethit-skill	100	316	5	24	aura	100	523	100	100											aura	100	98	14	14	att-skill	100	56	15	24	gethit-skill	100	316	5	24	0
rmap_mi5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mi5_boss	aura	100	523	125	125											aura	100	98	16	16	att-skill	100	56	15	28	gethit-skill	100	316	5	28	aura	100	523	125	125											aura	100	98	16	16	att-skill	100	56	15	28	gethit-skill	100	316	5	28	aura	100	523	125	125											aura	100	98	16	16	att-skill	100	56	15	28	gethit-skill	100	316	5	28	0
rmap_mi6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mi6_boss	aura	100	523	150	150											aura	100	98	18	18	att-skill	100	56	15	32	gethit-skill	100	316	5	32	aura	100	523	150	150											aura	100	98	18	18	att-skill	100	56	15	32	gethit-skill	100	316	5	32	aura	100	523	150	150											aura	100	98	18	18	att-skill	100	56	15	32	gethit-skill	100	316	5	32	0
rmap_expansion_probe	move2	100	1	11	21	swing2	100	2	12	22	dmg-fire	100	3	13	23	dmg-cold	100	4	14	24	dmg-ltng	100	5	15	25	move2	100	6	16	26	move2	100	1	11	21	swing2	100	2	12	22	dmg-fire	100	3	13	23	dmg-cold	100	4	14	24	dmg-ltng	100	5	15	25	move2	100	6	16	26	move2	100	1	11	21	swing2	100	2	12	22	dmg-fire	100	3	13	23	dmg-cold	100	4	14	24	dmg-ltng	100	5	15	25	move2	100	6	16	26	0
rmap_treasure_1_jewel																																																																																											0
rmap_treasure_1_amulet																																																																																											0
rmap_treasure_2_jewel																																																																																											0
rmap_treasure_2_amulet																																																																																											0
rmap_treasure_3_jewel																																																																																											0
rmap_treasure_3_amulet																																																																																											0
rmap_treasure_4_jewel																																																																																											0
rmap_treasure_4_amulet																																																																																											0
rmap_treasure_5_jewel																																																																																											0
rmap_treasure_5_amulet																																																																																											0
rmap_treasure_6_jewel																																																																																											0
rmap_treasure_6_amulet																																																																																											0
rmap_event_raider_1																																																																																											0
rmap_event_guard_1																																																																																											0
rmap_event_raider_2																																																																																											0
rmap_event_guard_2																																																																																											0
rmap_event_raider_3																																																																																											0
rmap_event_guard_3																																																																																											0
rmap_event_raider_4																																																																																											0
rmap_event_guard_4																																																																																											0
rmap_event_raider_5																																																																																											0
rmap_event_guard_5																																																																																											0
rmap_event_raider_6																																																																																											0
rmap_event_guard_6																																																																																											0
rmap_event_wave_md1																																																																																											0
rmap_event_keeper_md1_crafting																																																																																											0
rmap_event_keeper_md1_equipment																																																																																											0
rmap_event_keeper_md1_maps																																																																																											0
rmap_event_challenger_md1																																																																																											0
rmap_event_wave_md2																																																																																											0
rmap_event_keeper_md2_crafting																																																																																											0
rmap_event_keeper_md2_equipment																																																																																											0
rmap_event_keeper_md2_maps																																																																																											0
rmap_event_challenger_md2																																																																																											0
rmap_event_wave_md3																																																																																											0
rmap_event_keeper_md3_crafting																																																																																											0
rmap_event_keeper_md3_equipment																																																																																											0
rmap_event_keeper_md3_maps																																																																																											0
rmap_event_challenger_md3																																																																																											0
rmap_event_wave_md4																																																																																											0
rmap_event_keeper_md4_crafting																																																																																											0
rmap_event_keeper_md4_equipment																																																																																											0
rmap_event_keeper_md4_maps																																																																																											0
rmap_event_challenger_md4																																																																																											0
rmap_event_wave_md5																																																																																											0
rmap_event_keeper_md5_crafting																																																																																											0
rmap_event_keeper_md5_equipment																																																																																											0
rmap_event_keeper_md5_maps																																																																																											0
rmap_event_challenger_md5																																																																																											0
rmap_event_wave_md6																																																																																											0
rmap_event_keeper_md6_crafting																																																																																											0
rmap_event_keeper_md6_equipment																																																																																											0
rmap_event_keeper_md6_maps																																																																																											0
rmap_event_challenger_md6																																																																																											0
rmap_event_wave_mk1																																																																																											0
rmap_event_keeper_mk1_crafting																																																																																											0
rmap_event_keeper_mk1_equipment																																																																																											0
rmap_event_keeper_mk1_maps																																																																																											0
rmap_event_challenger_mk1																																																																																											0
rmap_event_wave_mk2																																																																																											0
rmap_event_keeper_mk2_crafting																																																																																											0
rmap_event_keeper_mk2_equipment																																																																																											0
rmap_event_keeper_mk2_maps																																																																																											0
rmap_event_challenger_mk2																																																																																											0
rmap_event_wave_mk3																																																																																											0
rmap_event_keeper_mk3_crafting																																																																																											0
rmap_event_keeper_mk3_equipment																																																																																											0
rmap_event_keeper_mk3_maps																																																																																											0
rmap_event_challenger_mk3																																																																																											0
rmap_event_wave_mk4																																																																																											0
rmap_event_keeper_mk4_crafting																																																																																											0
rmap_event_keeper_mk4_equipment																																																																																											0
rmap_event_keeper_mk4_maps																																																																																											0
rmap_event_challenger_mk4																																																																																											0
rmap_event_wave_mk5																																																																																											0
rmap_event_keeper_mk5_crafting																																																																																											0
rmap_event_keeper_mk5_equipment																																																																																											0
rmap_event_keeper_mk5_maps																																																																																											0
rmap_event_challenger_mk5																																																																																											0
rmap_event_wave_mk6																																																																																											0
rmap_event_keeper_mk6_crafting																																																																																											0
rmap_event_keeper_mk6_equipment																																																																																											0
rmap_event_keeper_mk6_maps																																																																																											0
rmap_event_challenger_mk6																																																																																											0
rmap_event_wave_mc1																																																																																											0
rmap_event_keeper_mc1_crafting																																																																																											0
rmap_event_keeper_mc1_equipment																																																																																											0
rmap_event_keeper_mc1_maps																																																																																											0
rmap_event_challenger_mc1																																																																																											0
rmap_event_wave_mc2																																																																																											0
rmap_event_keeper_mc2_crafting																																																																																											0
rmap_event_keeper_mc2_equipment																																																																																											0
rmap_event_keeper_mc2_maps																																																																																											0
rmap_event_challenger_mc2																																																																																											0
rmap_event_wave_mc3																																																																																											0
rmap_event_keeper_mc3_crafting																																																																																											0
rmap_event_keeper_mc3_equipment																																																																																											0
rmap_event_keeper_mc3_maps																																																																																											0
rmap_event_challenger_mc3																																																																																											0
rmap_event_wave_mc4																																																																																											0
rmap_event_keeper_mc4_crafting																																																																																											0
rmap_event_keeper_mc4_equipment																																																																																											0
rmap_event_keeper_mc4_maps																																																																																											0
rmap_event_challenger_mc4																																																																																											0
rmap_event_wave_mc5																																																																																											0
rmap_event_keeper_mc5_crafting																																																																																											0
rmap_event_keeper_mc5_equipment																																																																																											0
rmap_event_keeper_mc5_maps																																																																																											0
rmap_event_challenger_mc5																																																																																											0
rmap_event_wave_mc6																																																																																											0
rmap_event_keeper_mc6_crafting																																																																																											0
rmap_event_keeper_mc6_equipment																																																																																											0
rmap_event_keeper_mc6_maps																																																																																											0
rmap_event_challenger_mc6																																																																																											0
rmap_event_wave_mf1																																																																																											0
rmap_event_keeper_mf1_crafting																																																																																											0
rmap_event_keeper_mf1_equipment																																																																																											0
rmap_event_keeper_mf1_maps																																																																																											0
rmap_event_challenger_mf1																																																																																											0
rmap_event_wave_mf2																																																																																											0
rmap_event_keeper_mf2_crafting																																																																																											0
rmap_event_keeper_mf2_equipment																																																																																											0
rmap_event_keeper_mf2_maps																																																																																											0
rmap_event_challenger_mf2																																																																																											0
rmap_event_wave_mf3																																																																																											0
rmap_event_keeper_mf3_crafting																																																																																											0
rmap_event_keeper_mf3_equipment																																																																																											0
rmap_event_keeper_mf3_maps																																																																																											0
rmap_event_challenger_mf3																																																																																											0
rmap_event_wave_mf4																																																																																											0
rmap_event_keeper_mf4_crafting																																																																																											0
rmap_event_keeper_mf4_equipment																																																																																											0
rmap_event_keeper_mf4_maps																																																																																											0
rmap_event_challenger_mf4																																																																																											0
rmap_event_wave_mf5																																																																																											0
rmap_event_keeper_mf5_crafting																																																																																											0
rmap_event_keeper_mf5_equipment																																																																																											0
rmap_event_keeper_mf5_maps																																																																																											0
rmap_event_challenger_mf5																																																																																											0
rmap_event_wave_mf6																																																																																											0
rmap_event_keeper_mf6_crafting																																																																																											0
rmap_event_keeper_mf6_equipment																																																																																											0
rmap_event_keeper_mf6_maps																																																																																											0
rmap_event_challenger_mf6																																																																																											0
rmap_event_wave_mw1																																																																																											0
rmap_event_keeper_mw1_crafting																																																																																											0
rmap_event_keeper_mw1_equipment																																																																																											0
rmap_event_keeper_mw1_maps																																																																																											0
rmap_event_challenger_mw1																																																																																											0
rmap_event_wave_mw2																																																																																											0
rmap_event_keeper_mw2_crafting																																																																																											0
rmap_event_keeper_mw2_equipment																																																																																											0
rmap_event_keeper_mw2_maps																																																																																											0
rmap_event_challenger_mw2																																																																																											0
rmap_event_wave_mw3																																																																																											0
rmap_event_keeper_mw3_crafting																																																																																											0
rmap_event_keeper_mw3_equipment																																																																																											0
rmap_event_keeper_mw3_maps																																																																																											0
rmap_event_challenger_mw3																																																																																											0
rmap_event_wave_mw4																																																																																											0
rmap_event_keeper_mw4_crafting																																																																																											0
rmap_event_keeper_mw4_equipment																																																																																											0
rmap_event_keeper_mw4_maps																																																																																											0
rmap_event_challenger_mw4																																																																																											0
rmap_event_wave_mw5																																																																																											0
rmap_event_keeper_mw5_crafting																																																																																											0
rmap_event_keeper_mw5_equipment																																																																																											0
rmap_event_keeper_mw5_maps																																																																																											0
rmap_event_challenger_mw5																																																																																											0
rmap_event_wave_mw6																																																																																											0
rmap_event_keeper_mw6_crafting																																																																																											0
rmap_event_keeper_mw6_equipment																																																																																											0
rmap_event_keeper_mw6_maps																																																																																											0
rmap_event_challenger_mw6																																																																																											0
rmap_event_wave_ms1																																																																																											0
rmap_event_keeper_ms1_crafting																																																																																											0
rmap_event_keeper_ms1_equipment																																																																																											0
rmap_event_keeper_ms1_maps																																																																																											0
rmap_event_challenger_ms1																																																																																											0
rmap_event_wave_ms2																																																																																											0
rmap_event_keeper_ms2_crafting																																																																																											0
rmap_event_keeper_ms2_equipment																																																																																											0
rmap_event_keeper_ms2_maps																																																																																											0
rmap_event_challenger_ms2																																																																																											0
rmap_event_wave_ms3																																																																																											0
rmap_event_keeper_ms3_crafting																																																																																											0
rmap_event_keeper_ms3_equipment																																																																																											0
rmap_event_keeper_ms3_maps																																																																																											0
rmap_event_challenger_ms3																																																																																											0
rmap_event_wave_ms4																																																																																											0
rmap_event_keeper_ms4_crafting																																																																																											0
rmap_event_keeper_ms4_equipment																																																																																											0
rmap_event_keeper_ms4_maps																																																																																											0
rmap_event_challenger_ms4																																																																																											0
rmap_event_wave_ms5																																																																																											0
rmap_event_keeper_ms5_crafting																																																																																											0
rmap_event_keeper_ms5_equipment																																																																																											0
rmap_event_keeper_ms5_maps																																																																																											0
rmap_event_challenger_ms5																																																																																											0
rmap_event_wave_ms6																																																																																											0
rmap_event_keeper_ms6_crafting																																																																																											0
rmap_event_keeper_ms6_equipment																																																																																											0
rmap_event_keeper_ms6_maps																																																																																											0
rmap_event_challenger_ms6																																																																																											0
rmap_event_wave_mh1																																																																																											0
rmap_event_keeper_mh1_crafting																																																																																											0
rmap_event_keeper_mh1_equipment																																																																																											0
rmap_event_keeper_mh1_maps																																																																																											0
rmap_event_challenger_mh1																																																																																											0
rmap_event_wave_mh2																																																																																											0
rmap_event_keeper_mh2_crafting																																																																																											0
rmap_event_keeper_mh2_equipment																																																																																											0
rmap_event_keeper_mh2_maps																																																																																											0
rmap_event_challenger_mh2																																																																																											0
rmap_event_wave_mh3																																																																																											0
rmap_event_keeper_mh3_crafting																																																																																											0
rmap_event_keeper_mh3_equipment																																																																																											0
rmap_event_keeper_mh3_maps																																																																																											0
rmap_event_challenger_mh3																																																																																											0
rmap_event_wave_mh4																																																																																											0
rmap_event_keeper_mh4_crafting																																																																																											0
rmap_event_keeper_mh4_equipment																																																																																											0
rmap_event_keeper_mh4_maps																																																																																											0
rmap_event_challenger_mh4																																																																																											0
rmap_event_wave_mh5																																																																																											0
rmap_event_keeper_mh5_crafting																																																																																											0
rmap_event_keeper_mh5_equipment																																																																																											0
rmap_event_keeper_mh5_maps																																																																																											0
rmap_event_challenger_mh5																																																																																											0
rmap_event_wave_mh6																																																																																											0
rmap_event_keeper_mh6_crafting																																																																																											0
rmap_event_keeper_mh6_equipment																																																																																											0
rmap_event_keeper_mh6_maps																																																																																											0
rmap_event_challenger_mh6																																																																																											0
rmap_event_wave_mt1																																																																																											0
rmap_event_keeper_mt1_crafting																																																																																											0
rmap_event_keeper_mt1_equipment																																																																																											0
rmap_event_keeper_mt1_maps																																																																																											0
rmap_event_challenger_mt1																																																																																											0
rmap_event_wave_mt2																																																																																											0
rmap_event_keeper_mt2_crafting																																																																																											0
rmap_event_keeper_mt2_equipment																																																																																											0
rmap_event_keeper_mt2_maps																																																																																											0
rmap_event_challenger_mt2																																																																																											0
rmap_event_wave_mt3																																																																																											0
rmap_event_keeper_mt3_crafting																																																																																											0
rmap_event_keeper_mt3_equipment																																																																																											0
rmap_event_keeper_mt3_maps																																																																																											0
rmap_event_challenger_mt3																																																																																											0
rmap_event_wave_mt4																																																																																											0
rmap_event_keeper_mt4_crafting																																																																																											0
rmap_event_keeper_mt4_equipment																																																																																											0
rmap_event_keeper_mt4_maps																																																																																											0
rmap_event_challenger_mt4																																																																																											0
rmap_event_wave_mt5																																																																																											0
rmap_event_keeper_mt5_crafting																																																																																											0
rmap_event_keeper_mt5_equipment																																																																																											0
rmap_event_keeper_mt5_maps																																																																																											0
rmap_event_challenger_mt5																																																																																											0
rmap_event_wave_mt6																																																																																											0
rmap_event_keeper_mt6_crafting																																																																																											0
rmap_event_keeper_mt6_equipment																																																																																											0
rmap_event_keeper_mt6_maps																																																																																											0
rmap_event_challenger_mt6																																																																																											0
rmap_event_wave_me1																																																																																											0
rmap_event_keeper_me1_crafting																																																																																											0
rmap_event_keeper_me1_equipment																																																																																											0
rmap_event_keeper_me1_maps																																																																																											0
rmap_event_challenger_me1																																																																																											0
rmap_event_wave_me2																																																																																											0
rmap_event_keeper_me2_crafting																																																																																											0
rmap_event_keeper_me2_equipment																																																																																											0
rmap_event_keeper_me2_maps																																																																																											0
rmap_event_challenger_me2																																																																																											0
rmap_event_wave_me3																																																																																											0
rmap_event_keeper_me3_crafting																																																																																											0
rmap_event_keeper_me3_equipment																																																																																											0
rmap_event_keeper_me3_maps																																																																																											0
rmap_event_challenger_me3																																																																																											0
rmap_event_wave_me4																																																																																											0
rmap_event_keeper_me4_crafting																																																																																											0
rmap_event_keeper_me4_equipment																																																																																											0
rmap_event_keeper_me4_maps																																																																																											0
rmap_event_challenger_me4																																																																																											0
rmap_event_wave_me5																																																																																											0
rmap_event_keeper_me5_crafting																																																																																											0
rmap_event_keeper_me5_equipment																																																																																											0
rmap_event_keeper_me5_maps																																																																																											0
rmap_event_challenger_me5																																																																																											0
rmap_event_wave_me6																																																																																											0
rmap_event_keeper_me6_crafting																																																																																											0
rmap_event_keeper_me6_equipment																																																																																											0
rmap_event_keeper_me6_maps																																																																																											0
rmap_event_challenger_me6																																																																																											0
rmap_event_wave_mi1																																																																																											0
rmap_event_keeper_mi1_crafting																																																																																											0
rmap_event_keeper_mi1_equipment																																																																																											0
rmap_event_keeper_mi1_maps																																																																																											0
rmap_event_challenger_mi1																																																																																											0
rmap_event_wave_mi2																																																																																											0
rmap_event_keeper_mi2_crafting																																																																																											0
rmap_event_keeper_mi2_equipment																																																																																											0
rmap_event_keeper_mi2_maps																																																																																											0
rmap_event_challenger_mi2																																																																																											0
rmap_event_wave_mi3																																																																																											0
rmap_event_keeper_mi3_crafting																																																																																											0
rmap_event_keeper_mi3_equipment																																																																																											0
rmap_event_keeper_mi3_maps																																																																																											0
rmap_event_challenger_mi3																																																																																											0
rmap_event_wave_mi4																																																																																											0
rmap_event_keeper_mi4_crafting																																																																																											0
rmap_event_keeper_mi4_equipment																																																																																											0
rmap_event_keeper_mi4_maps																																																																																											0
rmap_event_challenger_mi4																																																																																											0
rmap_event_wave_mi5																																																																																											0
rmap_event_keeper_mi5_crafting																																																																																											0
rmap_event_keeper_mi5_equipment																																																																																											0
rmap_event_keeper_mi5_maps																																																																																											0
rmap_event_challenger_mi5																																																																																											0
rmap_event_wave_mi6																																																																																											0
rmap_event_keeper_mi6_crafting																																																																																											0
rmap_event_keeper_mi6_equipment																																																																																											0
rmap_event_keeper_mi6_maps																																																																																											0
rmap_event_challenger_mi6																																																																																											0
