Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	CannotDesecrate	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	ShieldBlockOverride	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass	TreasureClassChamp	TreasureClassUnique	TreasureClassQuest	TreasureClassDesecrated	TreasureClassDesecratedChamp	TreasureClassDesecratedUnique	TreasureClass(N)	TreasureClassChamp(N)	TreasureClassUnique(N)	TreasureClassQuest(N)	TreasureClassDesecrated(N)	TreasureClassDesecratedChamp(N)	TreasureClassDesecratedUnique(N)	TreasureClass(H)	TreasureClassChamp(H)	TreasureClassUnique(H)	TreasureClassQuest(H)	TreasureClassDesecrated(H)	TreasureClassDesecratedChamp(H)	TreasureClassDesecratedUnique(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
sandleaper3	80	sandleaper1	sandleaper4	2	TombCreeper	sandleaper3		sandleaper	SandLeaper		SL	1													4	8		8	8	1	17	46	77	sandleaper	sandleaper	10	15	14	13				20	21	24	50	50	50	30	30	30	50	50	50																						1	1												1	1													MonLeap	seq_leaperleap	3																						100	85	75	-50	-40	-33			40						60						99				2				17	17	17	5	64	192	84	94	64	128	92	64	128	92				52	104	130	95	65	120	100	55	100	90				71	143	130	81	91	168	100	77	140	90				A1	pois					5	10	10	50	10	21	21	75																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
sandleaper4	81	sandleaper1	sandleaper5	3	TreeLurker	sandleaper4		sandleaper	SandLeaper		SL	1													6	8		8	8	1	22	52	80	sandleaper	sandleaper	10	15	14	13				20	22	24	50	50	50	30	30	30	50	50	50																						1	1												1	1													MonLeap	seq_leaperleap	4																						100	85	75	-50	-40	-33			20	40					70	70					80	99			2				22	22	22	5	66	192	85	94	65	122	94	65	122	94				64	128	130	95	72	132	110	61	110	99				76	151	130	81	101	185	110	85	154	99				A1	pois					5	11	11	50	10	24	24	75																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A					Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A			Act 3 (N) Champ A Desecrated	Act 3 (N) Unique A Desecrated	Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A			Act 3 (H) Champ A Desecrated	Act 3 (H) Unique A Desecrated							0
sandleaper5	82	sandleaper1	sandleaper6	4	RazorPitDemon	sandleaper5		sandleaper	SandLeaper		SL	1													6	10		8	8	1	26	56	82	sandleaper	sandleaper	10	15	14	13				20	22	25	50	50	50	30	30	30	50	50	50																						1	1												1	1													MonLeap	seq_leaperleap	5																						100	85	75	-50	-40	-33	20		60	40			20		80	70			25		80	99			2				26	26	26	5	65	193	84	99	59	118	93	59	118	93				68	136	130	95	72	132	110	61	110	99				76	151	130	81	101	185	110	85	154	99				A1	pois					5	12	12	50	10	24	24	75																													Act 4 H2H A	Act 4 Champ A	Act 4 Unique A					Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A			Act 4 (N) Champ A Desecrated	Act 4 (N) Unique A Desecrated	Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A			Act 4 (H) Champ A Desecrated	Act 4 (H) Unique A Desecrated							0
pantherwoman1	83	pantherwoman1	pantherwoman2	0	Huntress	pantherwoman1	speed_slow_monprop	pantherwoman	PantherWoman		PW	1													2	6		5	10	1	14	43	75	pantherwoman	pantherwoman	10	15	14	13				70	70	70	70	75	80	8	8	12	6	6	6	0	25	50																			1	1									1			1	1							1																														100	85	75	-50	-40	-33													15				99		2				15	15	15	5	57	97	64	71	51	121	94							78	130	105	80	50	90	200							107	179	105	68	70	126	200																																																	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
pantherwoman2	84	pantherwoman1	pantherwoman3	1	SaberCat	pantherwoman2	speed_slow_monprop	pantherwoman	PantherWoman		PW	1													4	6		6	11	1	15	44	76	pantherwoman	pantherwoman	10	15	14	13				80	80	80	80	80	85	12	12	12	6	6	6	0	25	50																			1	1									1			1	1							1																														100	85	75	-50	-40	-33													15		99				2				20	20	20	5	57	97	63	70	51	121	94							78	130	105	80	50	90	200							107	179	105	68	70	126	200																																																	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
pantherwoman3	85	pantherwoman1	pantherwoman4	2	NightTiger	pantherwoman3	speed_slow_monprop	pantherwoman	PantherWoman		PW	1													4	8		7	12	1	17	46	77	pantherwoman	pantherwoman	10	15	14	13				90	90	90	90	90	90	16	12	12	6	6	6	0	25	50																			1	1									1			1	1							1																														100	85	75	-50	-40	-33													15			99			2				25	25	25	5	59	95	63	71	55	128	92							78	130	105	80	50	90	200							107	179	105	68	63	112	200							A1	cold					15	40	75	150	50	63	140	250																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
pantherwoman4	86	pantherwoman1	pantherwoman5	3	HellCat	pantherwoman4	speed_slow_monprop	pantherwoman	PantherWoman		PW	1													6	8		8	13	1	19	48	79	pantherwoman	pantherwoman	10	15	14	13				90	90	90	90	90	95	24	12	12	6	6	6	0	25	50																			1	1									1			1	1							1																														100	85	75	-50	-40	-33													15				99		2				30	30	30	5	58	96	63	70	47	116	93							78	130	105	80	50	90	200							107	179	105	68	63	112	200							A1	fire					15	50	80		50	70	168																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C					Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C			Act 2 (N) Champ C Desecrated	Act 2 (N) Unique C Desecrated	Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C			Act 2 (H) Champ C Desecrated	Act 2 (H) Unique C Desecrated							0
swarm1	87	swarm1	swarm2	0	Itchies	swarm1		swarm	Swarm	drains stamina	SW	1													8	16		5	5	1	16	45	76	swarm	swarm	10	15	14	13				60	60	60	20	20	18	50	55	65																									1	1												1	1													Swarm Move	seq_swarmmove	1																									-50	-40	-33	60						70						99						2				17	17	17	5	21	45	84	61	73	91	94							26	52	120	60	45	60	70							36	71	120	50	63	91	70							A1	stam	40	72	90		100	100	200		100	140	280																														Swarm 1	Act 2 Champ B	Act 2 Unique B					Swarm 1 (N)	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Swarm 1 (H)	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
swarm2	88	swarm1	swarm3	1	BlackLocusts	swarm2		swarm	Swarm	drains stamina	SW	1													10	16		6	6	1	17	45	84	swarm	swarm	10	15	14	13				60	60	60	20	18	15	50	55	65																									1	1												1	1													Swarm Move	seq_swarmmove	1																									-50	-40	-33	70						80						99						2				17	17	17	5	23	45	84	61	73	91	92							26	52	120	60	45	60	70							36	71	120	50	63	91	70							A1	stam	60	72	90		100	100	200		100	140	280																														Swarm 1	Act 2 Champ B	Act 2 Unique B					Swarm 1 (N)	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Swarm 1 (H)	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
swarm3	89	swarm1	swarm4	2	PlagueBugs	swarm3		swarm	Swarm	drains stamina	SW	1													12	16		7	7	1	21	48	79	swarm	swarm	10	15	14	13				60	60	60	20	18	13	50	60	70																									1	1												1	1													Swarm Move	seq_swarmmove	1																									-50	-40	-33	80						90						99						2				21	21	21	5	21	44	85	61	72	86	94							20	40	120	60	45	60	70							21	42	120	50	45	65	70							A1	stam	80	71	85		100	100	200		100	100	200																														Swarm 2	Act 3 Champ B	Act 3 Unique B					Swarm 2 (N)	Act 3 (N) Champ B	Act 3 (N) Unique B			Act 3 (N) Champ B Desecrated	Act 3 (N) Unique B Desecrated	Swarm 2 (H)	Act 3 (H) Champ B	Act 3 (H) Unique B			Act 3 (H) Champ B Desecrated	Act 3 (H) Unique B Desecrated							0
swarm4	90	swarm1	swarm5	3	HellSwarm	swarm4		swarm	Swarm	drains stamina	SW	1													14	18		8	8	1	22	52	81	swarm	swarm	10	15	14	13				60	60	60	20	16	12	50	60	70																									1	1												1	1													Swarm Move	seq_swarmmove	1																									-50	-40	-33	90			40			90			70			99			70			2				22	22	22	5	22	44	85	61	79	93	94							32	64	120	60	50	66	77							38	76	120	50	70	101	77							A1	stam	90	78	92		100	110	220		100	154	308		A1	fire					25	33	55		40	56	84																Swarm 2	Act 3 Champ B	Act 3 Unique B					Swarm 2 (N)	Act 3 (N) Champ B	Act 3 (N) Unique B			Act 3 (N) Champ B Desecrated	Act 3 (N) Unique B Desecrated	Swarm 2 (H)	Act 3 (H) Champ B	Act 3 (H) Unique B			Act 3 (H) Champ B Desecrated	Act 3 (H) Unique B Desecrated							0
scarab1	91	scarab1	scarab2	0	DungSoldier	scarab1	death_nova_monprop	scarab	Scarab		SC	1							scarab1		1	1	2	4	4	8		4	4	1	14	43	75	scarab	scarab	10	15	14	13				75	80	84	50	50	50	15	13	12	35	45	55	20	24	28																			1	1												1	1							1						Jab	seq_scarabjab	1																						100	75	50	-50	-40	-25													50			99			2				15	15	15	5	67	111	84	125	51	151	94	51	121	94	1	2	95	91	143	145	125	55	110	120	55	110	140	40	70	95	126	197	145	108	77	154	120	77	154	140	56	98	95	A1	ltng	20	10	20		20	15	30		20	21	42																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
scarab2	92	scarab1	scarab3	1	SandWarrior	scarab2	death_nova_monprop	scarab	Scarab		SC	1							scarab2		1	1	3	4	6	8		5	5	1	16	45	76	scarab	scarab	10	15	14	13				80	85	88	60	60	60	12	11	10	45	55	65	20	24	28																			1	1												1	1							1						Jab	seq_scarabjab	2																						100	75	50	-50	-40	-25													50			99			3				17	17	17	5	68	112	84	125	55	155	94	55	119	94	1	2	95	91	143	145	125	55	110	120	55	110	140	40	70	95	126	197	145	108	77	154	120	77	154	140	56	98	95	A1	ltng	20	9	27		20	15	30		20	21	42		A1	pois					10	10	10	50	20	21	21	50															Act 2 H2H B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
scarab3	93	scarab1	scarab4	2	Scarab	scarab3	death_nova_monprop	scarab	Scarab		SC	1							scarab3		1	1	3	5	6	10		5	5	1	17	45	84	scarab	scarab	10	15	14	13				85	88	92	70	70	70	9	9	9	55	65	70	20	24	28																			1	1												1	1							1						Jab	seq_scarabjab	3																						100	75	50	-50	-40	-25													50			99			4				17	17	17	5	67	112	84	125	55	155	92	55	128	92	1	2	95	91	143	145	125	55	110	120	55	110	140	40	70	95	126	197	145	108	77	154	120	77	154	140	56	98	95	A1	ltng	25	18	27		25	15	30		25	21	42																														Act 2 H2H B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
scarab4	94	scarab1	scarab5	3	SteelWeevil	scarab4	death_nova_monprop	scarab	Scarab		SC	1							scarab4		1	1	4	5	8	10		6	6	1	19	48	79	scarab	scarab	10	15	14	13				88	91	94	75	75	75	7	7	7	65	70	75	20	24	28																			1	1												1	1							1						Jab	seq_scarabjab	4																						100	75	50	-50	-40	-25													50			99			5				19	19	19	5	68	111	84	125	47	147	93	47	116	93	1	2	95	91	143	145	125	55	110	120	55	110	140	40	70	95	126	197	145	108	77	154	120	77	154	140	56	98	95	A1	ltng	25	15	30		25	15	30		25	21	42																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C					Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C			Act 2 (N) Champ C Desecrated	Act 2 (N) Unique C Desecrated	Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C			Act 2 (H) Champ C Desecrated	Act 2 (H) Unique C Desecrated							0
scarab5	95	scarab1	scarab6	4	AlbinoRoach	scarab5	death_nova_monprop	scarab	Scarab		SC	1							scarab5		1	1	4	5	8	10		6	6	1	24	54	85	scarab	scarab	10	15	14	13				90	94	96	70	70	70	70	70	70	70	75	80	20	24	28																			1	1												1	1							1						Jab	seq_scarabjab	5																						100	75	50	-50	-40	-25													50			99			6				24	24	24	5	67	111	85	125	51	151	92	51	119	92	1	2	95	112	176	145	125	61	121	132	61	121	154	44	77	105	133	209	145	108	85	169	132	85	169	154	62	18	105	A1	ltng	30	18	25		30	17	33		30	24	46																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B					Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B			Act 3 (N) Champ B Desecrated	Act 3 (N) Unique B Desecrated	Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B			Act 3 (H) Champ B Desecrated	Act 3 (H) Unique B Desecrated							0
mummy1	96	mummy1	mummy2	0	DriedCorpse	mummy1	death_curse_monprop	mummy	Mummy		MM	1													4	8		3	3	1	13	43	74	mummy	mummy	10	15	14	13	60			5	9	15	60	60	60	100	100	100	65	65	65	10	10	10																			1	1					1							1	1							1																														100	66	33	-50	-40	-25						70						80	50			33	33	99	2				14	14	14	5	68	158	84	86	56	112	93	56	112	93				130	182	95	100	60	105	105							125	175	95	86	84	147	105							A1	pois	10	33	33	200	25	33	33	300	25	46	46	400																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
mummy2	97	mummy1	mummy3	1	Decayed	mummy2	death_curse_monprop	mummy	Mummy		MM	1													6	8		3	3	1	15	44	79	mummy	mummy	10	15	14	13				10	12	18	50	50	50	100	100	100	60	60	60	10	10	10																			1	1					1							1	1							1																														100	66	33	-50	-40	-25						70						80	50			33	33	99	2				16	16	16	5	69	157	84	87	61	111	94	61	111	94				130	182	95	100	60	105	105							125	175	95	86	84	147	105							A1	pois	10	33	33	200	25	33	33	300	25	46	46	400																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
mummy3	98	mummy1	mummy4	2	Embalmed	mummy3	death_curse_monprop	mummy	Mummy		MM	1													6	10		3	3	1	18	46	77	mummy	mummy	10	15	14	13				15	16	21	30	30	30	100	100	100	50	50	50	10	10	10																			1	1					1							1	1							1																														100	66	33	-50	-40	-25						70						80	50			33	33	99	2				18	18	18	5	69	156	84	86	51	109	92	51	109	92				130	182	95	100	60	105	105							125	175	95	86	84	147	105							A1	pois	10	33	33	200	30	33	33	300	30	46	46	400																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
mummy4	99	mummy1	mummy5	3	PreservedDead	mummy4	death_curse_monprop	mummy	Mummy		MM	1													8	10		3	3	1	23	49	80	mummy	mummy	10	15	14	13				20	22	23	40	40	40	100	100	100	55	55	55	10	10	10																			1	1					1							1	1							1																														100	66	33	-50	-40	-25						70						80	50			33	33	99	2				23	23	23	5	69	155	85	86	54	107	92	54	107	92				130	182	95	100	60	105	105							125	175	95	86	84	147	105							A1	pois	10	33	33	200	30	33	33	300	30	46	46	400																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B					Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B			Act 3 (N) Champ B Desecrated	Act 3 (N) Unique B Desecrated	Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B			Act 3 (H) Champ B Desecrated	Act 3 (H) Unique B Desecrated							0
mummy5	100	mummy1	mummy6	4	Cadaver	mummy5	death_curse_monprop	mummy	Mummy		MM	1													8	10		3	3	1	25	55	83	mummy	mummy	10	15	14	13				25	25	25	50	50	50	100	100	100	55	55	55	10	10	10																			1	1					1							1	1							1																														100	66	33	-50	-40	-25						70						80	50			33	33	99	2				25	25	25	5	70	154	85	89	57	107	93	57	107	93				160	224	95	100	66	116	116							132	185	95	86	92	162	116							A1	pois	10	33	33	200	35	36	36	800	35	50	50	400																													Act 3 H2H C	Act 3 Champ C	Act 3 Unique C					Act 3 (N) H2H C	Act 3 (N) Champ C	Act 3 (N) Unique C			Act 3 (N) Champ C Desecrated	Act 3 (N) Unique C Desecrated	Act 3 (H) H2H C	Act 3 (H) Champ C	Act 3 (H) Unique C			Act 3 (H) Champ C Desecrated	Act 3 (H) Unique C Desecrated							0
unraveler1	101	unraveler1	unraveler2	0	HollowOne	unraveler1		unraveler	GreaterMummy	raises undead	GY	1							skeleton2				2	8	2	2		2	2	1	15	44	79	unraveler	unraveler	12	15	14	13				70	70	70	30	35	40	40	45	50	60	70	80	24	27	31											mummy1								1							1			1			1	1													Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	1																100	66	33	-50	-33	-25						50						50	33	20	20	99	20	50	3			1		15	33	5	194	238	84	136	121	161	94							221	273	120	300	110	140	160							304	376	120	240	154	196	160							A1	pois	15	120	160	1000	15	33	33	1000	15	46	46	1000																													Act 2 Cast A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) Cast A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) Cast A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
unraveler2	102	unraveler1	unraveler3	1	Guardian	unraveler2		unraveler	GreaterMummy	raises undead	GY	1							skeleton3				2	8	2	2		2	2	1	18	46	77	unraveler	unraveler	12	15	14	13				75	75	75	35	40	45	45	50	50	70	75	85	24	27	31											mummy2								1							1			1			1	1													Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	2																100	66	33	-50	-33	-25						50						50	33	99	99	20	20	50	3			1		15	33	5	193	237	84	136	117	151	92							221	273	120	300	110	140	160							304	376	120	240	154	196	160							A1	pois	20	116	150	1100	20	33	33	1100	20	46	46	1100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
unraveler3	103	unraveler1	unraveler4	2	Unraveler	unraveler3		unraveler	GreaterMummy	raises undead	GY	1							skeleton4				2	8	2	2		3	3	1	20	49	80	unraveler	unraveler	12	15	14	13				80	80	80	40	45	50	50	55	50	80	85	90	24	27	31											mummy3								1							1			1			1	1													Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	3																100	66	33	-50	-33	-25						50		50				50	33	99	20	20	99	50	3			1		15	33	5	193	236	85	136	124	154	93							221	273	120	300	110	140	160							304	376	120	240	154	196	160							A1	pois	25	123	153	1200	25	33	33	1200	25	46	46	1200																													Act 2 Cast C	Act 2 Champ C	Act 2 Unique C					Act 2 (N) Cast C	Act 2 (N) Champ C	Act 2 (N) Unique C			Act 2 (N) Champ C Desecrated	Act 2 (N) Unique C Desecrated	Act 2 (H) Cast C	Act 2 (H) Champ C	Act 2 (H) Unique C			Act 2 (H) Champ C Desecrated	Act 2 (H) Unique C Desecrated							0
unraveler4	104	unraveler1	unraveler5	3	Horadrim Ancient	unraveler4		unraveler	GreaterMummy	raises undead	GY	1							skeleton5				2	8	2	2		4	4	1	23	52	84	unraveler	unraveler	12	15	14	13				85	85	85	45	50	55	55	55	55	85	85	90	24	27	31											mummy4								1							1			1			1	1													Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	4																100	66	33	-50	-33	-25						50		25	25	25	25	50	33	99	50	50	50	50	3			1		15	33	5	192	236	85	136	121	154	92							272	336	120	300	121	154	176							322	398	120	240	169	216	176							A1	pois	30	120	153	1500	30	36	36	1500	30	50	50	1500																													Act 3 Cast B	Act 3 Champ B	Act 3 Unique B					Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B			Act 3 (N) Champ B Desecrated	Act 3 (N) Unique B Desecrated	Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B			Act 3 (H) Champ B Desecrated	Act 3 (H) Unique B Desecrated							0
unraveler5	105	unraveler1	unraveler6	4	Baal Subject Mummy	unraveler5		unraveler	GreaterMummy	raises undead	GY	1													2	2		5	5	1	40	64	85	unraveler	unraveler	12	15	14	13				85	85	85	45	50	55	55	55	55	85	90	95	24	27	31											mummy4								1							1			1			1	1													Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	5																100	66	33	-50	-33	-25						50		25	25	25	25	50	33	99	66	66	66	50	3			1		15	33	5	192	235	84	211	121	153	93							289	357	120	300	121	154	176							340	420	120	240	169	216	176							A1	pois	30	120	152	1500	30	40	40	1500	30	50	50	1500																													Act 5 Cast B	Act 5 Champ B	Act 5 Unique B					Act 5 (N) Cast B	Act 5 (N) Champ B	Act 5 (N) Unique B			Act 5 (N) Champ B Desecrated	Act 5 (N) Unique B Desecrated	Act 5 (H) Cast B	Act 5 (H) Champ B	Act 5 (H) Unique B			Act 5 (H) Champ B Desecrated	Act 5 (H) Unique B Desecrated							0
chaoshorde1	106	chaoshorde1	chaoshorde2	0	unused	chaoshorde1			Idle		CH														0	0		3	3	1																																																																																																																									2							5																																																																																																													0
chaoshorde2	107	chaoshorde1	chaoshorde3	1	unused	chaoshorde2			Idle		CH														0	0		3	3	1																																																																																																																									2							5																																																																																																													0
chaoshorde3	108	chaoshorde1	chaoshorde4	2	unused	chaoshorde3			Idle		CH														0	0		3	3	1																																																																																																																									2							5																																																																																																													0
chaoshorde4	109	chaoshorde1		3	unused	chaoshorde4			Idle		CH														0	0		3	3	1																																																																																																																									2							5																																																																																																													0
