index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Sander's Superstition	126	Sander's Folly	bwn	Bone Wand	7	20	25	lpur	lpur						5	5000		dmg%	2	75	75	mana		25	25	manasteal		8	8	cast3		20	20	dmg-cold	50	25	75	oskill_hide	393	1	1																																																						0
Jakira's Strike	127	Midnight Calling	axf	N-Hatchet Hands	2	5	16	cblu	cblu						5	5000	2	dmg%		70	100	lifesteal		5	7	dmg-min		10	10	ass		1	2	charge-noconsume		25	25	oskill_hide	393	1	1													swing3		20	20													dmg-max		20	20																						0
Jakira's Braces	128	Midnight Calling	mgl	N-Chain Gloves	2	5	18	cblu	cblu						5	5000	2	ac		35	50	swing2		15	15	att		40	60	mana		20	30																					hp		35	35													half-freeze		1	1																						0
Jakira's Hood	129	Midnight Calling	cap	N-Cap	2	5	12	cblu	cblu						5	5000	2	ac%		50	50	skilltab	19	1	1	res-all		10	20	charge-noconsume		10	10																					gold%		25	25					heal-kill		2	2					ac%		40	40																						0
Jakira's Leather Jerkin	130	Midnight Calling	stu	N-Studded Leather	2	5	14	cblu	cblu						5	5000	2	ac%		90	110	dex		10	10	str		10	10	mana-kill		4	4																					red-dmg		8	8					red-mag		6	6					ac%		50	50																						0
Peace Ring	131	Nature's Grove	rin	Ring	3	5	10								5	5000	2	mana		30	50	hp		30	50	mag%		50	50	gold%		25	25	half-freeze		1	1																	att/lvl	6							balance3		15	15																														0
Balance of Power	132	Nature's Grove	mau	N-Maul	2	5	17	blac	blac						5	5000	2	dmg%		160	190	swing3		25	25	ease		-25	-25	lifesteal		5	7	mana-kill		3	3	oskill_hide	393	1	1													crush		10	10					dmg-fire		30	60					swing3		20	20																						0
Calming Embrace	133	Nature's Grove	hla	N-Hard Leather Armor	2	5	20	blac	blac						5	5000	2	ac%		80	120	str		15	15	res-all		10	20	red-mag		4	6	red-dmg		3	3																	heal-kill		4	4													ac%		60	60																						0
Animal Kinship	134	Nature's Grove	dr3	N-Antlers	2	5	13	oran	oran						5	5000	2	ac		30	40	dru		1	2	cast3		10	20	mana%		10	10	extra-elem		5	5																	move2		15	15					dmg-to-mana		10	10																														0
Grimlock's Skull	135	Grimlock's Grave	ne2	Zombie Head	7	11	16	blac	blac						5	5000	2	block		25	30	block1		20	20	oskill_hide	393	1	1																									ac%		100	100																																						0
Grimlock's Wand	136	Grimlock's Grave	bwn	Bone Wand	7	11	15	blac	blac						5	5000	2	nec		1	1	mana		33	33																																					dmg-norm		8	20																														0
Grimlock's Shroud	137	Grimlock's Grave	qui	Quilted Armor	7	11	11	blac	blac						5	5000	2	red-dmg%		10	10	gethit-skill	Frost Nova	15	2																													ac		77	77					regen-mana		40	40																														0
Grimlock's Belt	138	Grimlock's Grave	mbl	Belt	7	11	9	blac	blac						5	5000	2	hp		20	25	balance1		15	15																													ac		20	20																																						0
Corgina's Orb	139	Corgina's Element	ob5	N-Jared's Stone	3	5	15	lgry	lgry						5	5000	2	sor		1	2	mana-kill		2	4	mana		40	40	cast3		25	25	oskill_hide	393	1	1																	gold%		25	25					sor		1	1					enr		20	20																						0
Corgina's Plate	140	Corgina's Element	ltp	N-Light Plate	3	5	18	lgry	lgry						5	5000	2	ac%		70	100	res-all		15	25	mag%		50	50	extra-elem		10	10																					dmg-to-mana		10	10					hp%		3	3					ac%		40	40																						0
Corgina's Ward	141	Corgina's Element	lrg	N-Large Shield	3	5	14	lgry	lgry						5	5000	2	ac%		40	60	block		15	25	red-dmg%		3	6	cast3		20	30	oskill_hide	393	1	1																	red-dmg		5	5	red-mag		3	3	block3		15	15					ac%		80	80																						0
Corgina's Slippers	142	Corgina's Element	lbt	N-Boots	3	5	11	lgry	lgry						5	5000	2	ac/lvl	8			move2		20	20	heal-kill		4	6	balance2		20	20																													oskill	teleport	1	1																														0
Sheena's Heartwood	143	Sheena's Grace	am6	X-Ashwood Bow	3	15	42	dred	dred						5	5000	2	dmg%		170	200	dmg-norm		15	30	openwounds		35	55	ama		1	2	swing2		25	25	pierce		25	25	oskill_hide	393	1	1									att/lvl	2							dmg-max		20	20					dmg-fire/lvl	8																								0
Sheena's Choker	144	Sheena's Grace	amu	Amulet	3	15	32								5	5000	2	lifesteal		5	5	att		33	33	dmg-fire		20	40	allskills		1	1	half-freeze		1	1																	mag%		25	25																																						0
Sheena's Elven Mail	145	Sheena's Grace	xhn	X-Mesh Armor	3	15	36	oran	oran						5	5000	2	ac%		120	150	dex		15	15	red-dmg		8	12	red-mag		5	8	gold%		25	25	skilltab	1	1	2																					balance2		15	15					ac%		50	50																						0
Sheena's Band	146	Sheena's Grace	vbl	N-Light Belt	1	15	28	oran	oran						5	5000	2	ac/lvl	8			hp%		5	10	mana		30	60	str		10	10	pierce		15	25																	move3		20	20													att%		15	15																						0
Berserker's Howl	147	Talonrage's Fury	ba4	N-Assault Helmet	2	5	10	blac							5	5000	2	ac%		50	75	bar		1	2	mana		20	20	manasteal		3	3																					mag%		25	25					skilltab	12	1	1					ac%		50	50																						0
Chaos Heart	148	Talonrage's Fury	fld	N-Field Plate	2	5	18			invxaru					5	5000	2	ac%		90	120	str		20	20	balance2		20	20	heal-kill		2	4																					mana-kill		2	2					gethit-skill	Attract	10	10					ac%		40	40																						0
Warlord's Pike	149	Talonrage's Fury	pik	N-Pike	2	5	20	cred	cred						5	5000	2	dmg%		135	155	rep-dur	25			att		50	50	ethereal		1	1	swing2		20	20	oskill_hide	393	1	1													lifesteal		4	6					swing2		30	30					dmg%		30	30																						0
Shattering Fist	150	Talonrage's Fury	hgl	N-Gauntlets	2	5	15								5	5000	2	ac		20	30	cast2		15	25	half-freeze		1	1	dmg-to-mana		10	10																					mag%		25	25					gold%		25	25																														0
Greyhawk's Wing	151	Greyhawk's Mantle	plt	N-Plate Mail	2	5	19								5	5000	2	ac%		70	100	manasteal		3	5	lifesteal		6	8	half-freeze		1	1	mag%		50	50																	gold%		25	25					crush		15	15					ac%		50	50																						0
Greyhawk's Icebrand	152	Greyhawk's Mantle	scp	N-Scepter	2	5	14								5	5000	2	dmg%		190	220	dmg-cold	100	20	40	swing3		20	30	str		15	15	att		30	50	oskill_hide	393	1	1													swing3		15	15					skilltab	11	1	1					dmg-norm		25	50																						0
Greyhawk's Deflector	153	Greyhawk's Mantle	pa3	N-Heraldic Shield	2	5	15								5	5000	2	ac/lvl	24			block		15	15	sock		2	4	pal		1	2	balance3		15	15	res-all		10	20	oskill_hide	393	1	1									dmg-to-mana		8	8					block3		25	25					ac%		100	100																						0
Greyhawk's Viser	154	Greyhawk's Mantle	fhl	N-Full Helm	2	5	12			invxkpu					5	5000	2	ac%		20	30	mana-kill		2	2	heal-kill		5	5	cast3		15	25	regen-mana		20	30																	dmg%		50	50					vit		10	10					ac%		40	40																						0
Dragon's Flank	155	Silent Runnings	bsh	Bone Shield	7	14	18	dblu	dblu						5	5000	2	ac%		65	90	red-dmg%		5	10	oskill_hide	393	1	1																									block		20	20																																						0
Ferrit's Paw	156	Silent Runnings	vgl	Heavy Gloves	7	12	14	whit	whit						5	5000	2	swing2		20	20	lifesteal		4	6																																					mag%		25	25																														0
Turtle's Shell	157	Silent Runnings	ful	Full Plate Mail	7	22	23	dgrn	dgrn						5	5000	2	ac%		90	130	balance2		20	20																																					red-dmg%		8	8																														0
Wolf Pelt	158	Silent Runnings	tbl	Heavy Belt	7	14	14	dgld	dgld						5	5000	2	hp		35	50	res-all		10	15																																					ac		20	20																														0
Beast Collar	159	Silent Runnings	bhm	Bone Helm	7	15	15								5	5000	2	dmg%		20	30	dmg-mag		20	30																																																																						0
Jeweled Circlet	160	Snowmane's Jewelry	ci0	Circlet	7	22	22								5	5000	2	str		15	15	vit		15	15																													hp		20	20					balance1		15	15																														0
Jeweled Belt	161	Snowmane's Jewelry	hbl	Plated Belt	7	22	22								5	5000	2	ac%		100	125	res-all		10	15																																													red-dmg%		10	10																						0
Ruby Ring	162	Snowmane's Jewelry	rin	Ring	4	22	22								5	5000	2	res-all		10	15	red-mag		6	8																																					hp		30	30					mag%		15	15																						0
Diamond Necklace	163	Snowmane's Jewelry	amu	Amulet	4	22	22								5	5000	2	res-all		15	20	mag%		20	30																																					allskills		1	1																														0
Winter's Heart	164	Four Seasons	aar	Ancient Armor	7	20	25	whit	whit						5	5000	2	pierce-cold		10	15	extra-cold		10	15																													abs-cold%		10	10					res-cold-max		10	10					nofreeze		1	1																						0
Spring Dawning	165	Four Seasons	ghm	Great Helm	7	20	22	cblu	cblu						5	5000	2	pierce-ltng		10	15	extra-ltng		10	15																													abs-ltng%		10	10					res-ltng-max		10	10																														0
Summer Flame	166	Four Seasons	hbt	Greaves	7	20	21	dred	dred						5	5000	2	pierce-fire		10	15	extra-fire		10	15																													abs-fire%		10	10					res-fire-max		10	10																														0
Autumn's Decay	167	Four Seasons	tgl	Light Gauntlets	7	20	19	oran	oran						5	5000	2	pierce-pois		10	15	extra-pois		10	15																													res-mag		10	10					res-pois-max		10	10					res-pois-len		75	75																						0
Fernandez' Plate	168	Forgotten Treasures	brs	Breast Plate	7	15	15								5	5000	2	ac%		75	120	sock		3	3																																																	res-mag		10	10									red-dmg%		15	15						0
Katriana's Mask	169	Forgotten Treasures	msk	Mask	7	15	15								5	5000	2	ac%		60	100	sock		3	3																													mana		30	30																					regen-mana		50	50														0
Luther's Cord	170	Forgotten Treasures	tbl	Heavy Belt	7	10	10								5	5000	2	ac		20	30	regen		2	5																																					hp		50	50					manasteal		5	5																						0
Janis' Gloves	171	Forgotten Treasures	vgl	Heavy Gloves	7	10	10								5	5000	2	ac		20	30	swing2		20	20																																																	lifesteal		5	5									str		10	10						0
Xavier's Greaves	172	Forgotten Treasures	tbt	Light Plate Greaves	7	15	15								5	5000	2	ac%		80	110	move2		30	30																																					balance2		20	20													dex		10	10														0
Quincy's Shield	173	Forgotten Treasures	spk	Spike Shield	7	10	10								5	5000	2	ac%		100	135	sock		3	3	oskill_hide	393	1	1																									block2		25	25													block		20	20																						0
Power of Brother Laz	174	Insight of Brother Laz	xtg	Battle Gauntlets	7	30	33								5	5000	2	swing1		10	10	manasteal		4	6	res-fire		15	20	ac%		80	100																													str		15	15																														0
Prayer of Brother Laz	175	Insight of Brother Laz	pa8	Protector Shield	7	30	38								5	5000	2	block		20	30	block2		20	20	balance2		20	20	ac/lvl	8			oskill_hide	393	1	1																																									gethit-skill	Frozen Orb	7	1														0
Brother Laz' Holy Symbol	176	Insight of Brother Laz	amu	Amulet	5	30	40								5	5000	2	pal		1	1	hp		25	50	res-ltng		25	50	res-pois-len		60	80																					mana		25	25					gethit-skill	Mind Blast	9	2																														0
Wrath of Brother Laz	177	Insight of Brother Laz	9sc	Rune Scepter	7	30	29								5	5000	2	dmg%		160	190	dmg-norm		20	40	pal		1	1	ignore-ac		1	1	oskill_hide	393	1	1																									hit-skill	Fire Wall	12	1					dmg/lvl	8																								0
Brother Laz' Faith	178	Insight of Brother Laz	xld	Sharktooth Armor	7	30	36								5	5000	2	ac%		100	200	red-dmg%		15	15	res-mag		15	20	regen-mana		50	50																																					gethit-skill	War Cry	6	2					regen		3	3														0
Afterlife	179	Hades' Underworld	xla	Demonhide Armor	7	30	34								5	5000	2	ac/lvl	32			skilltab	8	1	3	res-ltng		25	40																																									mana		50	50																						0
Dracolich	180	Hades' Underworld	ne8	Sexton Trophy	7	30	36								5	5000	2	block		20	30	ac/lvl	16			res-fire		25	40	oskill_hide	393	1	1																																					red-dmg%		20	20																						0
Vampire's Crusade	181	Hades' Underworld	rin	Ring	5	30	39								5	5000	2	regen-mana		50	75	cast1		10	10	mana/lvl	8			res-all		8	15																																																														0
The River Stix	182	Hades' Underworld	xlb	Demonhide Boots	7	30	32								5	5000	2	ac/lvl	8			move3		30	30	res-cold		25	40																																																	nofreeze		1	1														0
Lord Hades' Throne	183	Hades' Underworld	xrn	Grand Crown	7	30	41								5	5000	2	ac%		100	100	balance2		20	20	res-pois		25	40																																	gold%		100	100					mag%		35	35																						0
Secret Society	184	Darque's Cabal	ba9	X-Savage Helmet	3	15	32	lyel	lyel						5	5000	2	ac%		80	80	bar		1	2	skilltab	12	1	2	dmg-max		15	15	att		50	50	red-dmg%		6	10													dmg-undead		100	100					dmg-demon		100	100					ac%		50	50																						0
Fallen Angels	185	Darque's Cabal	xth	X-Embossed Plate	3	15	39	lyel	lyel						5	5000	2	ac%		120	150	res-all		10	20	allskills		1	1	dex		30	40	dmg%		50	50	half-freeze		1	1													mag%		25	25					ac%		40	40					gethit-skill	Static Field	12	6																						0
Savant Fury	186	Darque's Cabal	9ts	X-Harpoon	3	15	35								5	5000	2	dmg%		220	250	dmg-elem	100	15	30	swing3		20	20	att		50	50	manasteal		4	4	lifesteal		8	8	oskill_hide	393	1	1									heal-kill		6	6					swing3		20	20					dmg-norm		20	30																						0
Dawn's Blessing	187	Darque's Cabal	lgl	N-Leather Gloves	2	15	25	lyel	lyel						5	5000	2	ac%		140	170	cast3		15	25	mana		60	60	dmg-to-mana		15	15	str		20	30																	gold%		25	25					balance2		25	25					ac%		80	80																						0
Cry of the Wolf	188	Red Havoc's Challenge	scl	N-Scale Mail	1	15	20								5	5000	2	ac%/lvl	16			move2		20	20	str		10	10	mana		40	60	mana-kill		2	2	gethit-skill	Shiver Armor	15	5													gold%		25	25					cast2		20	20					ac%		40	40																						0
Full Moon Frenzy	189	Red Havoc's Challenge	dr6	X-Alpha Helm	3	15	32								5	5000	2	ac%		120	150	dru		1	2	hp%		3	5	all-stats		10	10	swing3		20	20	ravenhits		2	2													manasteal		4	4					balance3		20	20					ac%		50	50	ravendmg		1	1																		0
Torment of Innocence	190	Red Havoc's Challenge	9m9	X-War Club	3	15	38	whit	whit						5	5000	2	dmg%		190	210	ease		-30	-30	swing3		30	30	lifesteal		8	8	att		40	60	allskills		1	1	charged	Cyclone Armor	40	35	oskill_hide	393	1	1					swing3		15	15					wounds/lvl	3							hit-skill	Mark of the Bear	100	1	hit-skill	Mark of the Wolf	100	1																		0
Drawing Out the Beast	191	Red Havoc's Challenge	zlb	X-Demonhide Sash	3	15	26	blac	blac						5	5000	2	ac		60	80	res-all		15	15	cast3		15	25	half-freeze		1	1	enr		15	15	extra-elem		8	12													mag%		25	25					heal-kill		6	6					deadly		15	15																						0
Elven Grace	192	Mishy's Avatar	xvb	Sharkskin Boots	7	35	32								5	5000	2	ac%		120	150	dex		15	15	res-cold		20	30	dmg-max		5	10																					balance2		20	20																																						0
Woodland Protector	193	Mishy's Avatar	xhn	Mesh Armor	7	35	35		dgrn						5	5000	2	ac%		100	120	sock		2	2	hp/lvl	8			res-pois-len		80	80																													swing1		15	15					hp		25	25																						0
Silent Whisper	194	Mishy's Avatar	ci1	Coronet	7	35	40								5	5000	2	allskills		1	1	cast2		20	20	dmg-to-mana		22	22	manasteal		5	5																																																														0
Warder's Bond	195	Mishy's Avatar	rin	Ring	5	35	38								5	5000	2	str		10	10	lifesteal		6	6	mana		40	50	knock		2	2																																																														0
Maiden's Kiss	196	Mishy's Avatar	xmg	Heavy Bracers	7	35	33		dgrn						5	5000	2	res-fire		30	40	res-ltng		30	40	res-pois		30	40	res-cold		30	40																																													swing2		20	20														0
Trent's Caster	197	Mishy's Avatar	am7	Ceremonial Bow	7	35	40		dgrn						5	5000	2	dmg%		170	210	swing2		20	20	sock		3	3	oskill_hide	393	1	1																																																					dmg-elem	100	25	100						0
Eye of the Trent	198	Joel's Sanctuary	ob8	X-Cloudy Sphere	3	15	38								5	5000	2	sor		1	2	cast2		30	30	mana-kill		5	5	enr		25	25	str/lvl	3			extra-elem		10	20	oskill_hide	393	1	1																	sor		1	1					mana/lvl	10																								0
Mantle of the Trent	199	Joel's Sanctuary	xui	X-Ghost Armor	3	15	35	oran	oran						5	5000	2	ac%		60	90	allskills		1	1	res-pois		30	40	balance3		30	40	res-pois-len		66	66	res-pois-max		5	5													mana		50	50					heal-kill		8	8					ac%		30	30																						0
Visor of the Trent	200	Joel's Sanctuary	hlm	N-Helm	2	15	21			invxkpu					5	5000	2	ac%		80	110	half-freeze		1	1	cast3		20	30	mag%		25	25	regen-mana		40	40	dmg-to-mana		10	10													gold%		25	25													ac%		60	60																						0
Protector of the Trent	201	Joel's Sanctuary	xrg	X-Scutum	3	15	28			invxrgu					5	5000	2	ac%		40	70	block		30	30	res-all		15	25	red-dmg%		6	6	oskill	teleport	1	1	gethit-skill	Glacial Spike	12	10	oskill_hide	393	1	1									dex		20	20					block3		20	20					ac%		70	70																						0
Shadow Ninja	202	JBouley's Scion	xtu	X-Trellised Armor	3	15	35	oran	oran						5	5000	2	ac%		80	100	red-dmg%		4	6	oskill	evade	1	1	str		10	20	dex		10	20																	gold%		25	25					oskill	avoid	1	1	oskill	dodge	1	1	ac%		50	50																						0
Night's Caress	203	JBouley's Scion	mgl	N-Chain Gloves	3	15	22	oran	oran						5	5000	2	ac/lvl	12			swing2		20	20	mana-kill		2	2	half-freeze		1	1	openwounds		60	80	charge-noconsume		15	15													att/lvl	2							dmg-to-mana		10	10					regen-mana		15	15																						0
Mystic Blades	204	JBouley's Scion	9qr	X-Scissors Quhab	3	15	38	oran	oran						5	5000	2	dmg%		160	190	swing2		30	40	ass		1	2	skilltab	19	1	2	att		40	60	heal-kill		5	5	charge-noconsume		40	40	oskill_hide	393	1	1					hp		50	50					balance3		15	15					deadly		15	15																						0
Fade to Black	205	JBouley's Scion	ztb	X-Battle Belt	3	15	27	oran	oran						5	5000	2	ac%		80	80	res-all		10	20	mana		30	30	cast3		15	25	allskills		1	1																	mag%		25	25					move3		20	20					healperhit		5	5																						0
Fall From Grace	206	Forsaken Divinity	rin	Ring	3	45	45								5	5000	2	lifesteal		6	9	manasteal		4	7	hp		35	50	mana		60	80																																																														0
Tyrial's Grief	207	Forsaken Divinity	rin	Ring	3	45	45								5	5000	2	regen		3	5	regen-mana		45	70	cast2		20	20	mag%		25	35																																																														0
Redemption Denied	208	Forsaken Divinity	amu	Amulet	3	45	45								5	5000	2	allskills		1	1	mag%		40	50	all-stats		10	10	res-all		15	25																																																														0
Hell's Embrace	209	Forsaken Divinity	xtp	Mage Plate	7	45	45	dred	dred						5	5000	2	ac%		160	200	sock		4	4																													gold%		100	100					mag%		50	50					allskills		1	1																						0
Spectral Knight's Unholy Shield	210	Volf's Undead Legion	xsh	Grim Shield	7	30	38	whit	whit						5	5000	2	ac%		125	155	red-dmg%		15	15	res-all		20	30	hp		-10	-10	oskill_hide	393	1	1																	block		35	35																																						0
Death Knight's Demon Blade	211	Volf's Undead Legion	9bs	Battle Sword	7	30	37	whit	whit						5	5000	2	dmg%		160	220	dmg-norm		20	55	lifesteal		15	15	oskill_hide	393	1	1																					swing1		20	20					cold-len	300							dmg-demon		100	100																						0
Lich's Cranium	212	Volf's Undead Legion	xh9	Grim Helm	7	30	39	whit	whit						5	5000	2	mana		60	80	cast2		25	25	sock		1	1																																	str		15	15					sor		1	1																						0
Skeleton Warrior's Corpse Plate	213	Volf's Undead Legion	xlt	Templar Plate	7	30	42	whit	whit						5	5000	2	ac%		80	120	ac/lvl	16			balance2		25	25																																									nofreeze																									0
Dagger of Vashna	214	Legacy of Vashna	9dg	Piognard	7	30	30								5	5000	2	dmg-norm		35	70	swing3		75	75	cast1		10	10	oskill_hide	393	1	1																					heal-kill		8	8					mana-kill		5	5																														0
Mask of Vashna	215	Legacy of Vashna	xsk	Death Mask	7	30	37								5	5000	2	ac%		100	115	move1		15	15	cast1		10	10																									oskill	Raise Skeleton	5	5					oskill	skeleton mastery	3	3																														0
Robes of Vashna	216	Legacy of Vashna	xea	Serpent Skin	7	30	33								5	5000	2	half-freeze		1	1	ac		300	400	nec		1	1	dmg-undead		50	50																													noheal		1	1																														0
Lancer's Reach	217	Salander's Tirade	9pa	Partizan	7	30	37	dgld	dgld						5	5000	2	dmg%		180	240	swing2		30	30	knock		12	12	oskill_hide	393	1	1																					dmg-fire		75	120																																						0
Salander's Mail	218	Salander's Tirade	xng	Linked Mail	7	30	35								5	5000	2	ac%		120	150	sock		1	1	balance2		25	25	res-all		15	15																					hp		35	35																																						0
Salander's Visor	219	Salander's Tirade	xlm	Casque	7	30	34								5	5000	2	ac%		75	120	dmg-to-mana		10	10	mana-kill		3	3																									mana		35	35																																						0
Red Dragon Scale Mail	220	Jerik's Dragon Armor	xcl	Tigulated Mail	7	30	37	dred	cred						5	5000	2	ac/lvl	32			abs-fire%		35	35																													extra-fire		40	40																																						0
Black Dragon Hide Shield	221	Jerik's Dragon Armor	xit	Dragon Shield	7	30	37	blac	blac						5	5000	2	res-all		60	60	ac%		100	100	oskill_hide	393	1	1																									block		20	20					block2		30	30																														0
Green Dragon Mask	222	Jerik's Dragon Armor	xhm	Winged Helm	7	30	40	dgrn	dgrn						5	5000	2	res-pois		50	50	res-pois-len		60	90	ac%		100	125	red-dmg		20	25																													red-mag		20	20																														0
Onyx's Fallen Star	223	Onyx's Primal Rage	uhb	E-Myrmidon Greaves	2	70	84	whit	whit						5	5000	2	ac		80	120	ease		-30	-30	res-ltng		30	40	move2		40	40	balance2		15	15	ignore-ac		1	1	bar		2	3									mag%		25	25					deadly		15	15					res-all		20	20					hit-skill	Amplify Damage	10	15														0
Onyx's Solar Flair	224	Onyx's Primal Rage	utc	E-Troll Belt	2	70	88	whit	whit						5	5000	2	ac/lvl	16			nofreeze		1	1	str		20	30	cast3		20	30	dmg-to-mana		25	25	gold%		50	50													mag%		25	25					cast3		15	15					regen		12	12																						0
Onyx's Super Nova	225	Onyx's Primal Rage	7s7	E-Balrog Spear	2	70	90	whit	whit						5	5000	2	dmg%		250	280	dmg-norm		20	30	swing3		30	30	manasteal		8	8	lifesteal		12	14	att/lvl	4			oskill_hide	393	1	1									dmg-min		20	20													dmg-max		40	40					swing3		30	30														0
Onyx's Meteor Shower	226	Onyx's Primal Rage	upl	E-Balrog Skin	2	70	86	whit	whit						5	5000	2	ac%		120	150	balance3		25	35	allskills		1	1	mana/lvl	10			heal-kill		15	15	red-dmg%		20	20	swing2		25	35									reduce-ac		25	25					gethit-skill	Static Field	12	10					crush		15	15					ac%		60	60														0
Onyx's Celestial Rage	227	Onyx's Primal Rage	baf	E-Guardian Crown	2	70	82	whit	whit						5	5000	2	ac%		60	90	ease		-30	-30	bar		2	3	skilltab	12	2	3	all-stats		20	20	deadly/lvl	2			dmg%		50	50									gold%		50	50					red-mag		15	15	red-dmg		15	15	ac%		50	50					aura	Sanctuary	6	6														0
Teachings of Brother Laz	228	Brother Laz' Calling	urn	E-Corona	2	70	87	bwht	bwht	invhlmu					5	5000	2	ac%		80	120	cast3		30	30	balance3		15	15	red-dmg%		8	12	regen-mana		40	60	extra-ltng		15	15	pierce-ltng		15	15									mag%		25	25					dex		25	25					mana%		30	30					ac%		60	60														0
Holy Aura	229	Brother Laz' Calling	uar	E-Sacred Armor	2	70	90	bwht	bwht						5	5000	2	ac%		100	140	ease		-20	-20	res-all		40	50	oskill	Increased Speed	1	3	dmg%		75	75	ignore-ac		1	1	heal-kill		15	15	gethit-skill	Dim Vision	14	12					reduce-ac		25	25					balance3		20	20					deadly		25	25					ac%		50	50														0
Retribution	230	Brother Laz' Calling	pae	E-Zakarum Shield	2	70	83	bwht	bwht						5	5000	2	ac%		80	110	block		20	20	block3		40	40	pal		2	3	skilltab	11	2	3	dmg-to-mana		15	15	all-stats		20	20	oskill_hide	393	1	1					hp		50	50													ac%		40	40					aura	Redemption	12	12														0
Glory of Salvation	231	Brother Laz' Calling	utg	E-Crusader Gauntlets	2	70	81	bwht	bwht						5	5000	2	ac/lvl	32			allskills		1	1	cast2		20	30	mana		80	80	mana-kill		5	5	str		15	25	nofreeze		1	1									mag%		25	25					gold%/lvl	8							noheal		1	1																						0
Angel's Touch	232	Brother Laz' Calling	7qs	E-Seraph Rod	2	70	85	bwht	bwht						5	5000	2	dmg%		320	350	dmg		70	70	swing3		35	35	pal		2	3	lifesteal		12	16	att/lvl	3			extra_holybolt		2	2	oskill_hide	393	1	1					swing3		20	20					manasteal		6	6					dmg-norm		50	80					dmg%		100	100														0
Spin's Enigma	233	The Mysterious Spin	uap	E-Shako	2	70	83	cgrn	cgrn						5	5000	2	ac%		70	100	mag%		50	50	gold%		50	50	all-stats		20	20	heal-kill		12	16	red-dmg%		10	14	gethit-skill	Frost Nova	15	10									regen		8	8													oskill	Lower Resist	1	1					ac%		60	60														0
Spin's Paradox	234	The Mysterious Spin	utp	E-Archon Plate	2	70	88	cgrn	cgrn						5	5000	2	ac%		85	115	sor		2	3	balance2		25	35	str		25	25	mana%		35	35	nofreeze		1	1	res-all		25	35									move3		30	30					hp%		5	5					ac%		50	50					aura	Meditation	5	5														0
Spin's Mystery	235	The Mysterious Spin	ulc	E-Spiderweb Sash	2	70	86	cgrn	cgrn						5	5000	2	ac/lvl	12			allskills		1	1	res-pois-len		70	90	res-pois		50	50	res-pois-max		10	10	mana		80	120													gold%		50	50													dex		20	20																						0
Spin's Conundrum	236	The Mysterious Spin	uts	E-Ward	2	70	85	dgrn	dgrn						5	5000	2	ease		-25	-25	block3		15	15	block		50	50	oskill	teleport	1	1	cast3		30	40	dmg-to-mana		20	30	oskill_hide	393	1	1																	block3		15	15					red-mag		12	12	red-dmg		8	8	ac%		100	100														0
Spin's Perplexing Puzzle	237	The Mysterious Spin	obc	E-Eldritch Orb	2	70	90								5	5000	2	sor		2	3	cast3		40	40	extra-fire		20	30	extra-cold		20	30	extra-ltng		20	30	enr		30	30	mana-kill		8	8	oskill_hide	393	1	1					hp		50	50													sor		1	1																						0
Darkmage's Falling Star	238	Darkmage's Astral Projection	uhn	E-Boneweave	2	70	86	dyel	dyel						5	5000	2	ac%		120	150	hp/lvl	12			mana		50	50	balance3		20	30	res-all		20	30	ignore-ac		1	1	red-dmg%		6	10									mag%		25	25					gethit-skill	Twister	15	20					res-pois-len		66	66					ac%		50	50														0
Darkmage's Solar Flair	239	Darkmage's Astral Projection	umg	E-Vambraces	2	70	81	dyel	dyel						5	5000	2	ac/lvl	12			heal-kill		12	12	reduce-ac		25	25	swing3		20	30	hit-skill	Mark of the Bear	100	1	hit-skill	Mark of the Wolf	100	1	pierce-pois		20	20									gold%		50	50					extra-pois		30	30					mana-kill		6	6					slow		33	33														0
Darkmage's Super Nova	240	Darkmage's Astral Projection	umb	E-Boneweave Boots	2	70	84	dyel	dyel						5	5000	2	ac		150	200	move3		40	40	allskills		1	1	mag%		25	25	nofreeze		1	1	cast3		20	20	pierce-cold		10	10									gold%		50	50					extra-cold		10	10					mana%		15	15					aura	Defiance	14	14														0
Darkmage's Meteor Shower	241	Darkmage's Astral Projection	7mt	E-Devil Star	2	70	88			invmstu					5	5000	2	dmg%		370	400	dmg-norm		50	70	swing3		40	40	lifesteal		13	15	manasteal		8	8	dru		2	3	att/lvl	1			oskill_hide	393	1	1					swing3		20	20					openwounds		15	15					dmg		80	80					crush		30	30														0
