skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Sanctuary	119	pal	sanctuary		66																		42371	sanctuary	sanctuary		ln12	magicresist	-ln91																						item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																																				cast_undead										sanctuarybolt												1	0		none															xx																				1										24	25					Thorns									0	1					0	8	0	0	1	1	1		50																												5	Radius baseline	1	Radius per level	150	Damage to Undead % baseline	30	Damage to Undead % per level	100	Attack Rating to Undead baseline	50	Attack Rating to Undead per level	100	Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)	7	Damage synergy	10	Base Magic Resistance Reduction	1	MDR Increase Per Point																					1				16385				8															mag	8	4	4	5	5	6	16	4	5	6	6	7	skill('Cleansing'.blvl)*par8								50	1000	0
Meditation	120	pal	meditation		65																		73729	meditation	meditation		ln12	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																																			1	7		none															xx																														24	25					Cleansing									0	1					0	8	0	0	1	1	1		50																												16	Radius baseline	2	Radius per level	300	Mana Recovery % baseline	25	Mana Recovery % per level																																	1								8																																				50	1000	0
Fist of the Heavens	121	pal	fist of the heavens		80													fistoftheheavensdelay				handofgod	42371				20																																																																						paladin_handofgod_cast															36						fistoftheheavensdelay												1	7		none													SC	SC	xx					4			1							1					1			4							30	25					Blessed Hammer							8		1	1				1	1	8	25	0	1	1											ln34	Heal Min value	ln56	Heal Max value			ln12	# of Holy Bolt missiles created													6	# of Holy Bolt Missiles created baseline	1	# of Holy Bolt Missiles created per level	1	Min HP Healed baseline	2	Min HP Healed per level	6	Max HP Healed baseline	2	Max HP Healed per level			15	Damage synergy																									1								8															ltng	50	25	40	55	65	75	100	35	50	65	75	85	skill('Holy Shock'.blvl)*par8								50	1000	0
Fanaticism	122	pal	fanaticism		65																		73731	fanaticism	fanaticism		ln12	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2																		damagepercent	ln56																																																																													1	1	8		none															S1																														30	25					Concentration									0	1					0	8	0	0	1	1	1		50																												11	Radius baseline	1	Radius per level	10	Attack Speed % Min	40	Attack Speed % Max	50	Damage % baseline	17	Damage % per level																													1	40	5						8																																				50	1000	0
Conviction	123	pal	conviction		66																		42371	conviction	conviction		ln12	skill_armor_percent	0-(min(ln56,50))	fireresist	0-((((lvl<25)?lvl:(17+lvl/par4))*(100+(blvl*par7))/100)+par3)	coldresist	ast2	lightresist	ast2																																																																																															1	6		none			mele												xx	5		1																											30	25					Sanctuary	Holy Shock								0	1					0	8	0	0	1	1	1		50																												20	Radius baseline	0	Radius per level	30	Res % Base	2	Res % Level Per 1	15	Armor % reduction Min	1	Armor % reduction Max	5	Res % Per Hard (1 = 10%)																											1								8																																		6		50	1000	0
Redemption	124	pal	redemption		82																		4354	redemption			ln12																																																																																											redemption												1	0		none															xx																														30	25					Vigor									0	1					0	8	0	0	1	1	1		50								dm34	% chance to redeem	ln56	HP gained	ln56	Mana gained															16	Radius baseline	0	Radius per level	10	% chance to redeem Min	100	% chance to redeem Max	25	HP and Mana gained baseline	5	HP and Mana gained per level																													1								8																																				50	1000	0
Salvation	125	pal	salvation		65																		73731	resistall	resistall		ln12	fireresist	dm34	coldresist	dm34	lightresist	dm34																																																																																																1	1	8		none															xx																														30	25														0	1					0	8	0	0	1	1	1		50																												16	Radius baseline	2	Radius per level	50	Resistance % Min	120	Resistance % Max																																	1								8																																				50	1000	0
Bash	126	bar	bash	32	2																																																																																													barbarian_grunt_small_1	1																															1	7		h2h			mele										A1	A1	xx				1		1	1								1					1					1					1	25														1	1				1	1	8	2	0	1	1											ln12+skill('Stun'.blvl)*par8	Damage %	ln34	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)													50	Damage % baseline	5	Damage % per level	1	Flat Damage baseline	1	Flat Damage per level					5	Attack Rating synergy	5	Damage synergy																									1			15+lvl*5+skill('Concentrate'.blvl)*par7	8		112		8	128	1	1	2	4	6	12	2	1	2	5	6	12	skill('Stun'.blvl)*par8																				4		50	1000	0
Melee Mastery	127	bar	melee mastery																																													blademastery	mele		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	par5+(blvl*par6)																																																																										1	0		none													SC	SC	xx				1																										1	25														0	0					0	8	0	0	1	1								1																							40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	10	% chance for Critical Hit baseline	1	% chance for Critical Hit per base level																													1								8																																				50	1000	0
Shield Mastery	128	bar	shield mastery																																													axemastery	shld		toblock	dm12	item_fasterblockrate	dm34																																																																												1	0		none													SC	SC	xx				1																										12	25														0	0					0	8	0	0	1	1								1																							10	Block % chance Min	40	Block % chance Max	10	Faster Block Rate baseline	40	Faster Block Rate per level																																	1								8																																				50	1000	0
Deadly Treasures	129	bar	deadly treasures																																													macemastery			item_goldbonus	ln12*165/100	item_magicbonus	ln12																																																																												1	0		none													SC	SC	xx				1																										24	25					Find Item									0	0					0	8	0	0	1	1								1																							25	Base	4	Per Level Growth																																					1								8																																				50	1000	0
Howl	130	bar	howl		8													howl	howl																																																																															barbarian_howl_1														17						howl	howl											1	0		none													SC	SC	xx				1																1										1	25														1	1				1	1	6	6	1	1	1											7	# of Missiles created	0	Missile Activation Frame	0	# of missiles that can trigger item modifier events	0	Stun Length	skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('War Cry'.blvl)+skill('Shout'.blvl)+skill('Battle Orders'.blvl)+skill('Battle Command'.blvl)	Total Warcry Skills																									15	Damage synergy																									1								8		3	3	6	12	32	64	6	3	7	14	34	66	clc5*par8																						50	1000	0
Find Potion	131	bar	find potion	33	69																																																																																											1		barbarian_findobject_1							barbarian_findheart_1						26	38																		1	0		h2h													SC	SC	xx				1				1		4	1									1			3							1	25								1						0	1				1	1	8	2	0	1	1											dm12	% chance to find any potion																			0	% chance to find any potion Min	100	% chance to find any potion Max	30	% chance to find Mana potion	10	% chance to find Rejuvenation potion																																	1								8																																				50	1000	0
Leap	132	bar	leap	40	77													leapknockback									dm12																																																																					1		barbarian_leap_1													29	43	25																	1	0		none													SQ	A1	xx	13		1		4																									6	25														1	1				1	1	8	2	0	0	1											ln34	Knockback Radius	par7+skill('Leap'.blvl)*par8	Leap Speed %																	8	Range Min	30	Range Max	4	Knockback Radius baseline	1	Knockback Radius per level	8	Minimum Airborn Frames			175	Leap Speed %	5	Leap Speed Increase% synergy																									1								8															stun																					50	1000	0
Double Swing	133	bar	double swing	68	70																																																																																																										27	39										par5	Attack Speed %							1	5		h2h	3		mele					mele					SQ	A1	xx	11		1	1		1	1								1					1										1	25														1	1				1	1	8	1	0	1	1											(skill('Double Throw'.blvl)+skill('Frenzy'.blvl))*par8	Damage %	0	Flat Damage	par5	Attack Speed %															50	Attack rate bonus							50	Attack Speed %					8	Damage synergy																									1	15	5						8	128	1	1	2	3	6	8	2	1	2	3	6	8	(skill('Double Throw'.blvl)+skill('Frenzy'.blvl))*par8																						50	1000	0
Unstoppable Force	134	bar	unstoppable force	4	10													unstoppable_force	unstoppable_force	unstoppable_force																																																																														barbarian_grunt_small_1													11	18						unstoppable_force	unstoppable_force	unstoppable_force										1	5		rng			thro										TH	TH	xx				1													1			1										1	25														1	1				1	1	5	20	2	1	1											par1+par2*min(max(0,lvl-1),13)+par3*min(max(0,lvl-14),10)+par4*max(0,lvl-24)+(skill('Unstoppable Force'.blvl)+skill('Winters Gambit'.blvl)+skill('Chasm Break'.blvl)+skill('Korlics Fury'.blvl)-blvl)*par8	Damage %																			5	Damage % baseline	5	% Dam Per Lvl to 15	8	%  Dam Per Lvl to 25	11	%Dam Per Lvl 26+							8	Damage synergy																									1	50	15						8	128																																			50	1000	0
Throwing Mastery	135	bar	throwing mastery																																													throwingmastery	thro		passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56	skill_pierce	dm78	passive_mastery_noconsume	dm91	passive_mastery_replenish_oncrit	pa11																																																																				1	0		none													SC	SC	xx				1																										1	25														0	0					0	8	0	0	1	1								1																							44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	6	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max	0	% chance to Pierce Min	55	% chance to Pierce Max	0	% chance for No Consume Min	66	% chance for No Consume Max	1	Replenish Quantity on crit? (0=disabled, 1=enabled)																			1								8																																				50	1000	0
Winters Gambit	136	bar	winters gambit	4	8													wgambit_spawn	wgambit_spawn	wgambit_spawn			42371				par5																																																																							barbarian_grunt_small_1													11	17						wgambit_spawn	wgambit_spawn	wgambit_spawn										1	5		rng			thro										TH	TH	xx				1													1			1										12	25					Unstoppable Force									1	1				1	1	6	10	1	1	1											min(par1+lvl/par2,par6)	# of Missiles created	par3	Missile Activation Frame	par4	# of missiles that can trigger item modifier events															3	# of Missiles created baseline	6	Levels Per Missile	1	Missile Activation Frame	2	Trigger Missiles	14	Search Range	12	Missile Cap			8	Damage % per level																									1	15	5						8	96														cold	2	2	2	4	4	8	6	3	3	5	5	10	(skill('Unstoppable Force'.blvl)+skill('Winters Gambit'.blvl)+skill('Chasm Break'.blvl)+skill('Korlics Fury'.blvl)-blvl)*par8	5	5	5	5				50	1000	0
Taunt	137	bar	taunt		71																		34179		taunt			item_tohit_percent	ln12	damagepercent	ln34																																																																			barbarian_taunt_1																																1	0		none													SC	SC	S1				1				1												1										6	25					Howl									0	1				1	1	8	3	0	1	1																															-5	Monster Attack Rating % baseline	-2	Monster Attack Rating % per level	-5	Monster Damage % baseline	-2	Monster Damage % per level																																	1								8																																		2		50	1000	0
Shout	138	bar	shout		68													shout						shout	shout	ln34+(skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('War Cry'.blvl)+skill('Howl'.blvl)+skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12																																																																					barbarian_shout_1														25						shout				0	Missile Velocity Adder							1	8		none													SC	SC	SC				1																1										6	25					Howl			1						0	1				1	1	8	6	0	1	1																															50	Armor % baseline	5	Armor % per level	1500	Duration baseline	250	Duration per level							125	Duration synergy																									1								8																																				50	1000	0
Stun	139	bar	stun	39	11													rockmaker_m	rockmaker_m	rockmaker_m				slam_state		clc2		damagepercent	clc5	lifedrainmindam	0-((stat('lifedrainmindam'.accr)*par6)/100)	lifedrainmaxdam	0-((stat('lifedrainmaxdam'.accr)*par6)/100)																																																																	weapon_2hs_large_1														19						rockmaker_m	rockmaker_m	rockmaker_m										1	5		h2h			slam										A2	A2	xx				1		1	1								1		1			1										12	25					Bash									1	1				1	1	8	2	0	1	1											par1	# of Bolt Missiles created	par2	Duration			0	% Damage Dealt as Elemental (Used only if there is an Etype)	ln34+skill('Bash'.blvl)*par8	Damage Scaling plus Synergy											8	# of spike paths	25	Damage State Duration (Based on Missile Life)	85	Damage % baseline	15	Damage % per level				Reduce lifesteal By %			15	Damage synergy																									1	60	15		4				8	128	1	1	4	6	10	16	2	1	4	6	10	16	skill('Bash'.blvl)*par8																				4		50	1000	0
Double Throw	140	bar	double throw		74																																																																																																										11	42																		1	5		rng	3		thro					thro					SQ	A1	xx	15		1	1													1			1										12	25					Double Swing									1	1				1	1	8	1	0	1	1											ln12+skill('Double Swing'.blvl)*par8	Damage %																			16	Damage % baseline	8	Damage % per level											8	Damage synergy																									1	20	10						8	128	1	1	2	3	6	8	2	1	2	3	6	8	skill('Double Swing'.blvl)*par8																						50	1000	0
Chasm Break	141	bar	chasm break	39											chasm_break		1							slam_state		clc2		damagepercent	clc5	lifedrainmindam	0-((stat('lifedrainmindam'.accr)*par6)/100)	lifedrainmaxdam	0-((stat('lifedrainmaxdam'.accr)*par6)/100)																																																																	barbarian_grunt_small_1																			chasm_break													1	5		rng			thro										TH	TH	xx				1													1			1										24	25					Winters Gambit									1	1				1	1	6	10	1	1	1													par5	Duration			0	% Damage Dealt as Elemental (Used only if there is an Etype)	ln12+(skill('Unstoppable Force'.blvl)+skill('Winters Gambit'.blvl)+skill('Chasm Break'.blvl)+skill('Korlics Fury'.blvl)-blvl)*par8	Damage Scaling plus Synergy											50	Damage % baseline	5	Damage % per level		Borks Missile Keep Empty		Borks Missile Keep Empty	35	State Length		Reduce lifesteal By %			5	Damage synergy																									1	15	5						8	80																																			50	1000	0
Find Item	142	bar	find item	34	72																																																																																											1		barbarian_findobject_1			barbarian_findheart_1										28	40																		1	0		h2h													SC	SC	xx				1				1		5	1									1			3							12	25					Find Potion			1						0	1				1	1	8	7	0	1	1											dm12+skill('Find Potion'.blvl)*par8	% chance to find any item																			5	% chance to find any item Min	60	% chance to find any item Max	30	% chance for high quality item	5	% chance for magic item							1	% chance synergy																									1								8																																				50	1000	0
Leap Attack	143	bar	leap attack	41	78													leapattack				bash																																																																										1		barbarian_leapattack_1													30	44						leapattack												1	6		none			mele										SQ	A1	xx	14		1		4	1											1													18	25					Leap									1	1				1	1	8	10	0	0	1											ln34+(skill('Leap'.blvl)+skill('Whirlwind'.blvl))*par8	Damage %	par7+skill('Leap'.blvl)*par9	Leap Speed %			0	% Damage Dealt as Elemental																	200	Damage % baseline	30	Damage % per level	12	Minimum Airborn Frames			175	Leap Speed %	10	Damage synergy	1	Leap Speed Increase% synergy																							1	100	20						8	128	10	4	8	12	16	20	20	8	16	24	32	40	(skill('Leap'.blvl)+skill('Whirlwind'.blvl))*par8																						50	1000	0
Concentrate	144	bar	concentrate	39	11													carnage	carnage	carnage		doubledamage1		slam_state		clc2		damagepercent	clc5	lifedrainmindam	0-((stat('lifedrainmindam'.accr)*par6)/100)	lifedrainmaxdam	0-((stat('lifedrainmaxdam'.accr)*par6)/100)																																																																	barbarian_grunt_small_1	1													19						carnage	carnage	carnage										1	5		h2h			mele										A1	A1	xx				1		1	1								1		1			1										18	25					Stun									1	1				1	1	6	2	1	1	1											par1	# of Tornados created	par2	Duration			0	% Damage Dealt as Elemental (Used only if there is an Etype)	ln34+(skill('Berserk'.blvl)+skill('Bash'.blvl))*par8	Damage Scaling plus Synergy											1	# Spawner	25	Damage State Duration (Based on Missile Life)	100	Damage % baseline	10	Damage % per level				Reduce lifesteal By %			10	Damage synergy																									1	60	15		4				8	128	1	1	4	6	10	16	2	1	4	6	10	16	(skill('Berserk'.blvl)+skill('Bash'.blvl))*par8																						50	1000	0
Iron Skin	145	bar	iron skin																																													ironskin			skill_armor_percent	par1 + blvl*par2 + min((lvl-blvl)*par3,225)																																																																														1	0		none													SC	SC	xx				1																										18	25														0	0					0	8	0	0	1	1								1																							10	Armor % baseline	10	Armor % per base level	3	Armor % per soft level																																			1								8																																				50	1000	0
Battle Cry	146	bar	battle cry		68													battlecry					98304		battlecry	ln12		damageresist	ln34	damagepercent	max(ln56,(0-50))																																																																			barbarian_battlecry_1														25						battlecry				0	Missile Velocity Adder							1	9		none													SC	SC	xx				1																1										18	25					Taunt									0	1				1	1	8	5	0	1	1																															300	Duration baseline	60	Duration per level	-10	Enemy PDR % baseline	-1	Enemy PDR % per level	-5	Enemy Damage % baseline	-1	Enemy Damage % per level																													1								8																																				50	1000	0
Frenzy	147	bar	frenzy	67	9																			frenzy		par7+(skill('Frenzy'.blvl)*par9)		velocitypercent	dm34	attackrate	dm56																																																																																	39																		1	3		h2h	3		mele					mele					SQ	A1	xx	11			1		1	1								1					1										24	25					Double Throw									1	1				1	1	7	3	0		1											ln12+skill('Double Swing'.blvl)*par8	Damage %					skill('Double Throw'.blvl)	% Damage Dealt as Elemental (Used only if there is an Etype)													90	Damage % base	5	Damage % per level	20	Velocity % Min	200	Velocity % Max	0	Attack Speed % Min	50	Attack Speed % Max	150	Duration	15	Damage synergy	10	Frenzy duration synergy																							1	100	7						8	128	1	1	2	3	6	8	2	1	2	3	6	8	skill('Double Swing'.blvl)*par8	mag																			4		50	1000	0
Increased Speed	148	bar	increased speed																																													increasedspeed			velocitypercent	dm12																																																																														1	0		none													SC	SC	xx				1																										24	25														0	0					0	8	0	0	1	1								1																							7	Velocity %	50	Velocity % per level																																					1								8																																				50	1000	0
Battle Orders	149	bar	battle orders		68													battleorders						battleorders	battleorders	ln12+(skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('War Cry'.blvl)+skill('Shout'.blvl)+skill('Howl'.blvl)+skill('Battle Command'.blvl))*par8		item_maxmana_percent	par3+blvl*par4+(lvl-blvl)*par5	item_maxhp_percent	par3+blvl*par4+(lvl-blvl)*par5	skill_staminapercent	par3+blvl*par4+(lvl-blvl)*par5																																																																	barbarian_battleorders_1														25						battleorders				0	Missile Velocity Adder							1	9		none													SC	SC	xx				1																68	25									24	25					Shout			1						0	1				1	1	8	7	0	1	1																															1500	Duration baseline	250	Duration per level	10	HP Mana Stamina % baseline	4	HP Mana Stamina % per base level	2	HP Mana Stamina % per soft level					125	Duration synergy																									1	50	10						8																																				50	1000	0
Korlics Fury	150	bar	korlics fury		116																			barb_ancient				pl_minthrowdmg_percent	lvl	pl_maxthrowdmg_percent	lvl	coldmindam	edmn	coldmaxdam	edmx	coldlength	edln	item_tohit_percent	toht																																																																						bear_into	bear_undo	45																			1	0		none													SC	SC	xx	22			1																										30	25					Chasm Break			1					25	0	1				1	1	7	15	1	0	1																																													8	Elemental Damage Synergy							1	Allow Instant Direct Transformation																	1	15	5						8	128														cold	10	6	6	7	7	9	15	9	9	10	10	12	(skill('Unstoppable Force'.blvl)+skill('Winters Gambit'.blvl)+skill('Chasm Break'.blvl)+skill('Korlics Fury'.blvl)-blvl)*par8	50							50	1000	0
Whirlwind	151	bar	whirlwind	38	76	1																		whirlwind																																																																								1	barbarian_whirlwind														31	45	1																	1	3		none	2		mele										SQ	A1	xx	10		1			1									1															30	25					Leap Attack	Concentrate								1	1				1	1	7	25	1		1											ln12+(skill('Leap Attack'.blvl)+skill('Concentrate'.blvl))*par8	Damage %																			30	Damage % baseline	10	Damage % per level											5	Damage synergy																									1	60	15						8	128	1	1	4	6	10	16	2	1	4	6	10	16	(skill('Leap Attack'.blvl)+skill('Concentrate'.blvl))*par8																						50	1000	0
Berserk	152	bar	berserk	39	2																			berserk		par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))		damageresist	par5	armor_override_percent	-100																																																																			barbarian_grunt_large_1	1																															1	4		h2h			mele										A1	A1	xx				1		1	1								1					1					1					30	25					Concentrate									1	1				1	1	8	4	0	1	1											ln12+(skill('Bash'.blvl)+skill('Concentrate'.blvl))*par8	Damage %	par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))	Duration			100	% Damage Dealt as Elemental (Used only if there is an Etype)													150	Damage % baseline	15	Damage % per level	25	Duration Min	75	Duration Max	0	Armor %					10	Damage synergy																									1	100	15						8	128														mag	1	1	4	6	10	16	2	1	4	6	10	16							4		50	1000	0
Natural Resistance	153	bar	natural resistance																																													naturalresistance			fireresist	dm12	lightresist	dm12	coldresist	dm12	poisonresist	dm12																																																																								1	0		none													SC	SC	xx				1																										30	25					Iron Skin									0	0					0	8	0	0	1	1								1																							0	Resistance % Min	50	Resistance % Max																																					1								8																																				50	1000	0
War Cry	154	bar	war cry		68													warcry																																																																																barbarian_warcry_1										warcry				25						warcry				0	Missile Velocity Adder							1	9		none													SC	SC	xx				1																1										30	25					Battle Orders	Battle Cry								0	1				1	1	6	12	1	1	1																			skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('Howl'.blvl)+skill('Shout'.blvl)+skill('Battle Orders'.blvl)+skill('Battle Command'.blvl)	Total Warcry Skills																									15	Damage synergy																									1						5		8		20	5	7	10	20	44	30	5	7	10	20	44	clc5*par8																						50	1000	0
Battle Command	155	bar	battle command		68													battlecommand						battlecommand	battlecommand	ln12+(skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('War Cry'.blvl)+skill('Shout'.blvl)+skill('Battle Orders'.blvl)+skill('Howl'.blvl))*par8		item_allskills	par3																																																																					barbarian_command_1														25						battlecommand				0	Missile Velocity Adder							1	9		none													SC	SC	xx				1																1										30	25					Battle Orders			1						0	1				1	1	8	11	0	1	1																															1500	Duration baseline	250	Duration per level	1	Bonus to All Skills									125	Duration synergy																									1								8																																				50	1000	0
Fire Hit	156			42	83																																																																																																																													1	0		none													SQ	SQ	xx				1																										1															0	0									1	1																																																																							1	20	10						8																																					0	0
UnHolyBolt	157				85													unholybolt1																																																																																																			unholybolt1													1	0		none													SQ	SQ	xx																														1															0	0									1	1																																																																							1								8																																					0	0
SkeletonRaise	158																																																																																																																																	1	0		none													SQ	SQ	xx								1	1		1																			1															0	0									1	1																																																																							1								8																																					0	0
MaggotEgg	159			43	84																																																																																												sandmaggotegg_hatch_1															46																		1	0		none													SQ	SQ	xx																														1															0	0									1	1										 	(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)	# of units to spawn																																																											1								8																																					0	0
ShamanFire	160				8										shafire1			shafire1	shafire1																																																																																													17					shafire1	shafire1	shafire1											1	0		none													SQ	SQ	xx																														1															0	0									1	1											(lvl < 8) ? 1 : 5	# of Projectiles																																																											1								8																																					0	0
MagottUp	161			44																																																																																													sandmaggot_emerge														32							dirt pile	sand pile											1	0		none													SQ	SQ	xx																														1															0	0									1	1																																																																							1								8																																					0	0
MagottDown	162			45	86																																																																																												sandmaggot_burrow														33	47																		1	0		none													SQ	SQ	xx																														1															0	0									1	1											10	HP % Healed																																																											1								8																																					0	0
MagottLay	163				87																																																																																																																													1	0		none													SQ	SQ	xx																														1															0	0									1	1																																																																							1								8																																					0	0
AndarielSpray	164			46	88													andarielspray																																																																																													34	48						andarielspray												1	0		none													SQ	SQ	xx																														1															0	0									1	1																																																																							1								8																																					0	0
Jump	165			47	89																																																																																																																													1	0		none													SQ	SQ	xx																														1															0	0									1	1											10	Damage %																																																											1	15	5						8																																					0	0
Swarm Move	166			48	90																																																																																																										35	49																		1	0		none													SQ	SQ	xx																														1															0	0									1	1											11	Anim Sequence Start Frame	19	Anim Sequence Stop Frame																																																									1								8																																					0	0
Nest	167			49	91																																																																																																										36	50																		1	0		none													SQ	SQ	xx																														1															0	0									1	1																																																																							1								8																																					0	0
Quick Strike	168			50	92													raven1																																																																																																																1	0		none													SQ	SQ	xx							1																							1															0	0									1	1																																																																							1								8																																					0	0
VampireFireball	169														vampirefireball																																																																																																						vampirefireball													1	0		none													SQ	SQ	SC																														1															0	0									1	1																																																																							1								8																																					0	0
VampireFirewall	170				24													vampirefirewallmaker	vampirefirewall																																																																																													26						vampirefirewallmaker												1	0		none													SQ	SQ	SC																														1															0	0									1	1											(lvl < 8)?par1:2	# of max Fire Walls (oldest is removed when the limit is hit)																			0	# of max Fire Walls (oldest is removed when the limit is hit)																																							1																																													0	0
VampireMeteor	171				28													vampiremeteorcenter									ln12																																																																										sorceress_meteor							fire_cast_2				28						vampiremeteorcenter												1	0		none													SQ	SQ	SC																				28	28									1															0	0									1	1											ln12	Explosion Radius																			5	Explosion Radius baseline	1	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level																																	1								8															fire	10	20	80	80	80	80	15	20	80	80	80	80										0	0
GargoyleTrap	172				93													shafire3																																																																																														51						shafire3												1	0		none													SQ	SQ	xx	18																													1															0	0									1	1																																																																							1								8																																					0	0
SpiderLay	173				23													spidergoolay						spiderlay	slowed	300		velocitypercent	-100																																																																																									spidergoolay												1	0		none													SQ	SQ	A2																														1															0	0									1	1																	20	Frames to apply aura to target													30	Slow Duration per level	75	Buff Duration per level																																					1								8																																					0	0
VampireHeal	174																																																																																																																																	1	0		none													SQ	SQ	SC																														1															0	0									1	1																																																																							1								8																																					0	0
VampireRaise	175																																																																																																																																	1	0		none													SQ	SQ	SC							1	1	1		1																			1															0	0									1	1																																																																							1								8																																					0	0
