Name	*Rune Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Reason	Reason	1				staf									LumLumZodTir	r17	r17	r33	r03			sor		3	3	cast3		50	50	aura	Meditation	5	5	addxp		3	3	red-dmg%		20	20	dmg-to-mana		20	20	skill-rand	Inner Sight	36	65	0
Red	Red	1				mele									IoRalRalHel	r16	r08	r08	r15			dmg%		155	155	rep-dur	20			res-fire		35	50	abs-fire%		10	10	res-cold		-20	-20	extra-fire		15	25	hit-skill	Meteor	8	4	0
Revenge	Revenge	1				armo	shld								ThulEld	r10	r02					sor		1	1	mana		50	75	cast1		15	15	addxp		1	3	regen-mana		60	70	res-mag		5	10	levelreq		3	3	0
Rhyme	Rhyme	1				shld									ShaelEth	r13	r05					block2		20	20	block		20	20	res-all		25	25	nofreeze		1	1	gold%		50	50	mag%		25	25					0
Rift	Rift	1				pole	scep								HelKoLemGul	r15	r18	r20	r25			hit-skill	Tornado	20	16	att-skill	Frozen Orb	16	21	dmg-mag		160	250	dmg-fire		60	180	all-stats		5	10	dmg-to-mana		38	38	charged	Iron Maiden	40	15	0
Sanctuary	Sanctuary	1				shld									KoKoMal	r18	r18	r23				block		20	20	block2		20	20	ac%		130	160	ac-miss		250	250	res-all		50	70	balance2		20	20	charged	Slow Missiles	60	12	0
Serendipity	Serendipity	1				pole									AmnAmn	r11	r11					dmg%		120	120	hit-skill	Inner Sight	50	2	enr		20	20	regen-mana		50	50	cast2		20	20									0
Shadow	Shadow	1				miss									PulSolShaelSol	r21	r12	r13	r12			dmg%		166	166	dmg-cold		80	140	cold-len		75	256	move3		50	50	gethit-skill	Cloak of Shadows	25	12	charged	Bone Wall	50	10					0
Shadow of Doubt	Shadow of Doubt	1				wand									IoDol	r16	r14					skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3	cast1		15	15	extra-pois		10	10									0
Silence	Silence	1				weap									DolEldHelIstTirVex	r14	r02	r15	r24	r03	r26	manasteal		4	4	stupidity		33	33	dmg%		200	200	swing2		20	20	res-all		75	75	allskills		2	2	balance2		20	20	0
Siren's Song	Siren's Song	1				helm									LemShaelSurSur	r20	r13	r29	r29			allskills		2	2	mana%		10	10	cast2		25	25	all-stats		10	20	mag%		30	50	gethit-skill	Confuse	44	3	ac/lvl	8			0
Smoke	Smoke	1				tors									NefLum	r04	r17					ac-miss		250	250	ac%		75	75	res-all		50	50	balance2		20	20	light		-1	-1	charged	Weaken	18	6					0
Sorrow	Sorrow	1				club	hamm	mace							ShaelHel	r13	r15					dmg%		160	200	swing2		20	20	manasteal		6	6	charged	Clay Golem	5	20	heal-kill		6	9	regen-mana		50	50	regen		-2	-2	0
Spirit	Spirit	1				swor	shld								TalThulOrtAmn	r07	r10	r09	r11			balance3		55	55	mana		89	112	ac-miss		250	250	vit		22	22	cast3		25	35	abs-mag		3	8	allskills		2	2	0
Splendor	Splendor	1				shld									EthLum	r05	r17					allskills		1	1	cast2		10	10	block2		20	20	ac%		60	100	gold%		50	50	mag%		20	20	light		3	3	0
Starlight	Starlight	1				weap	armo	shld							ZodHelIstEl	r33	r15	r24	r01			allskills		3	3	dmg-norm		35	140	ac%		100	200	ease		-80	-80	mag%		150	300	levelreq		20	20	balance3		20	20	0
Stealth	Stealth	1				tors									TalEth	r07	r05					red-mag		3	3	dex		6	6	move2		25	25	cast2		25	25	balance2		25	25									0
Steel	Steel	1				swor	axe	club	hamm	mace					TirEl	r03	r01					swing2		25	25	dmg-min		3	3	dmg-max		3	3	openwounds		50	50	dmg%		20	20									0
Still Water	Still Water	1				abow									GulUmMalNef	r25	r22	r23	r04			ama		1	1	swing1		20	20	dmg-norm		30	150	dmg%		80	120	skilltab	0	2	2	heal-kill		15	20	dmg-cold	300	100	150	0
Sting	Sting	1				miss									NefTalEth	r04	r07	r05				dmg-max		25	40	swing1		15	15	manasteal		5	8	oskill	Multiple Shot	3	3	oskill	Ice Arrow	5	5									0
Stone	Stone	1				tors									ShaelUmPulLum	r13	r22	r21	r17			ac%		220	260	charged	Clay Golem	16	16	ac-miss		300	300	charged	Molten Boulder	80	16	str		16	16	vit		16	16	balance2		40	40	0
Storm	Storm	1				spea									JahUmOhmOrtNef	r31	r22	r27	r09	r04		dmg%		333	333	swing1		20	20	hit-skill	Lightning	16	21	oskill	Thunder Storm	10	10	res-ltng		100	100	abs-ltng%		25	25	addxp		3	3	0
Strength	Strength	1				mele									AmnTir	r11	r03					str		20	20	dmg%		35	35	vit		10	10	crush		25	25													0
Temper	Temper	1			 D2R  Ladder  3 	helm									ShaelIoRal	r13	r16	r08				hp%		5	5	ac%		75	100	res-fire		10	30	abs-fire%		10	15													0
Tempest	Tempest	1				h2h									LemThul	r20	r10					dmg-cold		30	70	dmg-fire		100	200	dmg-ltng		1	300	extra-ltng		20	30	ass		2	2	skilltab	18	3	3	dmg%		140	190	0
Temptation	Temptation	1				club	hamm	mace							OrtNefEl	r09	r04	r01				addxp		10	10	dmg%		176	176	allskills		1	1	all-stats		-10	-10	swing1		20	20									0
Terror	Terror	1				necr									LumMal	r17	r23					gethit-skill	Terror	100	10	nec		2	2	skill-rand	Unsummon	66	95	ac/lvl	12			cast2		25	25	mag%/lvl	8			oskill	Fanaticism	3	3	0
Thirst	Thirst	1				spea									SolThulRal	r12	r10	r08				allskills		1	1	dmg%		125	150	addxp		1	3	heal-kill		8	12	mana-kill		2	5	dmg/lvl	12							0
Thought	Thought	1				orb									TirLumIst	r03	r17	r24				sor		2	2	regen		6	6	regen-mana		75	75	pierce-ltng		20	20	extra-cold		20	20	block		15	15	balance2		20	20	0
Thunder	Thunder	1				mele									PulLemKoFal	r21	r20	r18	r19			dmg%		235	235	dmg-ltng		1	444	gethit-skill	Thunder Storm	10	22	res-ltng		75	75	res-cold		-25	-25	oskill	Static Field	1	1	addxp		2	2	0
Time	Time	1				armo	shld								JahAmn	r31	r11					ac%		160	220	levelreq		20	20	hp		35	50	hp%		10	20	gethit-skill	Nova	100	25	noheal		1	1	oskill	Teleport	1	1	0
Tradition	Tradition	1				aspe									SurLoOhmGulIst	r29	r28	r27	r25	r24		ama		3	3	dmg%		325	400	lifesteal		10	10	manasteal		10	10	swing3		50	50	pierce-ltng		25	25	extra-ltng		25	25	0
Treachery	Treachery	1			111	armo									ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Trust	Trust	1				tors									AmnOhmFal	r11	r27	r19				levelreq		5	5	ac%		125	200	allskills		1	1	hp		75	100	swing2		20	20	dmg-norm		15	30	death-skill	Nova	100	57	0
Truth	Truth	1				orb									SolIth	r12	r06					dmg%		100	100	sor		1	1	mana		35	35	regen-mana		75	75	cast2		25	25									0
Unbending Will	Unbending Will	1			 D2R  Ladder  1 	swor									FalIoIthEldElHel	r19	r16	r06	r02	r01	r15	skilltab	12	3	3	hit-skill	Taunt	18	18	swing2		20	30	dmg%		300	350	red-dmg		8	8	noheal		1	1	lifesteal		8	10	0
Valor	Valor	1				mele									ShaelTirDolChamSurUm	r13	r03	r14	r32	r29	r22	levelreq		10	10	dmg-min		100	100	dmg/lvl	20			ethereal		1	1	indestruct		1	1	addxp		5	5	charged	Battle Orders	15	40	0
Vengeance	Vengeance	1				h2h									DolNef	r14	r04					dmg-norm		35	70	death-skill	Poison Nova	100	55	lifesteal		6	6	hp		40	40	all-stats		10	10	ass		1	1					0
Venom	Venom	1				weap									TalDolMal	r07	r14	r23				dmg-pois	175	312	312	ignore-ac		1	1	charged	Poison Explosion	27	15	charged	Poison Nova	11	13	manasteal		7	7									0
Victory	Victory	1				axe									OhmOhmIstLemOhmOhm	r27	r27	r24	r20	r27	r27	levelreq		24	24	dmg/lvl	20			rep-dur	10			swing3		60	60	ease		-50	-50	noheal		1	1	dmg-elem	125	1	300	0
Voice	Voice	1				armo	shld								UmIthAmnHel	r22	r06	r11	r15			levelreq		1	1	extra-cold		10	15	extra-fire		10	15	extra-ltng		10	15	res-all		7	10	mana/lvl	8							0
Voice of Reason	Voice of Reason	1				swor	club	hamm	mace						LemKoElEld	r20	r18	r01	r02			hit-skill	Frozen Orb	15	13	hit-skill	Ice Blast	18	20	dmg-demon		220	350	dmg-undead		280	300	dmg-cold	75	100	220	pierce-cold		24	24	nofreeze		1	1	0
Void	Void	1				barb									SolAmn	r12	r11					bar		1	1	dmg-max		10	15	hp		50	50	balance2		25	25	move2		25	25	lifesteal		3	6	manasteal		3	6	0
War	War	1				helm									IoHelPul	r16	r15	r21				ac%		70	110	dmg%		35	50	swing3		30	30	red-dmg%		20	25	ignore-ac		1	1	noheal		1	1	balance2		25	25	0
Water	Water	1				spea									KoShaelHel	r18	r13	r15				dmg-cold	150	33	122	regen-mana		35	35	regen		3	5	dmg%		175	175	balance2		25	25	levelup-skill	Battle Orders	100	25	res-fire		50	50	0
Wealth	Wealth	1				tors									LemKoTir	r20	r18	r03				gold%		250	250	mag%		100	100																					0
Whisper	Whisper	1				weap									ShaelShaelShael	r13	r13	r13				dmg-norm		25	75	dmg%		100	100	regen		6	6	reduce-ac		15	15	ease		-25	-25									0
White	White	1				wand									DolIo	r14	r16					skilltab	7	3	3	red-mag		4	4	cast2		20	20	mana		13	13	skill	Bone Armor	3	3	skill	Bone Spear	2	2	skill	Skeleton Mastery	4	4	0
Wind	Wind	1			110	mele									SurEl	r29	r01					dmg%		120	160	swing2		40	40	move2		20	20	reduce-ac		50	50	hit-skill	Tornado	10	9	charged	Twister	127	13	balance2		15	15	0
Wings of Hope	Wings of Hope	1				scep									ChamCham	r32	r32					dmg-min		60	100	dmg-max		150	200	oskill	Teleport	8	8	aura	Salvation	3	3	hit-skill	Bone Spear	25	35	rip		1	1	all-stats		20	20	0
Wisdom	Wisdom	1			 D2R  Ladder  1 	helm									PulIthEld	r21	r06	r02				pierce		33	33	manasteal		4	8	att%		15	25	mana-kill		5	5	nofreeze		1	1	enr		10	10					0
Wisdom Reimagined	Wisdom Reimagined	1				wand									JahLum	r31	r17					allskills		2	2	regen		5	5	mana/lvl	16			regen-mana		75	75	res-mag		20	20	addxp		3	5	cheap		10	10	0
Woe	Woe	1				tors									ChamTirShael	r32	r03	r13				levelreq		7	7	gethit-skill	Chain Lightning	25	25	gethit-skill	Fire Ball	25	25	gethit-skill	Blizzard	25	25	allskills		2	2	all-stats		25	25	res-pois-len		80	80	0
Wonder	Wonder	1				mele									VexAmnShaelAmnVex	r26	r11	r13	r11	r26		dmg%		275	275	balance2		30	30	str		20	20	dex		20	20	gold%		100	140	mag%		60	80	hp/lvl	12			0
Wrath	Wrath	1			 Previously  Ladder  Only 	miss									PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		250	300	dmg-ltng		41	240	dmg-mag		85	120	hit-skill	Life Tap	5	10	hit-skill	Decrepify	30	1	nofreeze		1	1	0
Youth	Youth	1				tors									OrtEth	r09	r05					res-fire		30	35	res-cold		30	35	res-pois		30	35	ac%		90	120	regen		8	10	regen-mana		85	85	hit-skill	Weaken	9	4	0
Zephyr	Zephyr	1			109	miss									OrtEth	r09	r05					move2		25	25	swing2		25	25	dmg%		33	33	att		66	66	gethit-skill	Twister	7	1	ac		25	25					0
Bone	Bone	1			111	tors									SolUmUm	r12	r22	r22				hit-skill	Bone Spear	15	10	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150													0
Enlightenment	Enlightenment	1			111	tors									PulRalSur	r21	r08	r12				hit-skill	Fire Ball	5	15	gethit-skill	Blaze	5	15	sor		2	2	oskill	Warmth	1	1													0
Myth	Myth	1			111	tors									HelAmnNef	r15	r11	r04				hit-skill	Taunt	10	1	gethit-skill	Howl	3	1	bar		2	2	regen		10	10													0
Peace	Peace	1			111	tors									ShaelThulAmn	r13	r10	r11				hit-skill	Valkyrie	2	15	gethit-skill	Slow Missiles	4	5	ama		2	2	oskill	Critical Strike	2	2													0
Principle	Principle	1			111	tors									RalGulEld	r08	r25	r02				hit-skill	Holy Bolt	100	5	pal		2	2	hp		100	150	dmg-undead		50	50													0
Snowdrop	Snowdrop	1			111	staf									TirThul	r03	r10					skilltab	5	3	3	mana/lvl	16			res-fire		33	33	skill	Shiver Armor	3	3	skill	Glacial Spike	3	3	skill	Warmth	3	3	skill	Frost Nova	3	3	0
Scout	Scout	1			111	helm									ElNef	r01	r04					move2		10	10	balance2		10	10	dex		5	5	light		11	11	oskill	Dodge	1	1									0
Blood Moon	Blood Moon	1				axe	swor	pole							ShaelUmRal	r13	r22	r08				pierce-fire		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Meteor	15	13	hit-skill	Fire Ball	20	17	0
Winter Moon	Winter Moon	1				axe	swor	pole							ShaelUmThul	r13	r22	r10				pierce-cold		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Blizzard	15	13	hit-skill	Glacial Spike	20	17	0
Harvest Moon	Harvest Moon	1				axe	swor	pole							ShaelUmTal	r13	r22	r07				pierce-pois		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Corpse Explosion	15	13	hit-skill	Poison Nova	20	17	0
Full Moon	Full Moon	1				axe	swor	pole							ShaelUmMal	r13	r22	r23				aura	Sanctuary	10	10	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Blessed Hammer	20	20	hit-skill	Bone Spear	15	20	0
Old Ben's Walking Stick	Old Ben's Walking Stick	1				staf									ElTir	r01	r03					regen2		-30	-30	move2		100	100	charged	Teleport	5	1	levelup-skill	Quickness	100	1	mag%		-100	-100	gold%		-100	-100					0
