description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot mid	1				100	15	362	84		2	boot,any	ka3						useitem			100	nofreeze	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot mid	1				100	15	362	78		2	boot,any	ka3						useitem			100	cast1	100		10	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot mid	1				100	15	362	72		2	boot,any	ka3						useitem			100	hp%	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot mid end	1				100	15	362	66		2	boot,any	ka3						useitem			100	red-dmg	100		6	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low start	1				100	15	362	64		2	boot,any	ka3						useitem			100	ac%	100		50	80						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low	1				100	15	362	62		2	boot,any	ka3						useitem			100	regen	100		10	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low	1				100	15	362	60		2	boot,any	ka3						useitem			100	regen-mana	100		10	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low	1				100	15	362	58		2	boot,any	ka3						useitem			100	res-pois	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low	1				100	15	362	56		2	boot,any	ka3						useitem			100	res-cold	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low	1				100	15	362	54		2	boot,any	ka3						useitem			100	res-ltng	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot low end	1				100	15	362	50		2	boot,any	ka3						useitem			100	res-fire	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot socket	1				100	15	362	49		2	boot,any	ka3						useitem,uns			100	sock	100		4	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot socket	1				100	15	362	45		2	boot,any	ka3						useitem,uns			100	sock	100		3	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot socket	1				100	15	362	36		2	boot,any	ka3						useitem,uns			100	sock	100		2	2						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot socket	1				100	15	362	26		2	boot,any	ka3						useitem,uns			100	sock	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Boots & Corruption Orb = If item corrupteddummy = boot Brick	1				100	15	362	25		2	boot,any	ka3						usetype,rar			100											corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive gloves start	1				100	15	362	100		2	glov,any	ka3						useitem			100	cast1	100		5	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	99		2	glov,any	ka3						useitem			100	swing1	100		10	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive 	1				100	15	362	98		2	glov,any	ka3						useitem			100	block1	100		5	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive 	1				100	15	362	97		2	glov,any	ka3						useitem			100	dmg%	100		20	40						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive 	1				100	15	362	96		2	glov,any	ka3						useitem			100	reduce-ac	100		15	25						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	95		2	glov,any	ka3						useitem			100	deadly	100		6	12						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	93		2	glov,any	ka3						useitem			100	allres	100		4	8						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive gloves end	1				100	15	362	91		2	glov,any	ka3						useitem			100	mana-kill	100		2	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves mid start	1				100	15	362	90		2	glov,any	ka3						useitem			100	pierce	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves mid	1				100	15	362	84		2	glov,any	ka3						useitem			100	att	100		100	150						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves mid	1				100	15	362	78		2	glov,any	ka3						useitem			100	lifesteal	100		2	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves mid	1				100	15	362	72		2	glov,any	ka3						useitem			100	manasteal	100		2	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves mid end	1				100	15	362	66		2	glov,any	ka3						useitem			100	all-stats	100		3	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low start	1				100	15	362	64		2	glov,any	ka3						useitem			100	hp	100		20	40						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low	1				100	15	362	62		2	glov,any	ka3						useitem			100	mag%	100		10	25						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low	1				100	15	362	60		2	glov,any	ka3						useitem			100	regen-mana	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low	1				100	15	362	58		2	glov,any	ka3						useitem			100	res-ltng	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low	1				100	15	362	56		2	glov,any	ka3						useitem			100	res-fire	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low	1				100	15	362	54		2	glov,any	ka3						useitem			100	res-cold	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves low end	1				100	15	362	50		2	glov,any	ka3						useitem			100	res-pois	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves socket	1				100	15	362	49		2	glov,any	ka3						useitem,uns			100	sock	100		4	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves socket	1				100	15	362	45		2	glov,any	ka3						useitem,uns			100	sock	100		3	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves socket	1				100	15	362	36		2	glov,any	ka3						useitem,uns			100	sock	100		2	2						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves socket	1				100	15	362	26		2	glov,any	ka3						useitem,uns			100	sock	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = gloves brick	1				100	15	362	25		2	glov,any	ka3						usetype,rar			100											corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Gloves & Corruption Orb = If item corrupteddummy = 100, apply strongest positive belt start	1				100	15	362	100		2	belt,any	ka3						useitem			100	cast1	100		10	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = 100, apply strongest positive helm start	1				100	15	362	100		2	helm,any	ka3						useitem			100	allskills	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	99		2	helm,any	ka3						useitem			100	allres	100		10	15						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	97		2	helm,any	ka3						useitem			100	res-ltng-max	100		4	5	res-ltng			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	95		2	helm,any	ka3						useitem			100	res-fire-max	100		4	5	res-fire			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	93		2	helm,any	ka3						useitem			100	res-pois-max	100		4	5	res-pois			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = 100, apply strongest positive helm end	1				100	15	362	91		2	helm,any	ka3						useitem			100	res-cold-max	100		4	5	res-cold			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm mid start	1				100	15	362	90		2	helm,any	ka3						useitem			100	indestruct	100		1	1	ac%			50	80	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm mid	1				100	15	362	84		2	helm,any	ka3						useitem			100	nofreeze	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm mid	1				100	15	362	78		2	helm,any	ka3						useitem			100	cast1	100		10	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm mid	1				100	15	362	72		2	helm,any	ka3						useitem			100	hp%	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm mid end	1				100	15	362	66		2	helm,any	ka3						useitem			100	red-dmg	100		6	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low start	1				100	15	362	64		2	helm,any	ka3						useitem			100	ac%	100		50	80						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low	1				100	15	362	62		2	helm,any	ka3						useitem			100	regen	100		10	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low	1				100	15	362	60		2	helm,any	ka3						useitem			100	regen-mana	100		10	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low	1				100	15	362	58		2	helm,any	ka3						useitem			100	res-pois	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low	1				100	15	362	56		2	helm,any	ka3						useitem			100	res-cold	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low	1				100	15	362	54		2	helm,any	ka3						useitem			100	res-ltng	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm low end	1				100	15	362	50		2	helm,any	ka3						useitem			100	res-fire	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm socket	1				100	15	362	49		2	helm,any	ka3						useitem,uns			100	sock	100		4	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm socket	1				100	15	362	45		2	helm,any	ka3						useitem,uns			100	sock	100		3	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm socket	1				100	15	362	36		2	helm,any	ka3						useitem,uns			100	sock	100		2	2						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm socket	1				100	15	362	26		2	helm,any	ka3						useitem,uns			100	sock	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Helmetet & Corruption Orb = If item corrupteddummy = helm Brick	1				100	15	362	25		2	helm,any	ka3						usetype,rar			100											corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = 100, apply strongest positive ring start	1				100	15	362	100		2	rin,any	ka3						useitem			100	cast1	100		10	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	91		2	rin,any	ka3						useitem			100	all-stats	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	97		2	rin,any	ka3						useitem			100	allres	100		3	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	95		2	rin,any	ka3						useitem			100	nofreeze	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	93		2	rin,any	ka3						useitem			100	manasteal	100		3	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = 100, apply strongest positive ring end	1				100	15	362	91		2	rin,any	ka3						useitem			100	lifesteal	100		3	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring mid start	1				100	15	362	90		2	rin,any	ka3						useitem			100	att	100		100	150						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring mid	1				100	15	362	85		2	rin,any	ka3						useitem			100	red-dmg	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring mid	1				100	15	362	80		2	rin,any	ka3						useitem			100	red-mag	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring mid	1				100	15	362	75		2	rin,any	ka3						useitem			100	regen	100		15	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring mid	1				100	15	362	72		2	rin,any	ka3						useitem			100	mana-kill	100		2	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring mid end	1				100	15	362	68		2	rin,any	ka3						useitem			100	heal-kill	100		2	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low start	1				100	15	362	66		2	rin,any	ka3						useitem			100	str	100		6	12						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low	1				100	15	362	64		2	rin,any	ka3						useitem			100	dex	100		6	12						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low	1				100	15	362	62		2	rin,any	ka3						useitem			100	enr	100		6	12						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low	1				100	15	362	60		2	rin,any	ka3						useitem			100	vit	100		6	12						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low	1				100	15	362	58		2	rin,any	ka3						useitem			100	res-cold	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low	1				100	15	362	56		2	rin,any	ka3						useitem			100	res-ltng	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low	1				100	15	362	54		2	rin,any	ka3						useitem			100	res-fire	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring low end	1				100	15	362	50		2	rin,any	ka3						useitem			100	res-pois	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring cnc	1				100	15	362	26		2	rin,any	ka3						useitem			100											corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Ring & Corruption Orb = If item corrupteddummy = ring brick	1				100	15	362	25		2	rin,any	ka3						usetype,rar			100											corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive shield start	1				100	15	362	100		2	shld,any	ka3						useitem			100	allskills	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	99		2	shld,any	ka3						useitem			100	allres	100		20	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	98		2	shld,any	ka3						useitem			100	red-dmg%	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	97		2	shld,any	ka3						useitem			100	res-pois-max	100		4	5	res-pois			15	20	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	95		2	shld,any	ka3						useitem			100	res-cold-max	100		4	5	res-cold			15	20	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	93		2	shld,any	ka3						useitem			100	res-fire-max	100		4	5	res-fire			15	20	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = 100, apply strongest positive shield end	1				100	15	362	91		2	shld,any	ka3						useitem			100	res-ltng-max	100		4	5	res-ltng			15	20	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield mid start	1				100	15	362	90		2	shld,any	ka3						useitem			100	indestruct	100		1	1	ac%			50	80	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield mid	1				100	15	362	84		2	shld,any	ka3						useitem			100	nofreeze	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield mid	1				100	15	362	78		2	shld,any	ka3						useitem			100	block1	100		5	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield mid	1				100	15	362	72		2	shld,any	ka3						useitem			100	hp%	100		4	6						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield mid end	1				100	15	362	66		2	shld,any	ka3						useitem			100	red-dmg	100		6	10						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low start	1				100	15	362	64		2	shld,any	ka3						useitem			100	ac%	100		50	80						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low	1				100	15	362	62		2	shld,any	ka3						useitem			100	regen	100		10	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low	1				100	15	362	60		2	shld,any	ka3						useitem			100	regen-mana	100		10	20						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low	1				100	15	362	58		2	shld,any	ka3						useitem			100	res-pois	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low	1				100	15	362	56		2	shld,any	ka3						useitem			100	res-cold	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low	1				100	15	362	54		2	shld,any	ka3						useitem			100	res-ltng	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield low end	1				100	15	362	50		2	shld,any	ka3						useitem			100	res-fire	100		15	30						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield socket	1				100	15	362	49		2	shld,any	ka3						useitem,uns			100	sock	100		4	4						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield socket	1				100	15	362	45		2	shld,any	ka3						useitem,uns			100	sock	100		3	3						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield socket	1				100	15	362	36		2	shld,any	ka3						useitem,uns			100	sock	100		2	2						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield socket	1				100	15	362	26		2	shld,any	ka3						useitem,uns			100	sock	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Shield & Corruption Orb = If item corrupteddummy = shield Brick	1				100	15	362	25		2	shld,any	ka3						usetype,rar			100											corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = 100, apply strongest positive chest armor start	1				100	15	362	100		2	tors,any	ka3						useitem			100	allskills	100		1	1	corrupted			1	1	corruptedDummy			101	101																																																																					0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	99		2	tors,any	ka3						useitem			100	res-all	100		15	20	corrupted			1	1	corruptedDummy			101	101																																																																					0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	97		2	tors,any	ka3						useitem			100	res-fire-max	100		4	5	res-fire			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	95		2	tors,any	ka3						useitem			100	res-cold-max	100		4	5	res-cold			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = 100, apply strongest positive	1				100	15	362	93		2	tors,any	ka3						useitem			100	res-pois-max	100		4	5	res-pois			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = 100, apply strongest positive chest armor end	1				100	15	362	91		2	tors,any	ka3						useitem			100	res-ltng-max	100		4	5	res-ltng			15	15	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = chest mid start	1				100	15	362	90		2	tors,any	ka3						useitem			100	indestruct	100		1	1	ac%			50	80	corrupted			1	1	corruptedDummy			101	101																																																																0
CORRUPT ITEM SUCCESS - Torso & Corruption Orb = If item corrupteddummy = chest mid	1				100	15	362	84		2	tors,any	ka3						useitem			100	nofreeze	100		1	1						corrupted			1	1	corruptedDummy			101	101																																																																0
