Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Act 5 Magic A	4	32	1					10	tsc	2	isc	4	mp4	3	mp5	3																			0
Act 5 Magic B	4	34	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 Magic C	4	36	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (N) Magic A	4	38	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (N) Magic B	4	40	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (N) Magic A	4	42	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (N) Magic B	4	44	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (N) Magic A	4	46	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (N) Magic B	4	48	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (N) Magic A	4	51	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (N) Magic B	4	54	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (N) Magic A	4	57	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (N) Magic B	4	60	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (N) Magic C	4	63	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (H) Magic A	4	66	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (H) Magic B	4	69	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (H) Magic A	4	71	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (H) Magic B	4	73	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (H) Magic A	4	75	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (H) Magic B	4	77	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (H) Magic A	4	79	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (H) Magic B	4	80	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (H) Magic A	4	82	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (H) Magic B	4	83	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (H) Magic C	4	85	1					10	tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 Good	5	0	1					16	Jewelry A	3	Runes 1	1	Gem	0																					0
Act 2 Good	5	12	1					16	Jewelry B	12	Runes 1	2	Runes 2	2	Gem	0																			0
Act 3 Good	5	18	1					18	Jewelry C	18	Gem	3	Runes 3	4	Runes 4	4																			0
Act 4 Good	5	26	1					18	Jewelry C	24	Gem	5	Runes 5	14	Runes 6	7																			0
Act 5 Good	5	32	1					20	Jewelry C	30	Gem	7	Runes 7	10																					0
Act 1 (N) Good	5	38	1					18	Jewelry C	40	Gem	10	Runes 8	14																					0
Act 2 (N) Good	5	42	1					18	Jewelry C	40	Gem	10	Runes 9	14																					0
Act 3 (N) Good	5	46	1					18	Jewelry C	40	Gem	10	Runes 10	14																					0
Act 4 (N) Good	5	51	1					18	Jewelry C	40	Gem	10	Runes 11	14																					0
Act 5 (N) Good	5	57	1					18	Jewelry C	40	Gem	10	Runes 12	14																					0
Act 1 (H) Good	5	66	1					20	Jewelry C	50	Gem	15	Runes 13	24																					0
Act 2 (H) Good	5	72	1					20	Jewelry C	50	Gem	15	Runes 14	24																					0
Act 3 (H) Good	5	78	1					20	Jewelry C	50	Gem	15	Runes 15	24																					0
Act 4 (H) Good	5	82	1					20	Jewelry C	50	Gem	15	Runes 16	24																					0
Act 5 (H) Good	5	85	1					20	Jewelry C	50	Gem	15	Runes 17	24																					0
Act 1 Chest A	6	0	4					60	Gold	7	Act 1 Junk	15	Act 1 Equip A	10	Act 1 Good	2																			0
Act 1 Chest B	6	5	4					60	Gold	7	Act 1 Junk	15	Act 1 Equip B	10	Act 1 Good	2																			0
Act 1 Chest C	6	9	4					60	Gold	7	Act 1 Junk	12	Act 2 Junk	3	Act 1 Equip C	15	Act 1 Good	2																	0
Act 2 Chest A	6	12	4					60	Gold	7	Act 2 Junk	15	Act 2 Equip A	10	Act 2 Good	2																			0
Act 2 Chest B	6	15	4					60	Gold	7	Act 2 Junk	15	Act 2 Equip B	10	Act 2 Good	2																			0
Act 2 Chest C	6	18	4					60	Gold	7	Act 2 Junk	12	Act 3 Junk	3	Act 2 Equip C	15	Act 2 Good	2																	0
Act 3 Chest A	6	20	4					60	Gold	7	Act 3 Junk	15	Act 3 Equip A	10	Act 3 Good	2																			0
Act 3 Chest B	6	22	4					60	Gold	7	Act 3 Junk	15	Act 3 Equip B	10	Act 3 Good	2																			0
Act 3 Chest C	6	24	4					60	Gold	7	Act 3 Junk	15	Act 3 Equip C	10	Act 3 Good	2																			0
Act 4 Chest A	6	26	4					60	Gold	7	Act 4 Junk	15	Act 4 Equip A	10	Act 4 Good	2																			0
Act 4 Chest B	6	28	4					60	Gold	7	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2																			0
Act 4 Chest C	6	30	4					60	Gold	7	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2																			0
Act 5 Chest A	6	32	4					60	Gold	7	Act 5 Junk	15	Act 5 Equip A	10	Act 5 Good	2																			0
Act 5 Chest B	6	34	4					60	Gold	7	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2																			0
Act 5 Chest C	6	36	4					60	Gold	7	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2																			0
Act 1 (N) Chest A	6	38	4					60	Gold	7	Act 1 (N) Junk	15	Act 1 (N) Equip A	10	Act 1 (N) Good	2																			0
Act 1 (N) Chest B	6	40	4					60	Gold	7	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2																			0
Act 1 (N) Chest C	6	42	4					60	Gold	7	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2																			0
Act 2 (N) Chest A	6	44	4					60	Gold	7	Act 2 (N) Junk	15	Act 2 (N) Equip A	10	Act 2 (N) Good	2																			0
Act 2 (N) Chest B	6	46	4					60	Gold	7	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2																			0
Act 2 (N) Chest C	6	48	4					60	Gold	7	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2																			0
Act 3 (N) Chest A	6	50	4					60	Gold	7	Act 3 (N) Junk	15	Act 3 (N) Equip A	10	Act 3 (N) Good	2																			0
Act 3 (N) Chest B	6	52	4					60	Gold	7	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2																			0
Act 3 (N) Chest C	6	54	4					60	Gold	7	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2																			0
Act 4 (N) Chest A	6	56	4					60	Gold	7	Act 4 (N) Junk	15	Act 4 (N) Equip A	10	Act 4 (N) Good	2																			0
Act 4 (N) Chest B	6	58	4					60	Gold	7	Act 4 (N) Junk	15	Act 4 (N) Equip B	10	Act 4 (N) Good	2																			0
Act 4 (N) Chest C	6	60	4					60	Gold	7	Act 4 (N) Junk	15	Act 4 (N) Equip C	10	Act 4 (N) Good	2																			0
Act 5 (N) Chest A	6	62	4					60	Gold	7	Act 5 (N) Junk	15	Act 5 (N) Equip A	10	Act 5 (N) Good	2																			0
Act 5 (N) Chest B	6	64	4					60	Gold	7	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2																			0
Act 5 (N) Chest C	6	66	4					60	Gold	7	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2																			0
Act 1 (H) Chest A	6	68	4					60	Gold	7	Act 1 (H) Junk	15	Act 1 (H) Equip A	10	Act 1 (H) Good	2																			0
Act 1 (H) Chest B	6	70	4					60	Gold	7	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2																			0
Act 1 (H) Chest C	6	71	4					60	Gold	7	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2																			0
Act 2 (H) Chest A	6	72	4					60	Gold	7	Act 2 (H) Junk	15	Act 2 (H) Equip A	10	Act 2 (H) Good	2																			0
Act 2 (H) Chest B	6	74	4					60	Gold	7	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2																			0
Act 2 (H) Chest C	6	75	4					60	Gold	7	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2																			0
Act 3 (H) Chest A	6	76	4					60	Gold	7	Act 3 (H) Junk	15	Act 3 (H) Equip A	10	Act 3 (H) Good	2																			0
Act 3 (H) Chest B	6	78	4					60	Gold	7	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2																			0
Act 3 (H) Chest C	6	79	4					60	Gold	7	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2																			0
Act 4 (H) Chest A	6	80	4					60	Gold	7	Act 4 (H) Junk	15	Act 4 (H) Equip A	10	Act 4 (H) Good	2																			0
Act 4 (H) Chest B	6	81	4					60	Gold	7	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2																			0
Act 4 (H) Chest C	6	82	4					60	Gold	7	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2																			0
Act 5 (H) Chest A	6	83	4					60	Gold	7	Act 5 (H) Junk	15	Act 5 (H) Equip A	10	Act 5 (H) Good	2																			0
Act 5 (H) Chest B	6	84	4					60	Gold	7	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2																			0
Act 5 (H) Chest C	6	85	4					60	Gold	7	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2																			0
Act 1 H2H A	7	0	1					120	Gold	10	Act 1 Equip A	16	Act 1 Junk	21	Act 1 Good	2																			0
Act 1 H2H B	7	5	1					120	Gold	10	Act 1 Equip B	16	Act 1 Junk	21	Act 1 Good	2																			0
Act 1 H2H C	7	9	1					120	Gold	10	Act 1 Equip C	16	Act 1 Junk	21	Act 1 Good	2																			0
Act 2 H2H A	7	12	1					120	Gold	10	Act 2 Equip A	16	Act 2 Junk	21	Act 2 Good	2																			0
Act 2 H2H B	7	15	1					120	Gold	10	Act 2 Equip B	16	Act 2 Junk	21	Act 2 Good	2																			0
Act 2 H2H C	7	18	1					120	Gold	10	Act 2 Equip C	16	Act 2 Junk	21	Act 3 Good	2																			0
Act 3 H2H A	7	20	1					120	Gold	10	Act 3 Equip A	16	Act 3 Junk	21	Act 3 Good	2																			0
Act 3 H2H B	7	22	1					120	Gold	10	Act 3 Equip B	16	Act 3 Junk	21	Act 3 Good	2																			0
Act 3 H2H C	7	24	1					120	Gold	10	Act 3 Equip C	16	Act 3 Junk	21	Act 3 Good	2																			0
Act 4 H2H A	7	26	1					120	Gold	10	Act 4 Equip A	16	Act 4 Junk	21	Act 4 Good	2																			0
Act 4 H2H B	7	29	1					120	Gold	10	Act 4 Equip B	16	Act 4 Junk	21	Act 4 Good	2																			0
Act 5 H2H A	7	32	1					120	Gold	10	Act 5 Equip A	16	Act 5 Junk	21	Act 5 Good	2																			0
Act 5 H2H B	7	34	1					120	Gold	10	Act 5 Equip B	16	Act 5 Junk	21	Act 5 Good	2																			0
Act 5 H2H C	7	36	1					120	Gold	10	Act 5 Equip C	16	Act 5 Junk	21	Act 5 Good	2																			0
Act 1 (N) H2H A	7	38	1					80	Gold	10	Act 1 (N) Equip A	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																			0
Act 1 (N) H2H B	7	40	1					80	Gold	10	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																			0
Act 1 (N) H2H C	7	41	1					80	Gold	10	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																			0
Act 2 (N) H2H A	7	42	1					80	Gold	10	Act 2 (N) Equip A	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																			0
Act 2 (N) H2H B	7	44	1					80	Gold	10	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																			0
Act 2 (N) H2H C	7	45	1					80	Gold	10	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																			0
Act 3 (N) H2H A	7	46	1					80	Gold	10	Act 3 (N) Equip A	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																			0
Act 3 (N) H2H B	7	48	1					80	Gold	10	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																			0
Act 3 (N) H2H C	7	50	1					80	Gold	10	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																			0
Act 4 (N) H2H A	7	51	1					80	Gold	10	Act 4 (N) Equip A	16	Act 4 (N) Junk	21	Act 4 (N) Good	2																			0
Act 4 (N) H2H B	7	54	1					80	Gold	10	Act 4 (N) Equip B	16	Act 4 (N) Junk	21	Act 4 (N) Good	2																			0
Act 5 (N) H2H A	7	57	1					80	Gold	10	Act 5 (N) Equip A	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																			0
Act 5 (N) H2H B	7	60	1					80	Gold	10	Act 5 (N) Equip B	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																			0
Act 5 (N) H2H C	7	62	1					80	Gold	10	Act 5 (N) Equip C	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																			0
Act 1 (H) H2H A	7	63	1					60	Gold	10	Act 1 (H) Equip A	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																			0
Act 1 (H) H2H B	7	66	1					60	Gold	10	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																			0
Act 1 (H) H2H C	7	68	1					60	Gold	10	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																			0
Act 2 (H) H2H A	7	69	1					60	Gold	10	Act 2 (H) Equip A	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																			0
Act 2 (H) H2H B	7	71	1					60	Gold	10	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																			0
Act 2 (H) H2H C	7	73	1					60	Gold	10	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																			0
Act 3 (H) H2H A	7	74	1					60	Gold	10	Act 3 (H) Equip A	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																			0
Act 3 (H) H2H B	7	76	1					60	Gold	10	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																			0
Act 3 (H) H2H C	7	77	1					60	Gold	10	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																			0
Act 4 (H) H2H A	7	79	1					60	Gold	10	Act 4 (H) Equip A	16	Act 1 (H) Junk	21	Act 4 (H) Good	2																			0
Act 4 (H) H2H B	7	80	1					60	Gold	10	Act 4 (H) Equip B	16	Act 1 (H) Junk	21	Act 4 (H) Good	2																			0
Act 5 (H) H2H A	7	82	1					60	Gold	10	Act 5 (H) Equip A	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																			0
Act 5 (H) H2H B	7	83	1					60	Gold	10	Act 5 (H) Equip B	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																			0
Act 5 (H) H2H C	7	85	1					60	Gold	10	Act 5 (H) Equip C	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																			0
Act 1 Cast A	8	0	1					60	Gold	9	Act 1 Equip A	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic A	7																	0
Act 1 Cast B	8	5	1					60	Gold	9	Act 1 Equip B	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic B	7																	0
Act 1 Cast C	8	9	1					60	Gold	9	Act 1 Equip C	15	Act 1 Junk	18	Act 1 Good	2	Act 1 Magic C	7																	0
Act 2 Cast A	8	12	1					60	Gold	9	Act 2 Equip A	15	Act 2 Junk	18	Act 2 Good	2	Act 2 Magic A	7																	0
Act 2 Cast B	8	15	1					60	Gold	9	Act 2 Equip B	15	Act 2 Junk	18	Act 2 Good	2	Act 2 Magic B	7																	0
Act 2 Cast C	8	18	1					60	Gold	9	Act 2 Equip C	15	Act 2 Junk	18	Act 3 Good	2	Act 2 Magic C	7																	0
Act 3 Cast A	8	20	1					60	Gold	9	Act 3 Equip A	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic A	7																	0
Act 3 Cast B	8	22	1					60	Gold	9	Act 3 Equip B	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic B	7																	0
Act 3 Cast C	8	24	1					60	Gold	9	Act 3 Equip C	15	Act 3 Junk	18	Act 3 Good	2	Act 3 Magic C	7																	0
Act 4 Cast A	8	26	1					60	Gold	9	Act 4 Equip A	15	Act 4 Junk	18	Act 4 Good	2	Act 4 Magic A	7																	0
Act 4 Cast B	8	29	1					60	Gold	9	Act 4 Equip B	15	Act 4 Junk	18	Act 4 Good	2	Act 4 Magic B	7																	0
Act 5 Cast A	8	32	1					60	Gold	9	Act 5 Equip A	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic A	7																	0
Act 5 Cast B	8	34	1					60	Gold	9	Act 5 Equip B	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic B	7																	0
Act 5 Cast C	8	36	1					60	Gold	9	Act 5 Equip C	15	Act 5 Junk	18	Act 5 Good	2	Act 5 Magic C	7																	0
Act 1 (N) Cast A	8	38	1					60	Gold	9	Act 1 (N) Equip A	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic A	7																	0
Act 1 (N) Cast B	8	40	1					60	Gold	9	Act 1 (N) Equip B	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic B	7																	0
Act 1 (N) Cast C	8	41	1					60	Gold	9	Act 1 (N) Equip B	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic B	7																	0
Act 2 (N) Cast A	8	42	1					60	Gold	9	Act 2 (N) Equip A	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic A	7																	0
Act 2 (N) Cast B	8	44	1					60	Gold	9	Act 2 (N) Equip B	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic B	7																	0
Act 2 (N) Cast C	8	45	1					60	Gold	9	Act 2 (N) Equip B	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic B	7																	0
Act 3 (N) Cast A	8	46	1					60	Gold	9	Act 3 (N) Equip A	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic A	7																	0
Act 3 (N) Cast B	8	48	1					60	Gold	9	Act 3 (N) Equip B	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic B	7																	0
Act 3 (N) Cast C	8	50	1					60	Gold	9	Act 3 (N) Equip B	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic B	7																	0
Act 4 (N) Cast A	8	51	1					60	Gold	9	Act 4 (N) Equip A	15	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Magic A	7																	0
Act 4 (N) Cast B	8	54	1					60	Gold	9	Act 4 (N) Equip B	15	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Magic B	7																	0
Act 5 (N) Cast A	8	57	1					60	Gold	9	Act 5 (N) Equip A	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic A	7																	0
Act 5 (N) Cast B	8	60	1					60	Gold	9	Act 5 (N) Equip B	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic B	7																	0
Act 5 (N) Cast C	8	62	1					60	Gold	9	Act 5 (N) Equip C	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic B	7																	0
Act 1 (H) Cast A	8	63	1					60	Gold	9	Act 1 (H) Equip A	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic A	7																	0
Act 1 (H) Cast B	8	66	1					60	Gold	9	Act 1 (H) Equip B	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic B	7																	0
Act 1 (H) Cast C	8	68	1					60	Gold	9	Act 1 (H) Equip B	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic B	7																	0
Act 2 (H) Cast A	8	69	1					60	Gold	9	Act 2 (H) Equip A	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic A	7																	0
Act 2 (H) Cast B	8	71	1					60	Gold	9	Act 2 (H) Equip B	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic B	7																	0
Act 2 (H) Cast C	8	72	1					60	Gold	9	Act 2 (H) Equip B	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic B	7																	0
Act 3 (H) Cast A	8	74	1					60	Gold	9	Act 3 (H) Equip A	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic A	7																	0
Act 3 (H) Cast B	8	75	1					60	Gold	9	Act 3 (H) Equip B	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic B	7																	0
Act 3 (H) Cast C	8	77	1					60	Gold	9	Act 3 (H) Equip B	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic B	7																	0
Act 4 (H) Cast A	8	78	1					60	Gold	9	Act 4 (H) Equip A	15	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Magic A	7																	0
Act 4 (H) Cast B	8	80	1					60	Gold	9	Act 4 (H) Equip B	15	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Magic B	7																	0
Act 5 (H) Cast A	8	81	1					60	Gold	9	Act 5 (H) Equip A	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic A	7																	0
Act 5 (H) Cast B	8	83	1					60	Gold	9	Act 5 (H) Equip B	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic B	7																	0
Act 5 (H) Cast C	8	85	1					60	Gold	9	Act 5 (H) Equip C	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic B	7																	0
Act 1 Miss A	9	0	1					60	Gold	9	Act 1 Equip A	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow A	6	Ammo	0															0
Act 1 Miss B	9	5	1					60	Gold	9	Act 1 Equip B	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow B	6	Ammo	0															0
Act 1 Miss C	9	9	1					60	Gold	9	Act 1 Equip C	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow C	6	Ammo	0															0
Act 2 Miss A	9	12	1					60	Gold	9	Act 2 Equip A	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow A	6	Ammo	0															0
Act 2 Miss B	9	15	1					60	Gold	9	Act 2 Equip B	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow B	6	Ammo	0															0
Act 2 Miss C	9	18	1					60	Gold	9	Act 2 Equip C	13	Act 2 Junk	18	Act 3 Good	2	Act 2 Bow C	6	Ammo	0															0
Act 3 Miss A	9	20	1					60	Gold	9	Act 3 Equip A	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow A	6	Ammo	0															0
Act 3 Miss B	9	22	1					60	Gold	9	Act 3 Equip B	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow B	6	Ammo	0															0
Act 3 Miss C	9	24	1					60	Gold	9	Act 3 Equip C	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow C	6	Ammo	0															0
Act 4 Miss A	9	26	1					60	Gold	9	Act 4 Equip A	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow A	6	Ammo	0															0
Act 4 Miss B	9	29	1					60	Gold	9	Act 4 Equip B	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow B	6	Ammo	0															0
Act 5 Miss A	9	32	1					60	Gold	9	Act 5 Equip A	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow A	6	Ammo	0															0
Act 5 Miss B	9	34	1					60	Gold	9	Act 5 Equip B	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	0															0
Act 5 Miss C	9	36	1					60	Gold	9	Act 5 Equip C	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	0															0
Act 1 (N) Miss A	9	38	1					60	Gold	9	Act 1 (N) Equip A	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	0															0
Act 1 (N) Miss B	9	40	1					60	Gold	9	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	0															0
Act 1 (N) Miss C	9	41	1					60	Gold	9	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	0															0
Act 2 (N) Miss A	9	42	1					60	Gold	9	Act 2 (N) Equip A	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	0															0
Act 2 (N) Miss B	9	44	1					60	Gold	9	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	0															0
Act 2 (N) Miss C	9	45	1					60	Gold	9	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	0															0
Act 3 (N) Miss A	9	46	1					60	Gold	9	Act 3 (N) Equip A	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	0															0
Act 3 (N) Miss B	9	48	1					60	Gold	9	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	0															0
Act 3 (N) Miss C	9	50	1					60	Gold	9	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	0															0
Act 4 (N) Miss A	9	51	1					60	Gold	9	Act 4 (N) Equip A	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	0															0
Act 4 (N) Miss B	9	54	1					60	Gold	9	Act 4 (N) Equip B	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	0															0
Act 5 (N) Miss A	9	57	1					60	Gold	9	Act 5 (N) Equip A	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	0															0
Act 5 (N) Miss B	9	60	1					60	Gold	9	Act 5 (N) Equip B	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	0															0
Act 5 (N) Miss C	9	62	1					60	Gold	9	Act 5 (N) Equip C	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	0															0
Act 1 (H) Miss A	9	63	1					60	Gold	9	Act 1 (H) Equip A	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	0															0
