code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
deadly/time	230	1	18	item_deadlystrike_bytime																												#% Deadly Strike (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used	0
gems%/time	231																																				0
pierce-fire	232	1	1	passive_fire_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-ltng	233	1	1	passive_ltng_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
pierce-cold	234	1	1	passive_cold_pierce																												-#% to Enemy Cold Resistance		Min %	Max %		0
pierce-pois	235	1	1	passive_pois_pierce																												-#% to Enemy Poison Resistance		Min %	Max %		0
dmg-mon	236																																				0
dmg%-mon	237																																				0
att-mon	238																																				0
att%-mon	239																																				0
ac-mon	240																																				0
ac%-mon	241																																				0
indestruct	242	1	20																													Indestructible		1	1		0
charged	243	1	19	item_charged_skill																												Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level		0
extra-fire	244	1	1	passive_fire_mastery																												+#% to Fire Skill Damage		Min %	Max %		0
extra-ltng	245	1	1	passive_ltng_mastery																												+#% to Lightning Skill Damage		Min %	Max %		0
extra-cold	246	1	1	passive_cold_mastery																												+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	247	1	1	passive_pois_mastery																												+#% to Poison Skill Damage		Min %	Max %		0
dmg-elem	248	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength				Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	249	1	1	firemindam			3	lightmindam			3	coldmindam																				+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	250	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength																+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
all-stats	251	1	1	strength			3	energy			3	dexterity			3	vitality																+# to all Attributes		Min #	Max #		0
addxp	252	1	1	item_addexperience																												+#% to Experience Gained		Min %	Max %		0
heal-kill	253	1	1	item_healafterkill																												+# Life after each Kill		Min #	Max #		0
cheap	254	1	1	item_reducedprices																												Reduces all Vendor Prices #%		Min %	Max %		0
rip	255	1	1	item_restinpeace																												Slain Monsters Rest in Peace		1	1		0
att-mon%	256	1	24	attack_vs_montype																												#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	257	1	24	damage_vs_montype																												#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
kill-skill	258	1	11	item_skillonkill																											6	#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	% Chance (If 0, then default to 5)	Skill Level		0
death-skill	259	1	11	item_skillondeath																											6	#% Chance to cast level # [Skill] when you Die	Skill	% Chance (If 0, then default to 5)	Skill Level		0
levelup-skill	260	1	11	item_skillonlevelup																											6	#% Chance to cast level # [Skill] when you Level-Up	Skill	% Chance (If 0, then default to 5)	Skill Level		0
skill-rand	261	1	12	item_singleskill																											2	+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
fade	262	1	17	fade																														Min #	Max #	Visuals Only	0
levelreq	263	1	1	item_levelreq																												Required Level: #		Min #	Max #		0
ethereal	264	1	23																													Ethereal		1	1		0
oskill	265	1	22	item_nonclassskill_display			24	item_nonclassskill																								+# to [Skill]	Skill	Min #	Max #		0
state	266	1	24	state																													State	1	1	Applies a State on the unit	0
randclassskill	267	1	12	item_addclassskills																												+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
noconsume	268		1	item_noconsume																												+# to not Consume Quantity		Min %	Max %		0
pierce-immunity-cold	269	1	1	item_pierce_cold_immunity																												Monster Cold Immunity is Sundered		Min %	Max %		0
pierce-immunity-fire	270	1	1	item_pierce_fire_immunity																												Monster Fire Immunity is Sundered		Min %	Max %		0
pierce-immunity-light	271	1	1	item_pierce_light_immunity																												Monster Lightning Immunity is Sundered		Min %	Max %		0
pierce-immunity-poison	272	1	1	item_pierce_poison_immunity																												Monster Poison Immunity is Sundered		Min %	Max %		0
pierce-immunity-damage	273	1	1	item_pierce_damage_immunity																												Monster Physical Immunity is Sundered		Min %	Max %		0
pierce-immunity-magic	274	1	1	item_pierce_magic_immunity																												Monster Magic Immunity is Sundered		Min %	Max %		0
charge-noconsume	275	1	1	item_charge_noconsume																												+#% chance for finishing moves to not consume charges		Min %	Max %		0
war	276	1	21	item_addclassskills		7																										+# to Warlock Skill Levels		Min #	Max #		0
dmg-mag/lvl	277	1	17	item_magic_damagemax_perlevel																												+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
pierce-mag	278	1	1	passive_mag_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-dmg	279	1	1	passive_dmg_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
affix-rand	280	1	25																													Add random affix from property	Index of property to use	Min Value for affix	Max Value for affix		0
extra-skill-dmg%-rand	281	1	1	passive_fire_mastery			1	passive_ltng_mastery			1	passive_cold_mastery			1	passive_pois_mastery			1	passive_mag_mastery			7	dmg%								used to with affix-rand to roll a random stat					0
war-tab-rand	282	1	10	item_addskill_tab		21	10	item_addskill_tab		22	10	item_addskill_tab		23																							0
extra-mag	283	1	1	passive_mag_mastery																												+#% to Magic Skill Damage		Min %	Max %		0
str%	284	1	1	item_strength_percent																																	0
dex%	285	1	1	item_dexterity_percent																																	0
vit%	286	1	1	item_vitality_percent																																	0
enr%	287	1	1	item_energy_percent																																	0
str%/lvl	288	1	17	item_strengthpercent_perlevel																												Strength per Player Level	(8ths)			none	0
dex%/lvl	289	1	17	item_dexteritypercent_perlevel																												Dexterity per Player Level	(8ths)			none	0
enr%/lvl	290	1	17	item_energypercent_perlevel																												Energy per Player Level	(8ths)			none	0
vit%/lvl	291	1	17	item_vitalitypercent_perlevel																												Vitality per Player Level	(8ths)			none	0
thorns-blind	292	1	11	item_attackergetsblind																												attacker gets blinded		min	max	armour only	0
thorns-flee	293	1	11	item_attackerflees																												attacker runs away		min	max	armour only	0
fire-thorns	294	1	1	item_attackertakesfiredamage																																	0
cold-thorns	295	1	1	item_attackertakescolddamage																											6						0
dmg-max/str	296	1	17	item_maxdamage_perstr																											6		(8ths)				0
dmg-max/dex	297	1	17	item_maxdamage_perdex																											6		(8ths)				0
dmg-min/lvl	298	1	17	item_mindamage_perlvl																											2		(8ths)				0
dmg-min/str	299	1	17	item_mindamage_perstr																													(8ths)				0
dmg-min/dex	300	1	17	item_mindamage_perdex																													(8ths)				0
dmg-max%/str	301	1	17	item_maxdamage_percent_perstr																													(8ths)				0
dmg-max%/dex	302	1	17	item_maxdamage_percent_perdex																													(8ths)				0
wounds/dex	303	1	17	item_openwounds_perdex			1	item_extrablood																									(8ths)				0
deadly/dex	304	1	17	item_deadlystrike_perdex																											3		(8ths)				0
wounds/str	305	1	17	item_openwounds_perstr			1	item_extrablood																									(8ths)				0
deadly/str	306	1	17	item_deadlystrike_perstr																													(8ths)				0
ac/str	307	1	17	item_armor_perstr																												armour per strength	(8ths)			armour only	0
ac/dex	308	1	17	item_armor_perdex																												armour class per dex	(8ths)	min	max	armour only	0
att/str	309	1	17	item_tohit_perstr																												to hit per dex	(8ths)	min	max	weap only	0
att/dex	310	1	17	item_tohit_perDex																												to hit per dex	(8ths)	min	max	weap only	0
hp/vit	311	1	17	item_hp_pervitality																													(8ths)				0
mana/enr	312	1	17	item_mana_perenr																													(8ths)				0
cast/enr	313	1	17	item_fastercastrate_perenr																													(8ths)				0
block/dex	314	1	17	item_fasterblockrate_perdex																													(8ths)				0
move/vit	315	1	17	item_fastermovevelocity_pervitality																													(8ths)				0
swing/str	316	1	17	item_fasterswingvelocity_perstrength																													(8ths)				0
dmg-min%/str	317	1	17	item_mindamage_percent_perstr																													(8ths)				0
dmg-min%/dex	318	1	17	item_mindamage_percent_perdex																													(8ths)				0
dmg-min%/lvl	319	1	17	item_mindamage_percent_perlvl																													(8ths)				0
crush/str	320	1	17	item_crushingblow_perstr																												+% Chance of Crushing Blow per Player Level	(8ths)			none	0
crush/dex	321	1	17	item_crushingblow_perdex																												+% Chance of Crushing Blow per Player Level	(8ths)			none	0
coldskill	322	1	21	item_elemskill		4	3	item_elemskillcold																												none	0
lightningskill	323	1	21	item_elemskill		2	3	item_elemskilllight																												none	0
poisonskill	324	1	21	item_elemskill		5	3	item_elemskillpoison																												none	0
magicskill	325	1	21	item_elemskill		3	3	item_elemskillmagic																												none	0
ac%/str	326	1	17	item_armorpercent_perstr																												AC% per Player Level	ac%/lvl (8ths)			none	0
ac%/dex	327	1	17	item_armorpercent_perdex																												AC% per Player Level	ac%/lvl (8ths)			none	0
att%/str	328	1	17	item_tohitpercent_perstr																												Attack% per Player Level	att%/lvl (8ths)			none	0
att%/dex	329	1	17	item_tohitpercent_perdex																												Attack% per Player Level	att%/lvl (8ths)			none	0
swing/dex	330	1	17	item_fasterswingvelocity_perdex																													(8ths)				0
swing/lvl	331	1	17	item_fasterswingvelocity_perlvl																													(8ths)				0
block/str	332	1	17	item_fasterblockrate_perstr																													(8ths)				0
block/lvl	333	1	17	item_fasterblockrate_perlvl																													(8ths)				0
move/dex	334	1	17	item_fastermovevelocity_perdex																													(8ths)				0
move/lvl	335	1	17	item_fastermovevelocity_perlvl																													(8ths)				0
cast/lvl	336	1	17	item_fastercastrate_perlvl																													(8ths)				0
balance/vit	337	1	17	item_fasterhitrecovery_pervit																													(8ths)				0
balance/lvl	338	1	17	item_fasterhitrecovery_perlvl																													(8ths)				0
block%/dex	339	1	17	item_increasedblock_perdex																													(8ths)				0
block%/lvl	340	1	17	item_increasedblock_perlvl																													(8ths)				0
addxp/lvl	341	1	17	item_addexperience_perlvl																												additional xp gain					0
addxp/enr	342	1	17	item_addexperience_perenr																												additional xp gain					0
cheap/lvl	343	1	17	item_reducedprices_perlvl																												reduces vendor prices		min	max	none	0
pierce/lvl	344	1	17	item_pierce_perlvl																																none	0
pierce/str	345	1	17	item_pierce_perstr																																none	0
all-zero-display	346	1	1	resmax_display_all_zero																																	0
res-all-hidden	347	1	1	magicresist_hidden			3	fireresist_hidden			3	lightresist_hidden			3	coldresist_hidden			3	poisonresist_hidden			3	hiddenresist_dummy													0
res-all-max-hidden	348	1	1	maxmagicresist_hidden			3	maxfireresist_hidden			3	maxlightresist_hidden			3	maxcoldresist_hidden			3	maxpoisonresist_hidden			3	hiddenresist_dummy													0
res-all-max%	349	1	1	maxmagres_percent			3	maxfireres_percent			3	maxlightres_percent			3	maxcoldres_percent			3	maxpoisres_percent																	0
res-all/lvl	350	1	17	item_resist_cold_perlevel			3	item_resist_ltng_perlevel			3	item_resist_fire_perlevel			3	item_resist_pois_perlevel																				none	0
slow/lvl	351	1	17	item_slow_perlvl																																none	0
kick/str	352	1	17	item_kick_damage_perstr																												Kick Damage per Player Level	(8ths)			none	0
kick/dex	353	1	17	item_kick_damage_perdex																												Kick Damage per Player Level	(8ths)			none	0
red-dmg%/lvl	354	1	17	damageresist_perlvl																																none	0
red-dmg%/vit	355	1	17	damageresist_pervit																																none	0
red-mag/lvl	356	1	17	magic_damage_reduction_perlvl																																none	0
red-mag/enr	357	1	17	magic_damage_reduction_perenr																																none	0
res-mag%/lvl	358	1	17	magicresist_perlvl																																none	0
res-mag%/enr	359	1	17	magicresist_perenr																																none	0
stupidity/lvl	360	1	17	item_stupidity_perlvl																																none	0
freeze/lvl	361	1	17	item_freeze_perlvl																													chance in 128	length in frames		none	0
freeze/enr	362	1	17	item_freeze_perenr																													chance in 128	length in frames		none	0
res-pois-len/lvl	363	1	17	item_poisonlengthresist_perlvl																																none	0
res-pois-len/vit	364	1	17	item_poisonlengthresist_pervit																																none	0
res-curse/lvl	365	1	17	curse_resistance_perlvl																																	0
res-curse/enr	366	1	17	curse_resistance_perenr																																	0
res-curse-len	367	1	1	curse_resistance_length			1	curse_resistance																													0
mana-kill/lvl	368	1	17	item_manaafterkill_perlvl																																none	0
mana-kill/enr	369	1	17	item_manaafterkill_perenr																																none	0
balance/dex	370	1	17	item_fasterhitrecovery_perdex																													(8ths)				0
splash	371	1	11	item_splashonhit																												splash	proc_SplashDamage	100	1		0
dmg2%	372	1	15	pl_mindamage_percent			16	pl_maxdamage_percent																								Adds #-# Damage		Min #	Max #		0
regen2	373	1	17	hpregen_perlevel																												Replenish Life Plus #% (Based on Character Level)	# per Level				0
corrupted	374	1	1	item_corrupted																														1	1	none	0
corruptedDummy	375	1	1	item_corruptedDummy																														1	1	none	0
healperhit	376	1	1	heal_afterhit																												Life gained after each hit				none	0
stacked/terror-key	377	1	17	stacked_terror_key																												# Terror Keys				Used to determined stack size of keys in keychain	0
stacked/hate-key	378	1	17	stacked_hate_key																												# Hate Keys				Used to determined stack size of keys in keychain	0
stacked/destruction-key	379	1	17	stacked_destruction_key																												# Destuction Keys				Used to determined stack size of keys in keychain	0
stacked/gem/topaz	380	0	17	stacked_gem_topaz																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/amethyst	381	0	17	stacked_gem_amethyst																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/sapphire	382	0	17	stacked_gem_sapphire																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/diamond	383	0	17	stacked_gem_diamond																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/emerald	384	0	17	stacked_gem_emerald																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/ruby	385	0	17	stacked_gem_ruby																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/skull	386	0	17	stacked_gem_skull																												# Gems				Used to determined stack size of perfect gems in storage	0
extra_bonespears	387	1	1	extra_bonespears																												+# Bone Spear Projectiles		1	1	none	0
item-qty	388	1	17	quantity																																	0
splashtwo	389	1	11	item_splashonhit_two																												splashtwo	proc_SplashDamage_Two	100	1		0
splashthree	390	1	11	item_splashonhit_three																												splashthree	proc_SplashDamage_Three	100	1		0
splashfour	391	1	11	item_splashonhit_four																												splashfour	proc_SplashDamage_Four	100	1		0
extra_holybolt	392	1	1	extra_holybolt																												+# Holy Bolt Projectiles		1	1	none	0
splashfive	393	1	11	item_splashonhit_five																												splashfive	proc_SplashDamage_Five	100	1		0
prop_mon_move	394	1	1	velocitypercent																												+#% Faster Run/Walk		Min %	Max %		0
charm-property	395	1	1	charm_weight																												Charm Weight: #		Min #	Max #		0
stacked/gem	396	1	17	stacked_gem																												# Gems				Used to determined stack size of gems in storage	0
oskill_hide	397	1	22	item_nonclassskill																												+# to [Skill]		Min #	Max #		0
ravensetwolf	398	1	1	ravensetwolf																												+ Max Ravens, - Max Wolves		1	1	Increased Max Ravens, decreased Max Wolves	0
ravendmg	399	1	1	ravendmg																												+50% Increase Raven Dmg		1	1	+50% to Raven DMG	0
ravenhits	400	1	1	ravenhits																												increases max raven hits		1	10	increases max raven hits	0
flat-dmg/lvl	401	1	17	item_mindamage_perlvl			17	item_maxdamage_perlevel																								+Min/Max Dmg Flat Per Level	(8ths)				0
upgrade/minor	402	1	17	upgrade_minor																										# Upgrades				0	2	Used to determine number of upgrades on certain items	0
upgrade/medium	403	1	17	upgrade_medium																										# Upgrades				0	3	Used to determine number of upgrades on certain items	0
upgrade/major	404	1	17	upgrade_major																										# Upgrades				0	5	Used to determine number of upgrades on certain items	0
upgrade/uber	405	1	17	upgrade_uber																										# Upgrades				0	10	Used to determine number of upgrades on certain items	0
ubertorch-property	406	1	1	torch_weight																												Uber Charm Weight: #		Min #	Max #	May only carry one Torch at a time	0
uberstone-property	407	1	1	soulstone_weight																												Uber Charm Weight: #		Min #	Max #	May only carry one Soulstone at a time	0
tab-rand	408	1	12	item_addskill_tab																												+# random class skill tab	Level	min Skill #	max Skill #		0
extra-elem	409	1	1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery			3	passive_pois_mastery																+# % All Elemental Damage		Min %	Max %		0
pierce-elem	410	1	1	passive_fire_pierce			3	passive_ltng_pierce			3	passive_cold_pierce			3	passive_pois_pierce																-# % Enemy Elemental Resistances		Min%	Max %		0
Dye-White	411	1	17	Dye_White																																	0
Dye-Black	412	1	17	Dye_Black																																	0
Dye-Blue	413	1	17	Dye_Blue																																	0
Dye-Red	414	1	17	Dye_Red																																	0
Dye-Green	415	1	17	Dye_Green																																	0
Dye-Yellow	416	1	17	Dye_Yellow																																	0
Dye-Purple	417	1	17	Dye_Purple																																	0
Dye-Orange	418	1	17	Dye_Orange																																	0
Dye-Tracker	419	1	17	Dye_Tracker																																	0
dmg3%	420	1	15	pl_minthrowdmg_percent			16	pl_maxthrowdmg_percent																								+#% Extra Throwing Weapon Damage		-100	411		0
upgrade/uberCharmSmall	421	1	17	upgrade_uber_charm_small																										# Upgrades				0	5	Used to determine number of upgrades on certain items	0
upgrade/uberCharmLarge	422	1	17	upgrade_uber_charm_large																										# Upgrades				0	10	Used to determine number of upgrades on certain items	0
extra_traps	423	1	1	extra_traps																												+# to max traps		min	max	none	0
extra_shadow_masters	424	1	1	extra_shadow_masters																												+# to Max Shadow Masters		min	max	none	0
extra_ravens	425	1	1	extra_ravens																												+# to Max Ravens		min	max	none	0
extra_spirit_wolves	426	1	1	extra_spirit_wolves																												+# to Max Spirit Wolves		min	max	none	0
extra_dire_wolves	427	1	1	extra_dire_wolves																												+# to Max Dire Wolves		min	max	none	0
extra_firegolems	428	1	1	extra_firegolems																												+# to Max Fire Golems		min	max	none	0
extra_skelewarriors	429	1	1	extra_skelewarriors																												+# to Max Skeleton Warriors		min	max	none	0
extra_skelemages	430	1	1	extra_skelemages																												+# to Max Skeletal Mages		min	max	none	0
