index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Light's Benediction	Light's Benediction	100	mana		50	50	res-all		10	10	mana%		20	20																					oskill	Weaken	3	3	mana%		25	25	extra-ltng		15	15	pierce-ltng		20	20	addxp		5	5													0
Blade of the Crusader	Blade of the Crusader	100	ac		500	500	att		50	50	mana		50	50																					oskill	Melee Mastery	5	5	reduce-ac		50	50	att%		20	20	crush		10	10	addxp		5	5													0
Radiant Triune	Radiant Triune	100	swing3		25	25	regen		8	8	res-all		30	30																					oskill	Penetrate	8	8	reduce-ac		33	33	att		150	150	deadly		10	10	hp		75	75	addxp		5	5									0
Armament of Justice	Armament of Justice	100	abs-cold		12	12	abs-ltng		12	12	abs-fire		12	12	abs-mag		12	12																	oskill	Melee Mastery	5	5	abs-ltng%		10	10	abs-cold%		10	10	abs-fire%		10	10	crush		25	25	att%		25	25	res-all		30	30	addxp		5	5	0
Robes of the Archmage	Robes of the Archmage	100	gold%		50	50					gold%		50	50	addxp		10	10	oskill	Teleport	1	1					oskill	Fade	8	8	oskill	Quickness	1	1	state	fullsetgeneric	1	1	res-all-max		5	5	mag%/lvl	8			oskill	Lower Resist	3	3	allskills		3	3	res-all		30	30	red-dmg		10	10	red-mag		10	10	0
Inferno's Embrace	Inferno's Embrace	100	mana%		15	15	ac		300	300																									oskill	Dodge	1	1	oskill	Avoid	1	1	sor		2	2	red-dmg%		10	10	mana%		20	20	addxp		5	5									0
Heart of Winter	Heart of Winter	100	hp		50	50	mana		50	50	dmg-to-mana		10	10																					oskill	Iron Skin	16	16	extra-cold		30	30	pierce-cold		10	10	skilltab	5	2	2	addxp		5	5													0
Tempest's Fury	Tempest's Fury	100	mana%		15	15	res-all		15	15	regen		8	8																					oskill	Holy Shield	1	1	pierce-ltng		20	20	red-dmg%		6	6	mana%		20	20	addxp		5	5													0
Stormbrand Covenant	Stormbrand Covenant	100	att%		20	20	red-dmg%		6	6	hp		75	75																					oskill	Shape Shifting	9	9	oskill	Wearwolf	10	10	oskill	Fury	9	9	oskill	Penetrate	8	8	red-dmg%		8	8	att%		30	30	hp		125	125	addxp		5	5	0
Athulua's Blessing	Athulua's Blessing	100	hp		50	50	res-all		15	15	swing3		20	20	att%		50	50	mana%		20	20	oskill	Quickness	1	1									res-all		40	40	allskills		3	3	oskill	Teleport	1	1	mag%		75	75	state	fullsetgeneric	1	1	addxp		7	7	oskill	Cold Mastery	3	3	oskill	Fire Mastery	3	3	0
Palashia's Beginnings	Palashia's Beginnings	100	att		50	50	hp		50	50	res-all		20	20	mana		75	75																	ama		3	3	res-all		40	40	mag%		75	75	addxp		7	7	pierce		25	25	state	fullsetgeneric	1	1	dmg%		50	50	deadly		20	20	0
Viz-Jaq'taar Battlegear	Viz-Jaq'taar Battlegear	100	res-all		15	15	att%		30	30	deadly		20	20	dmg-to-mana		10	10	dmg%		50	50	oskill	Penetrate	3	3									allskills		3	3	res-all		40	40	oskill	teleport	1	1	addxp		7	7	mag%		75	75	mana%		15	15	state	fullsetgeneric	1	1					0
Stalwart Vigilance	Stalwart Vigilance	100	balance3		20	20	att		50	50	deadly		20	20	red-mag		10	10																	ass		3	3	res-all		40	40	mag%		75	75	red-dmg%		5	5	state	fullsetgeneric	1	1	addxp		7	7	oskill	Penetrate	1	1	nofreeze		1	1	0
Qual-Kehk's War Attire	Qual-Kehk's War Attire	100	mana-kill		3	3	vit		15	15	mana%		15	15	cast3		20	20																	bar		3	3	res-all		40	40	mag%		75	75	addxp		7	7	att%		25	25	swing3		20	20	state	fullsetgeneric	1	1	nofreeze		1	1	0
Fiacla-Géar Armament	Fiacla-Géar Armament	100	att		50	50	swing3		20	20	res-all		15	15	crush		15	15	deadly		15	15	balance3		15	15									allskills		3	3	res-all		40	40	mag%		75	75	state	fullsetgeneric	1	1	addxp		7	7	oskill	teleport	1	1	dmg%		100	100	ravenhits		2	2	0
Scosglen Souvenir	Scosglen Souvenir	100	hp		60	60	mana		80	80	deadly		15	15	att%		30	30																	dru		3	3	res-all		40	40	mag%		75	75	state	monsterset1	1	1	addxp		7	7	oskill	teleport	1	1	mana%		25	25	dmg%		100	100	0
Rathma's Will	Rathma's Will	100	hp		30	30	red-dmg%		5	5	enr		25	25	swing3		20	20																	nec		2	2	res-all		30	30	addxp		5	5	state	fullsetgeneric	1	1	extra_bonespears		1	1	att%		20	20	mana%		10	10					0
Zakarum's Last Hope	Zakarum's Last Hope	100	regen		12	12	dmg-to-mana		12	12	move3		30	30	healperhit		8	8																	res-all		40	40	pal		3	3	mag%		75	75	addxp		7	7	state	fullsetgeneric	1	1	abs-fire/lvl	2			abs-ltng/lvl	2			abs-cold/lvl	2			0
Zann Esu Elements	Zann Esu Elements	100	mana		80	80	res-all		20	20	balance3		15	15	enr		25	25	mana%		15	15	hp%		15	15									allskills		3	3	res-all		40	40	addxp		7	7	mag%		75	75	state	fullsetgeneric	1	1	abs-fire%		5	5	abs-cold%		5	5	abs-ltng%		5	5	0
