code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
extra-cold	1	1	passive_cold_mastery																											+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	1	1	passive_pois_mastery																											+#% to Poison Skill Damage		Min %	Max %		0
dmg-elem	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength			Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	1	1	firemindam			3	lightmindam			3	coldmindam																			+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength															+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
all-stats	1	1	strength			3	energy			3	dexterity			3	vitality															+# to all Attributes		Min #	Max #		0
addxp	1	1	item_addexperience																											+#% to Experience Gained		Min %	Max %		0
heal-kill	1	1	item_healafterkill																											+# Life after each Kill		Min #	Max #		0
cheap	1	1	item_reducedprices																											Reduces all Vendor Prices #%		Min %	Max %		0
rip	1	1	item_restinpeace																											Slain Monsters Rest in Peace		1	1		0
att-mon%	1	24	attack_vs_montype																											#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	1	24	damage_vs_montype																											#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
kill-skill	1	11	item_skillonkill																											#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
death-skill	1	11	item_skillondeath																											#% Chance to cast level # [Skill] when you Die	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
levelup-skill	1	11	item_skillonlevelup																											#% Chance to cast level # [Skill] when you Level-Up	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
skill-rand	1	12	item_singleskill																											+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
fade	1	17	fade																													Min #	Max #	Visuals Only	0
levelreq	1	1	item_levelreq																											Required Level: #		Min #	Max #		0
ethereal	1	23																												Ethereal		1	1		0
oskill	1	22	item_nonclassskill																											+# to [Skill]	Skill	Min #	Max #		0
state	1	24	state																												State	1	1	Applies a State on the unit	0
randclassskill	1	36	item_addclassskills		3																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
str%	1	1	item_strength_percent																																0
dex%	1	1	item_dexterity_percent																																0
vit%	1	1	item_vitality_percent																																0
enr%	1	1	item_energy_percent																																0
str%/lvl	1	17	item_strengthpercent_perlevel																											Strength per Player Level	(8ths)			none	0
dex%/lvl	1	17	item_dexteritypercent_perlevel																											Dexterity per Player Level	(8ths)			none	0
enr%/lvl	1	17	item_energypercent_perlevel																											Energy per Player Level	(8ths)			none	0
vit%/lvl	1	17	item_vitalitypercent_perlevel																											Vitality per Player Level	(8ths)			none	0
thorns-blind	1	11	item_attackergetsblind																											attacker gets blinded		min	max	armour only	0
thorns-flee	1	11	item_attackerflees																											attacker runs away		min	max	armour only	0
fire-thorns	1	1	item_attackertakesfiredamage																																0
cold-thorns	1	1	item_attackertakescolddamage																																0
dmg-max/str	1	17	item_maxdamage_perstr																												(8ths)				0
dmg-max/dex	1	17	item_maxdamage_perdex																												(8ths)				0
dmg-min/lvl	1	17	item_mindamage_perlvl																												(8ths)				0
dmg-min/str	1	17	item_mindamage_perstr																												(8ths)				0
dmg-min/dex	1	17	item_mindamage_perdex																												(8ths)				0
dmg-max%/str	1	17	item_maxdamage_percent_perstr																												(8ths)				0
dmg-max%/dex	1	17	item_maxdamage_percent_perdex																												(8ths)				0
wounds/dex	1	17	item_openwounds_perdex			1	item_extrablood																								(8ths)				0
deadly/dex	1	17	item_deadlystrike_perdex																												(8ths)				0
wounds/str	1	17	item_openwounds_perstr			1	item_extrablood																								(8ths)				0
deadly/str	1	17	item_deadlystrike_perstr																												(8ths)				0
ac/str	1	17	item_armor_perstr																											armour per strength	(8ths)			armour only	0
ac/dex	1	17	item_armor_perdex																											armour class per dex	(8ths)	min	max	armour only	0
att/str	1	17	item_tohit_perstr																											to hit per dex	(8ths)	min	max	weap only	0
att/dex	1	17	item_tohit_perDex																											to hit per dex	(8ths)	min	max	weap only	0
hp/vit	1	17	item_hp_pervitality																												(8ths)				0
mana/enr	1	17	item_mana_perenr																												(8ths)				0
cast/enr	1	17	item_fastercastrate_perenr																												(8ths)				0
block/dex	1	17	item_fasterblockrate_perdex																												(8ths)				0
move/vit	1	17	item_fastermovevelocity_pervitality																												(8ths)				0
swing/str	1	17	item_fasterswingvelocity_perstrength																												(8ths)				0
dmg-min%/str	1	17	item_mindamage_percent_perstr																												(8ths)				0
dmg-min%/dex	1	17	item_mindamage_percent_perdex																												(8ths)				0
dmg-min%/lvl	1	17	item_mindamage_percent_perlvl																												(8ths)				0
crush/str	1	17	item_crushingblow_perstr																											+% Chance of Crushing Blow per Player Level	(8ths)			none	0
crush/dex	1	17	item_crushingblow_perdex																											+% Chance of Crushing Blow per Player Level	(8ths)			none	0
coldskill	1	21	item_elemskill		4	1	item_elemskillcold																											none	0
lightningskill	1	21	item_elemskill		2	1	item_elemskilllight																											none	0
poisonskill	1	21	item_elemskill		5	1	item_elemskillpoison																											none	0
magicskill	1	21	item_elemskill		3	1	item_elemskillmagic																											none	0
ac%/str	1	17	item_armorpercent_perstr																											AC% per Player Level	ac%/lvl (8ths)			none	0
ac%/dex	1	17	item_armorpercent_perdex																											AC% per Player Level	ac%/lvl (8ths)			none	0
att%/str	1	17	item_tohitpercent_perstr																											Attack% per Player Level	att%/lvl (8ths)			none	0
att%/dex	1	17	item_tohitpercent_perdex																											Attack% per Player Level	att%/lvl (8ths)			none	0
swing/dex	1	17	item_fasterswingvelocity_perdex																												(8ths)				0
swing/lvl	1	17	item_fasterswingvelocity_perlvl																												(8ths)				0
block/str	1	17	item_fasterblockrate_perstr																												(8ths)				0
block/lvl	1	17	item_fasterblockrate_perlvl																												(8ths)				0
move/dex	1	17	item_fastermovevelocity_perdex																												(8ths)				0
move/lvl	1	17	item_fastermovevelocity_perlvl																												(8ths)				0
cast/lvl	1	17	item_fastercastrate_perlvl																												(8ths)				0
balance/vit	1	17	item_fasterhitrecovery_pervit																												(8ths)				0
balance/lvl	1	17	item_fasterhitrecovery_perlvl																												(8ths)				0
block%/dex	1	17	item_increasedblock_perdex																												(8ths)				0
block%/lvl	1	17	item_increasedblock_perlvl																												(8ths)				0
addxp/lvl	1	17	item_addexperience_perlvl																											additional xp gain					0
addxp/enr	1	17	item_addexperience_perenr																											additional xp gain					0
cheap/lvl	1	17	item_reducedprices_perlvl																											reduces vendor prices		min	max	none	0
pierce/lvl	1	17	item_pierce_perlvl																															none	0
pierce/str	1	17	item_pierce_perstr																															none	0
all-zero-display	1	1	resmax_display_all_zero																																0
res-all-hidden	1	1	magicresist_hidden			3	fireresist_hidden			3	lightresist_hidden			3	coldresist_hidden			3	poisonresist_hidden			3	hiddenresist_dummy												0
res-all-max-hidden	1	1	maxmagicresist_hidden			3	maxfireresist_hidden			3	maxlightresist_hidden			3	maxcoldresist_hidden			3	maxpoisonresist_hidden			3	hiddenresist_dummy												0
res-all-max%	1	1	maxmagres_percent			3	maxfireres_percent			3	maxlightres_percent			3	maxcoldres_percent			3	maxpoisres_percent																0
res-all/lvl	1	17	item_resist_cold_perlevel			3	item_resist_ltng_perlevel			3	item_resist_fire_perlevel			3	item_resist_pois_perlevel																			none	0
slow/lvl	1	17	item_slow_perlvl																															none	0
kick/str	1	17	item_kick_damage_perstr																											Kick Damage per Player Level	(8ths)			none	0
kick/dex	1	17	item_kick_damage_perdex																											Kick Damage per Player Level	(8ths)			none	0
red-dmg%/lvl	1	17	damageresist_perlvl																															none	0
red-dmg%/vit	1	17	damageresist_pervit																															none	0
red-mag/lvl	1	17	magic_damage_reduction_perlvl																															none	0
red-mag/enr	1	17	magic_damage_reduction_perenr																															none	0
res-mag%/lvl	1	17	magicresist_perlvl																															none	0
res-mag%/enr	1	17	magicresist_perenr																															none	0
stupidity/lvl	1	17	item_stupidity_perlvl																															none	0
freeze/lvl	1	17	item_freeze_perlvl																												chance in 128	length in frames		none	0
freeze/enr	1	17	item_freeze_perenr																												chance in 128	length in frames		none	0
res-pois-len/lvl	1	17	item_poisonlengthresist_perlvl																															none	0
res-pois-len/vit	1	17	item_poisonlengthresist_pervit																															none	0
res-curse/lvl	1	17	curse_resistance_perlvl																																0
res-curse/enr	1	17	curse_resistance_perenr																																0
res-curse-len	1	1	curse_resistance_length			1	curse_resistance																												0
mana-kill/lvl	1	17	item_manaafterkill_perlvl																															none	0
mana-kill/enr	1	17	item_manaafterkill_perenr																															none	0
balance/dex	1	17	item_fasterhitrecovery_perdex																												(8ths)				0
splash	1	11	item_splashonhit																											splash	proc_SplashDamage	100	1		0
dmg2%	1	15	pl_mindamage_percent			16	pl_maxdamage_percent																							Adds #-# Damage		Min #	Max #		0
regen2	1	17	hpregen_perlevel																											Replenish Life Plus #% (Based on Character Level)	# per Level				0
Corrupted	1	1	item_corrupted																													1	1	none	0
CorruptedDummy	1	1	item_corruptedDummy																													1	1	none	0
healperhit	1	1	heal_afterhit																											Life gained after each hit				none	0
stacked/terror-key	1	17	stacked_terror_key																											# Terror Keys				Used to determined stack size of keys in keychain	0
stacked/hate-key	1	17	stacked_hate_key																											# Hate Keys				Used to determined stack size of keys in keychain	0
stacked/destruction-key	1	17	stacked_destruction_key																											# Destuction Keys				Used to determined stack size of keys in keychain	0
stacked/gem/topaz	1	17	stacked_gem_topaz																											# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/amethyst	1	17	stacked_gem_amethyst																											# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/sapphire	1	17	stacked_gem_sapphire																											# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/diamond	1	17	stacked_gem_diamond																											# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/emerald	1	17	stacked_gem_emerald																											# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/ruby	1	17	stacked_gem_ruby																											# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/skull	1	17	stacked_gem_skull																											# Gems				Used to determined stack size of perfect gems in storage	0
